ant4eclipse	ant4eclipse	0.5.0.rc1		9f30d5e2ffa11196fdfc248338cb0508a2e5dd1f
br.com.objectos.code	core	0.10.0		17395cb6c82cd531e19604b6ec80e83dce73adf3
br.com.objectos.code	core	0.10.1		7023acbe900552633a6627157dcc8f1dc316c470
br.com.objectos.code	core	0.11.0		e81d4a58e97ecf9eb0e5113402187dac91a6285f
br.com.objectos.code	core	0.11.1		fd6a88552ce13c2ef94736e7cc6d3658b0b50a98
br.com.objectos.code	core	0.11.2		69b6cbebf7d0919d6b183b4fe0d494cc3f956dfc
br.com.objectos.code	core	0.11.3		581ab9bebf437e203af1323180519c3ee71e7034
br.com.objectos.code	core	0.12.0		87030d59cc5e140c44643309466c361db9eed1b5
br.com.objectos.code	core	0.13.0		206c59f436d74650a6c215a3fc4688ea09cf58d4
br.com.objectos.code	core	0.14.0		8867826fb265b8b37c4930133259e921cbfbd066
br.com.objectos.code	core	0.14.1		4317ad78781ebc39010b916291b2d8e2424f4b23
br.com.objectos.code	core	0.15.0		18986da85e963af38d6e91c0ff7fddd024aaca18
br.com.objectos.code	core	0.9.0		2e926b598895e2bf61b9ae515c0e6afcce9582c2
br.com.objectos.code	core	0.9.1		42401524fd30287ca33d0e3e65842595a782c132
br.com.objectos.code	core	0.9.2		e9c8cae8f4a0b754aa98bd362020c9c02c2e08e2
br.com.objectos.code	core	0.9.3		aba2ac4c0eea9f548ea49e12f9bb213fb3c507bf
br.com.objectos.code	core	0.9.4		32fc2f37f073655138b0ec3cbbdbfefd37a28c32
chat.sdk	pro-firebase-read-receipts	5.4.19		N/A
chat.sdk	pro-firebase-read-receipts	5.4.20		N/A
chat.sdk	pro-firebase-read-receipts	5.4.21		N/A
chat.sdk	pro-firebase-read-receipts	5.4.30		N/A
chat.sdk	pro-firebase-read-receipts	5.4.32		N/A
chat.sdk	pro-firebase-read-receipts	5.4.33		N/A
chat.sdk	pro-firebase-read-receipts	5.4.34		N/A
chat.sdk	pro-firebase-read-receipts	5.4.36		N/A
chat.sdk	pro-firebase-read-receipts	5.4.37		N/A
chat.sdk	pro-firebase-read-receipts	5.4.38		N/A
chat.sdk	pro-firebase-read-receipts	5.4.39		N/A
chat.sdk	pro-firebase-read-receipts	5.4.41		N/A
chat.sdk	pro-firebase-read-receipts	5.4.42		N/A
chat.sdk	pro-firebase-read-receipts	5.4.43		N/A
chat.sdk	pro-firebase-read-receipts	5.5.0		N/A
chat.sdk	pro-firebase-read-receipts	5.5.0s		N/A
chat.sdk	pro-firebase-read-receipts	5.5.6		N/A
chat.sdk	pro-firebase-read-receipts	5.5.9		N/A
chat.sdk	pro-firebase-read-receipts	5.6.1		N/A
chat.sdk	pro-firebase-read-receipts	5.6.5		N/A
chat.sdk	pro-firebase-read-receipts	5.6.6		N/A
chat.sdk	pro-firebase-read-receipts	5.6.7		N/A
com.adleritech	flexibee	0.0.1		N/A
com.adleritech	flexibee	0.0.10		N/A
com.adleritech	flexibee	0.0.11		N/A
com.adleritech	flexibee	0.0.12		N/A
com.adleritech	flexibee	0.0.27		N/A
com.adleritech	flexibee	0.0.3		N/A
com.adleritech	flexibee	0.0.5		N/A
com.adleritech	flexibee	0.0.6		N/A
com.adleritech	flexibee	0.0.7		N/A
com.adleritech	flexibee	0.0.8		N/A
com.alachisoft	nc-metricserver	5.3.3		847c8e464d6c61167f81679216259a163497b430
com.alibaba.ververica	ververica-connector-mysql	1.11-vvr-2.1.3		ba7b3bf2021869b0dcb1659ddee4adb0e71f73d1
com.alibaba.ververica	ververica-connector-mysql	1.12-vvr-3.0.2		b55be72f7f14ba17c5f7cbbc5b8306246c55af2c
com.alibaba.ververica	ververica-connector-mysql	1.13-vvr-4.0.15		587a911c3589920d7dd34a765be540370dd99dd9
com.alibaba.ververica	ververica-connector-mysql	1.13-vvr-4.0.7		7ab86049466277c83cb414ade7a68464e2e7ef89
com.alibaba.ververica	ververica-connector-mysql	1.15-vvr-6.0.2-3		ed1a45721328d73490905f2c47c0153f65c9497c
com.alibaba.ververica	ververica-connector-mysql	1.15-vvr-6.0.7		fa2c59841a6d0814e37b3dec5e5b10befe09e9ec
com.alibaba.ververica	ververica-connector-mysql	1.15-vvr-6.0.7	compatibility-testing	585df67ec1307581e3f9def0449b4b3ff9542f74
com.alibaba.ververica	ververica-connector-mysql	1.15-vvr-6.0.7-1		f722440cd3209217a9a7ebefd145bb33c98909d1
com.alibaba.ververica	ververica-connector-mysql	1.15-vvr-6.0.7-1	compatibility-testing	585df67ec1307581e3f9def0449b4b3ff9542f74
com.alibaba.ververica	ververica-connector-mysql	1.17-vvr-8.0.11-1		e0f08d44064d74ca25f94e3816955bd9a7d23540
com.alibaba.ververica	ververica-connector-mysql	1.17-vvr-8.0.11-1	uber	b4ad94071f197bb4571490a603269cf45e4ea614
com.alibaba.ververica	ververica-connector-mysql	1.17-vvr-8.0.4-1		2cd7bbeb3216643bc976e1dd68e3cb6b20c1fe9b
com.alibaba.ververica	ververica-connector-mysql	1.17-vvr-8.0.4-1	compatibility-testing	585df67ec1307581e3f9def0449b4b3ff9542f74
com.alibaba.ververica	ververica-connector-mysql	1.17-vvr-8.0.4-1	uber	cecace6dc658aed8c7a7ccd0f4fd8c3ae1214860
com.alibaba.ververica	ververica-connector-mysql	1.17-vvr-8.0.4-3		df3e29d6f4f298ddc97912cbb665423a595c1875
com.alibaba.ververica	ververica-connector-mysql	1.17-vvr-8.0.4-3	compatibility-testing	585df67ec1307581e3f9def0449b4b3ff9542f74
com.alibaba.ververica	ververica-connector-mysql	1.17-vvr-8.0.4-3	uber	ef49e9aa659bd567bf0c63dbba547ec47b0eabe6
com.alibaba.ververica	ververica-connector-mysql	1.17-vvr-8.0.8		f4d29b9ebd2140123909be30468ba9107d39c82a
com.alibaba.ververica	ververica-connector-mysql	1.17-vvr-8.0.8	uber	f1f0589f4b39d0e8b270c1b8a23fdec63243b99d
com.baomidou	mybatis-plus-spring-boot3-starter-test	3.5.10		7de7f2dfe5886449c76ede945b7b797c4b4c5d4c
com.baomidou	mybatis-plus-spring-boot3-starter-test	3.5.10.1		af1e713c7be2df7f1d86e135db1f1ee119a74c14
com.baomidou	mybatis-plus-spring-boot3-starter-test	3.5.11		32f95b3bfaabb9d3b13d739932829032c0a98b33
com.baomidou	mybatis-plus-spring-boot3-starter-test	3.5.12		4e064874b998f89ab8203ee942e9c2e0400828d9
com.baomidou	mybatis-plus-spring-boot3-starter-test	3.5.4		f351909f7076da680f363ec3c0c0ff9860f5c38e
com.baomidou	mybatis-plus-spring-boot3-starter-test	3.5.4.1		307330f9c1c554da4830590d29d31f0cedce9ff6
com.baomidou	mybatis-plus-spring-boot3-starter-test	3.5.5		79fc1369930df5a7d222db4e13c9d9356cb4d480
com.baomidou	mybatis-plus-spring-boot3-starter-test	3.5.6		b3c2839d910c262691f968aa8654cb356f0c4f74
com.baomidou	mybatis-plus-spring-boot3-starter-test	3.5.7		e30f12897e840c3f306c8abb765ad9b6fc94883e
com.baomidou	mybatis-plus-spring-boot3-starter-test	3.5.8		a339b8ad3fb773ee490bfa701e7921d16a9be741
com.baomidou	mybatis-plus-spring-boot3-starter-test	3.5.9		8ddaa6a846fca2658fa1fb7388dc0b66a62a78bd
com.code-beacon.spring.boot	common-spring-boot-samples	1.0.10		7354a5c0ce23a084bcfcb07a19b71181ef0f0af0
com.code-beacon.spring.boot	common-spring-boot-samples	1.0.11		4f538ba8b2981aa54887200f339d3ffd2a8fb5f7
