ai.latta	core	1.0		6d8fdab0563e534b6373cc9eca3dba0dd5b6f4b1
cl.emilym.compose	mediacontrol-jvm	0.1.0		38b31f58361c41eab1e54199931a20a80a646b8d
cn.ipokerface	admin-spring	2.3.0		87f599d79b22fb2d426d27eb58063c48f2d39508
cn.ipokerface	admin-spring	2.5.0		0a5aeb962240d8ebfe975cb15bcf29736196a771
cn.ipokerface	admin-spring	2.6.0		7e5ce8140ce8d0d047b027280f97f75c499acfd7
cn.ipokerface	admin-spring	2.7.0		b3dfd55088ff19e9b39d3c83b6685165d5a087d4
cn.ipokerface	admin-spring	2.7.1		3bb7ca87ede06880648c970194f355b0d0808f0c
cn.ipokerface	admin-spring	2.7.2		942dffa1a126a268832168c537e96f97ea025350
cn.stylefeng.roses	office-spring-boot-starter	7.0.0		78c9efb84fc6947682f94eb79a0004179b0f3236
cn.stylefeng.roses	office-spring-boot-starter	7.0.1		27504dd1f80dfa0cb454be05cfe270179214ba20
cn.stylefeng.roses	office-spring-boot-starter	7.0.2		2c259f6f21eda5316281e907974e2a86e392322c
cn.stylefeng.roses	office-spring-boot-starter	7.0.3		e6411ee50fb03d9742ebbf688f7621e138e03127
cn.stylefeng.roses	office-spring-boot-starter	7.1.0		1bb007c4599a0d3e6da9b199399f27c0e0d8485b
cn.stylefeng.roses	office-spring-boot-starter	7.1.0.Final		e7d72f5f6e456b68dd1bb6a4ad7c5de5f59da31f
cn.stylefeng.roses	office-spring-boot-starter	7.1.1		e782b242f3ed24127866bcf7c1d3953e4367c820
cn.stylefeng.roses	office-spring-boot-starter	7.1.2		071812e2e2148d0701192b73cf8d80e315391854
cn.stylefeng.roses	office-spring-boot-starter	7.1.3		45e0d2446970b1155e8397dde0f8108b60f55016
cn.stylefeng.roses	office-spring-boot-starter	7.1.4		c6d276fd50417c79f6e597f9d922cbfab2509105
cn.stylefeng.roses	office-spring-boot-starter	7.1.5		13d5c18b2668206ed42a073db0a184b9f44dc11e
cn.stylefeng.roses	office-spring-boot-starter	7.2.0		9eedbd919b8c0c45496582d18dfbba18878eb71b
cn.stylefeng.roses	office-spring-boot-starter	7.2.1		e91e75538db68f5bf4d3f4a05970cd3c2c199048
cn.stylefeng.roses	office-spring-boot-starter	7.2.2		aea602c56cf00ef1900a30e1f22daf204e70e844
cn.stylefeng.roses	office-spring-boot-starter	7.2.3		9f652fe3cacaa124ed24a3ec29d8f7ebb33dadb5
cn.stylefeng.roses	office-spring-boot-starter	7.2.4		d4e7d9c541cfbfa5c566b059734d81899528fece
cn.stylefeng.roses	office-spring-boot-starter	7.3.1		a942c10e6f8b48273bd4085dec1686d506c0ddbd
cn.stylefeng.roses	office-spring-boot-starter	7.3.2		a62bfebba04ccc898adb9932b9ce58044e5e33b1
cn.stylefeng.roses	office-spring-boot-starter	7.3.3		721a352d95291e98bda2efff20b67f52a103efb1
cn.stylefeng.roses	office-spring-boot-starter	7.3.4		26604cb39a61c532757f42a2416c497e57eeaa8d
co.panghu.boot	panghu-boot-starter-jwt	2023.0.0.0-beta5		6fa26f542ed1a2609205775821ae6aaacb3c7c72
codes.quine	dali-cats_2.13	0.1.0		3d1a9092963eb8b6b58e2ed87894f8d0c7f71369
codes.quine	dali-cats_2.13	0.2.0		663e34ebe347f8bee1eafe20d52dccbddb42d9d8
com.47deg.xef	xef-postgresql	0.0.1-alpha.10		dcc97840c8f35610e86238c7517493fb5f809df5
