com.antgroup.antchain.openapi	openapi-opaiot	1.0.0		8df13182fa3daa9351017a378749ff17c7293e5d
com.assembla.scala-incubator	graph-json_2.9.2	1.5.0		567f81ddff9a33332aa124c83c22b49a4859ac98
com.cheonjaeung.compose.grid	grid	2.0.0		7189ba8d5f427729b6232510f3706a872b133a61
com.cheonjaeung.compose.grid	grid	2.0.0-alpha01		7189ba8d5f427729b6232510f3706a872b133a61
com.cheonjaeung.compose.grid	grid	2.0.0-beta01		7189ba8d5f427729b6232510f3706a872b133a61
com.cheonjaeung.compose.grid	grid	2.1.0		a796193edbe28bf31467f0999c1cac18050fef5e
com.cheonjaeung.compose.grid	grid	2.2.0		d7b28224c4caa34a879fab3769552b766a54c11c
com.cheonjaeung.compose.grid	grid	2.2.1		11f1fb59939c1ba7a78151bf841797dc04eedb39
com.dukescript.archetype	crud4j-archetype	0.10		bb3c3e969abe44d2590b2eaf1bf44fb87b8288ac
com.dukescript.archetype	crud4j-archetype	0.11		1ea5f2c8e0eb6b943ebdd59b4ed8a096ec2c6459
com.dukescript.archetype	crud4j-archetype	0.12		b93854a3c56733914b599912cc8b6834c2f64f2b
com.dukescript.archetype	crud4j-archetype	0.13		6aab257668e6052cdb704b2d1729a0e530c80e85
com.dukescript.archetype	crud4j-archetype	0.14		b48ae1b342d99e937b7e4b809b7e64660bf9cf94
com.dukescript.archetype	crud4j-archetype	0.15		0ee0d9a2ded95df7dc08cfa2d3e7e7108eaa61b4
com.dukescript.archetype	crud4j-archetype	0.16		bc4ac4b8c60a1e396d90cdaa93db91de1947cf7d
com.dukescript.archetype	crud4j-archetype	0.17		59a6ae5aebcfc3c84f0f36270bb6b06b99ef9eb9
com.dukescript.archetype	crud4j-archetype	0.18		2ce7b1af9efc2f86b97c6f0a2359bb64a6b04f23
com.dukescript.archetype	crud4j-archetype	0.20		e0a78870acf16a903631a1f1cb7472d107738f58
com.dukescript.archetype	crud4j-archetype	0.21		efad19727aa93ea46f7ace6a880f77b75f7b10c8
com.dukescript.archetype	crud4j-archetype	0.22		b59e80c41a4bc069f5b47e674582a93bedb6c751
com.dukescript.archetype	crud4j-archetype	0.23		9886e8f254240d8ef6f0f5a521567b3e07539bf0
com.dukescript.archetype	crud4j-archetype	0.24		2f406d767f7865af74f2dfbe9f8103d3043c8c1b
com.dukescript.archetype	crud4j-archetype	0.25		00e736fc8afb48f1914c7fad1d268dc653f7c46e
com.dukescript.archetype	crud4j-archetype	0.26		5f3e7fa3b6a69e6242c3969f2ec89e235023ef21
com.dukescript.archetype	crud4j-archetype	0.27		f97a0fd88e03959e08fad186660b2ebd8a0650be
com.dukescript.archetype	crud4j-archetype	0.28		9a56456e5cad642f1d11c0120fda9393d783719b
com.dukescript.archetype	crud4j-archetype	0.29		15a17855829fd940b090cc2268e2a1a05b0192c9
com.dukescript.archetype	crud4j-archetype	0.30		b9e0385f478cb14d4a3829780895823e79300d25
com.dukescript.archetype	crud4j-archetype	0.31		3b1fa8f19a044f07d2195bb2f8880bee910e29d5
com.dukescript.archetype	crud4j-archetype	0.32		3d5d8b4cb90fde84e66c2a25f65a0da429882a06
com.dukescript.archetype	crud4j-archetype	0.33		c146dfc0e02a7cab5c342c0f70515da1cbfb551d
com.dukescript.archetype	crud4j-archetype	0.7		a12cbdeda4ba81fe39b98bf18e3fb3a4062dbe05
com.dukescript.archetype	crud4j-archetype	0.8		e877b515791fab5d08031eac7b4fdbd90211db38
com.dukescript.archetype	crud4j-archetype	0.9		d18b2167d189d5f4c6bb9d6ffa31738a5761c9ed
com.fleeksoft.ksoup	ksoup-korlibs-linuxarm64	0.1.5		N/A
com.fleeksoft.ksoup	ksoup-korlibs-linuxarm64	0.1.6		N/A
com.fleeksoft.ksoup	ksoup-korlibs-linuxarm64	0.1.6-alpha1		N/A
com.fleeksoft.ksoup	ksoup-korlibs-linuxarm64	0.1.7		N/A
com.fleeksoft.ksoup	ksoup-korlibs-linuxarm64	0.1.8		N/A
com.fleeksoft.ksoup	ksoup-korlibs-linuxarm64	0.1.9		N/A
com.fleeksoft.ksoup	ksoup-korlibs-linuxarm64	0.2.0		N/A
com.fleeksoft.ksoup	ksoup-korlibs-linuxarm64	0.2.1		N/A
com.fleeksoft.ksoup	ksoup-korlibs-linuxarm64	0.2.2		N/A
com.fleeksoft.ksoup	ksoup-korlibs-linuxarm64	0.2.3		N/A
com.github.XDean	codecov-ignore	1.0		d5dacf6b243a77b58a8ab4b9bc978e42c2392745
com.github.XDean	codecov-ignore	1.1		2d6d0d9b2eaea30c7852c582a8a6547141af4726
com.github.XDean	codecov-ignore	1.2		81db468b6048e9e9fd20296b2734293ed0761b43
com.github.XDean	codecov-ignore	1.2.1		82e1aafe1d1bc736a2cb5122aabc07dffabc006c
com.github.celeskyking	cauli-ui	1.2		29f622cdd9760b983018d4b3aaeb40881d3639c1
com.github.celeskyking	cauli-ui	1.2.1		fba5f30ad2a73b0ff9b2eab131a89d7c3ae5e877
com.github.celeskyking	cauli-ui	1.2.2		0aa68389743829f05d66a63e8c733b9f4526562f
com.github.celeskyking	cauli-ui	1.2.3		c10052667a886daf0190059e329599457a1e173a
com.github.celeskyking	cauli-ui	1.2.4		cab231f65939f398c68f18e6b64682e87335dcd8
com.github.funthomas424242	plantuml-maven-plugin	1.4.0		714385f8c88e8e9165544519707571ad92e1bb6b
com.github.funthomas424242	plantuml-maven-plugin	1.5.0		8dab6b07f393a14b9eeae385ccc75f068e6b6e0d
com.github.funthomas424242	plantuml-maven-plugin	1.5.1		069e6437d73424ea0dbb90160f0d5774f866ad98
com.github.funthomas424242	plantuml-maven-plugin	1.5.2		349f2939420dddd7b8d013ac07e42521f91cd303
com.github.funthomas424242	plantuml-maven-plugin	1.5.2	java8	5924d5c240785964985bf21efb4c1b90d33da2cd
com.github.groestlcoin	groestlcoinj-core	0.15.10		ceffec89d13181ce6f2e7a92ed3d8add4edfd39d
com.github.groestlcoin	groestlcoinj-core	0.16.1		9030129312369dd7dac42f3e470792584f2f0038
com.github.groestlcoin	groestlcoinj-core	0.16.2		bbe0db00252d9e92c49312c4b69c9d169f761f48
com.github.groestlcoin	groestlcoinj-core	0.16.3		b256638abcffbc16143529e8cd6251cdf9a326cd
com.github.groestlcoin	groestlcoinj-core	0.16.3.1		e38e7dda243a34ccb31765ff608c4e52ec76cbd8
com.github.martinstuga	tuples4j	1.0		139a86e9caff05f52bcffd74360b25b721977522
