au.com.agiledigital	agile-scrooge-generator_2.10	0.1		fec0af63fee0cae77ca1a0191750592e12e14b6b
ch.cstettler.thymeleaf	thymeleaf-component-dialect	0.0.1		d0b946c56aae7762a0fe8d0fec86cd79d8b3ac3b
cn.herodotus.engine	oauth2-sdk-authorization	2.7.0.0		689f72d3e2291ade7d2a8c9ca62605c17143e09e
cn.herodotus.engine	oauth2-sdk-authorization	2.7.0.10		76e68790bb649e6e065046f47a1575ca1211225a
cn.herodotus.engine	oauth2-sdk-authorization	2.7.0.20		4f2b76e724cdce3a9880e75c37160969271aa77e
cn.herodotus.engine	oauth2-sdk-authorization	2.7.0.30		f89c5ee9d5e10a518045c78ba6111d28475c24a3
cn.herodotus.engine	oauth2-sdk-authorization	2.7.0.40		e8ba26e162c9a82ab3c5b0bf4ccaf20e281e9b66
cn.herodotus.engine	oauth2-sdk-authorization	2.7.0.50		9cab308a34f40febe913b82b3076750090d2f691
cn.herodotus.engine	oauth2-sdk-authorization	2.7.0.60		573a8ced39a6783decdf96e20b4dcab0d4b5ff77
cn.herodotus.engine	oauth2-sdk-authorization	2.7.0.Beta4		2a53f11d6435cea7af445d4ff97abcfb164dd4fa
cn.herodotus.engine	oauth2-sdk-authorization	2.7.0.Beta5		0e6d0774a5759f1c20ef61cf76d40c59976204ed
cn.herodotus.engine	oauth2-sdk-authorization	2.7.0.RC1		f9f0fe8a61952fc44f9ca118228a644558a18a15
cn.herodotus.engine	oauth2-sdk-authorization	2.7.1.0		cddfec43bb5e07a2f1602c1ede43706a2cfe96ac
cn.herodotus.engine	oauth2-sdk-authorization	2.7.1.1		12602fad842f6e621cbd777a416d02355febae8c
cn.herodotus.engine	oauth2-sdk-authorization	2.7.1.2		0216edd02f4a4366553b13616a9754d0964743fe
cn.herodotus.engine	oauth2-sdk-authorization	2.7.1.3		0567893ae5b5a459eeafd0f16a64244a24d8f441
cn.herodotus.engine	oauth2-sdk-authorization	2.7.10.0		e4625189b159fa98720a038e266f376bd557cfe5
cn.herodotus.engine	oauth2-sdk-authorization	2.7.10.1		cda68d0adae8050b4e4a51ba747c7b3b6a42f669
cn.herodotus.engine	oauth2-sdk-authorization	2.7.10.2		fe8a89bff7b43f8248e3ac2b67acf8a043f9ec94
cn.herodotus.engine	oauth2-sdk-authorization	2.7.11.0		adb58c3ca93ef5ee4ab4cb540b5512d7f1d356cc
cn.herodotus.engine	oauth2-sdk-authorization	2.7.11.1		6facad45664fa6c461604d9c2c60bac917803866
cn.herodotus.engine	oauth2-sdk-authorization	2.7.12.0		a21fa0ea9e097cdfbc296ad0bbce1a862b7dfc3b
cn.herodotus.engine	oauth2-sdk-authorization	2.7.12.1		e592b27b1c4b8c5986d3a773e0e7f21878b998d5
cn.herodotus.engine	oauth2-sdk-authorization	2.7.13.0		e1caf6b54651f3ff2d06c271d09ad26dda97e7a5
cn.herodotus.engine	oauth2-sdk-authorization	2.7.14.0		33909c84f13b9854b6f91e4a3a613b5cafbed249
cn.herodotus.engine	oauth2-sdk-authorization	2.7.15.0		b80877ef87619b889a6b7af28c683f938ef6d08e
