ca.bwbecker	jsFacadeOptionBuilder_sjs0.6_2.12	0.9.0		653b66e91b1ddaf68e07b23e12be1aecc002ea34
cc.akkaha	pea-common_2.12	0.6.0		85c89d104998f78f3bef29f029b1cc4fae31a437
cc.akkaha	pea-common_2.12	0.7.0		8bb30974563056f4d95488a7965ab4be31667ff1
com.bumble.appyx	cards-js	2.0.0		N/A
com.bumble.appyx	cards-js	2.0.0-alpha01		N/A
com.bumble.appyx	cards-js	2.0.0-alpha02		N/A
com.bumble.appyx	cards-js	2.0.0-alpha03		N/A
com.bumble.appyx	cards-js	2.0.0-alpha04		N/A
com.bumble.appyx	cards-js	2.0.0-alpha05		N/A
com.bumble.appyx	cards-js	2.0.0-alpha06		N/A
com.bumble.appyx	cards-js	2.0.0-alpha07		N/A
com.bumble.appyx	cards-js	2.0.0-alpha08		N/A
com.bumble.appyx	cards-js	2.0.0-alpha09		N/A
com.bumble.appyx	cards-js	2.0.0-alpha10		N/A
com.bumble.appyx	cards-js	2.0.1		N/A
com.carecon.fabric3	profile-timer	3.0.0		N/A
com.carecon.fabric3	profile-timer	3.1.0		db82dba81b1075358f738418235879cbcede900f
com.caringo.client	CAStorSDK	1.3.1-CS40		2a928fab156b613a448846cb17d9e10cbe354a82
com.clever-cloud.pulsar4s	pulsar4s-cats-effect_2.13	2.10.0		19e96eaaf8c5eda2ff0432796eb01b487c951917
com.clever-cloud.pulsar4s	pulsar4s-cats-effect_2.13	2.11.0		10f161c682b94c61825a9654eff64ce87c27e548
com.clever-cloud.pulsar4s	pulsar4s-cats-effect_2.13	2.8.0		5d88b8039418d29ef058e5c1b4ae5bad4dd7e6d9
com.clever-cloud.pulsar4s	pulsar4s-cats-effect_2.13	2.8.1		f4abe6042b958ea1c06c3b7c8a52ea7119fc2905
com.clever-cloud.pulsar4s	pulsar4s-cats-effect_2.13	2.8.2		16a1db28e1faefa96bb9741ae1661524180a1a00
com.clever-cloud.pulsar4s	pulsar4s-cats-effect_2.13	2.9.0		fec969fdb14df60f546bbfa42f88b600f89cd032
com.clever-cloud.pulsar4s	pulsar4s-cats-effect_2.13	2.9.1		5fda0224a24822e814340b235e51b23d0c96e6b2
com.clever-cloud.pulsar4s	pulsar4s-cats-effect_2.13	v2.8.2		1accb6daa1006a2f7d57072dcb1b07bf82efad3b
com.code4people	json-rpc-lib-server	0.0.1		b61e58e34cab2454adfb3c1e1d60d70d482b73ab
com.code4people	json-rpc-lib-server	0.1.0		1ba117950780d894175fcec9977984618075da2a
