at.released.tempfolder	tempfolder-sync-androidnativex86	0.1		N/A
be.digitalia.compose.htmlconverter	htmlconverter-iossimulatorarm64	1.0.3		N/A
be.digitalia.compose.htmlconverter	htmlconverter-iossimulatorarm64	1.0.3	metadata	956a78b528f102d289644296f0ae4c0277f71a71
be.digitalia.compose.htmlconverter	htmlconverter-iossimulatorarm64	1.0.4	metadata	786df83b8f8d11d32b53f1380884c0feff0e6374
cn.detachment	detachment-redis	1.0.0-RELEASE		c77561f732d41bfbc25233360e77374b60793185
cn.detachment	detachment-redis	1.0.2-RELEASE		99cffbee2b2064033765213ab55a5a76b1f49393
cn.detachment	detachment-redis	1.0.5-RELEASE		c892ba1352a7233ffbd9ccb9ab9f7bd6659fe866
cn.detachment	detachment-redis	1.0.6-RELEASE		9643a2a73373c02e83b373d689de1176b9c09d30
com.aallam.ulid	ulid-watchosarm64	0.1.0		N/A
com.aallam.ulid	ulid-watchosarm64	0.1.0	metadata	2a0058fbda5b59aada6b706a46ac9dd144e9ddb8
com.aallam.ulid	ulid-watchosarm64	1.0.0		N/A
com.aallam.ulid	ulid-watchosarm64	1.0.0	metadata	697758d7148b011dd225fbd1eacb1f88756cce3a
com.agapsys	embedded-servlet-container	0.1.0-20170322		8ecea4094a320d0597df42bd3c40eb72c61daef4
com.agapsys	embedded-servlet-container	0.1.0-20170513		d80069d0cb790419e77c01e3eb2ab8d8f63ce0af
com.antgroup.antchain.openapi	openapi-morserta	2.0.0		3418a30d221ce6009070ceb7d9df050a18d2a630
com.antgroup.antchain.openapi	openapi-morserta	2.0.2		b91b7bc9c82f96ee5b8dfafdbbb1cd9ca4c2fd63
com.antgroup.antchain.openapi	openapi-morserta	2.0.4		13c78a12dce191720de97de00abe9364086de586
com.antgroup.antchain.openapi	openapi-morserta	2.0.5		ff4ad368125cf216c3d0e385293f9a6acc56a818
com.antgroup.antchain.openapi	openapi-morserta	2.0.6		570ee55470e5611c00312d46a7b4fb2bb9885ae0
com.antgroup.antchain.openapi	openapi-morserta	2.0.7		a840c4326cdf2760c22a43e1f0974bff7fdd7d77
com.antgroup.antchain.openapi	openapi-morserta	2.0.8		ec2f05a4f970fd69ce103c88c3ec5920700cd09d
com.antgroup.antchain.openapi	openapi-morserta	3.0.1		19125f32c3d0a6f1bd9403dd2831397464e59dd7
com.bluecirclesoft.open	json-spring-reader	0.14		c6540b60cfac0dcefbe0190906354261c307cf4c
com.bluecirclesoft.open	json-spring-reader	0.14	jar-with-dependencies	4c62371f8727dc75379475b4127f3256346e4261
com.bluecirclesoft.open	json-spring-reader	0.15		9d2b42d211b957e531888f033a927b730238c2c1
com.bluecirclesoft.open	json-spring-reader	0.15	jar-with-dependencies	b4f039eabd493439abe930e61bc9b56cd0fb236c
com.bluecirclesoft.open	json-spring-reader	0.16		37bc895f4fb668b72800b947671a067c74126ffe
com.bluecirclesoft.open	json-spring-reader	0.16	jar-with-dependencies	6fceed5886621d944785a20d15ea78cde7d5b0af
com.bluecirclesoft.open	json-spring-reader	0.18		bf468c87e092f6727bfe848f794a053908a25c22
