HTTPClient	HTTPClient	0.3-3	-	8c601a287ffbf8a89b9c491d5966b999cd71dd8b
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.0.1	-	7b94e71be8e37fb352f3aabef2766271066409bb
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.0.2	-	b9c05b9a37495e9faf49365d73d281066b8b5d27
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.0.3	-	49655a3c5df621be463f4bbe0e713391916f0a6f
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.0.4	-	91859ee808288ba8519b15a3651ea2bcee4d61d3
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.0.5	-	902c6a9db18360213740a1b1d0462c86465113cb
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.0.6	-	c04528f273b57cd52cc946134162fe2a722a6e6b
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.0.7	-	c6bc6bd625a580b25d58bb6b296971ad0142cbd6
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.0.8	-	293eadfb11b4e51c2aa623825a6010e741de81f0
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.1.0	-	09de8811c322214fbe2b95772100343e9eb208ed
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.1.1	-	e3d868cb4302ab8cfaa2fb4093cf8221b58e2776
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.1.2	-	287ed1de5b9c6caa83bbe50fd08b840de717f7e4
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.1.3	-	ba624d94587a99245e06077a9ff4ab683ca9d29d
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.1.4	-	68af0c3ff3319787f4e38331648e2b5699dc14c2
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.0	-	627aa36a6c9addc9f64d71bfaaf35187b62e3523
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.1	-	f316629795f9a13f9c676585e7a9a48dfb7ff479
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.10	-	b3e5b93c0e0daf6599fa4c3f836f19047ab8c596
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.11	-	1bef2be43fe972feb5f885daecb3451e4a71eed3
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.12	-	53390a69a0525e014f41c73e9b1b131239ef570e
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.13	-	bd14c48d19960ddf10efe9bd1b3598b368ed260e
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.14	-	d2d4b2eb1e93c3297dd713158530cb66b3c36477
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.15	-	2332c34cebfe1ae32ed02d9adcac11cba5bba582
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.16	-	e48b69fc5f0d2182f662edc07663461091602773
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.17	-	609a944b4a4427ee92212ad4fae75e13f83d8aeb
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.18	-	c2eb119d67c54933dac2d8377983e35f89bfa573
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.19	-	d22110df59fa2d2c95ba6eb36c30b11178f4a7dc
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.2	-	23cb602af6fa9453265e37f0f79844704bd22cc6
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.3	-	051f50f851dd4c591256f7761295771e207cc25e
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.4	-	3e0561cc33a1bdb6f1ef27c3e077188d1bde9a62
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.5	-	39422e66daecb863bdb74461d2115b91e704a8db
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.6	-	7084fc034420351d7527624cc8b6244860742e80
am.ik.archetype	vanilla-spring-webflux-fn-blank-archetype	0.2.7	-	c581e0273b5e7043e34957513a507f05c0b67be1
