at.bestsolution.fx.test	at.bestsolution.fx.test.rcontrol.sample	0.0.1		968f23c73fcd9dc19ae069436e67cc24affa0544
com.charleskorn.kaml	kaml-jvm	0.56.0		130b6e003d964b72924d400f5e46b6fcb3382832
com.charleskorn.kaml	kaml-jvm	0.57.0		db0084d3923f19931749a08a3cb8fc3dab74e17b
com.charleskorn.kaml	kaml-jvm	0.58.0		5194066ce063b461a91c1cd05872983613c39744
com.charleskorn.kaml	kaml-jvm	0.59.0		80d700d9e612ab71cd30c48b13329937632b75be
com.charleskorn.kaml	kaml-jvm	0.60.0		10809894da8aa385d6216d0d95c9e71429e7b970
com.charleskorn.kaml	kaml-jvm	0.61.0		608cd3a08fa58a5b613133fd29b516dca8a50899
com.charleskorn.kaml	kaml-jvm	0.62.0		791314bd4bc70a30df30e3bc1a24d79c5532f33d
com.charleskorn.kaml	kaml-jvm	0.62.1		f57c2d5380daedd4188aedb7eae44173a50f3e4c
com.charleskorn.kaml	kaml-jvm	0.62.2		54f63b39b3b394c68b2eb2cc133e7cd99fbdbff0
com.charleskorn.kaml	kaml-jvm	0.63.0		54f63b39b3b394c68b2eb2cc133e7cd99fbdbff0
com.charleskorn.kaml	kaml-jvm	0.65.0		aa306266ba0d7788922f60785d9e1139dae96b20
com.charleskorn.kaml	kaml-jvm	0.66.0		aa306266ba0d7788922f60785d9e1139dae96b20
com.charleskorn.kaml	kaml-jvm	0.67.0		af8c2244371ddd59028ea094442543a65b6cf807
com.charleskorn.kaml	kaml-jvm	0.67.1		af8c2244371ddd59028ea094442543a65b6cf807
com.charleskorn.kaml	kaml-jvm	0.68.0		672e4adf48f5c7570653bc13351f987eca14f3ec
com.charleskorn.kaml	kaml-jvm	0.69.0		672e4adf48f5c7570653bc13351f987eca14f3ec
com.charleskorn.kaml	kaml-jvm	0.70.0		672e4adf48f5c7570653bc13351f987eca14f3ec
com.charleskorn.kaml	kaml-jvm	0.71.0		672e4adf48f5c7570653bc13351f987eca14f3ec
com.charleskorn.kaml	kaml-jvm	0.72.0		672e4adf48f5c7570653bc13351f987eca14f3ec
com.charleskorn.kaml	kaml-jvm	0.73.0		abeffe03e958d06cfa6496ecf7c3be9e566c33cf
