com.apollographql.apollo3	apollo-api-tvosx64	3.6.2		N/A
com.apollographql.apollo3	apollo-api-tvosx64	3.6.2	metadata	8db0773d9b757b1bd85b6cda00f614345e9457b9
com.apollographql.apollo3	apollo-api-tvosx64	3.7.0		N/A
com.apollographql.apollo3	apollo-api-tvosx64	3.7.0	metadata	e3d0bf55a5e7450e4ebd2126cb869583b784cde5
com.apollographql.apollo3	apollo-api-tvosx64	3.7.1		N/A
com.apollographql.apollo3	apollo-api-tvosx64	3.7.1	metadata	af709dcf452930dde0a8af11b99a9cdfd3dff503
com.apollographql.apollo3	apollo-api-tvosx64	3.7.2		N/A
com.apollographql.apollo3	apollo-api-tvosx64	3.7.2	metadata	874f3758a2771d401feaa0e0240530c033560e9a
com.apollographql.apollo3	apollo-api-tvosx64	3.7.3		N/A
com.apollographql.apollo3	apollo-api-tvosx64	3.7.3	metadata	b51ba86756204153b8f6d91354e26015bb97f69b
com.apollographql.apollo3	apollo-api-tvosx64	3.7.4		N/A
com.apollographql.apollo3	apollo-api-tvosx64	3.7.4	metadata	749b57a9483e042f7c27786cd6143a0aac95ad9e
com.apollographql.apollo3	apollo-api-tvosx64	3.7.5		N/A
com.apollographql.apollo3	apollo-api-tvosx64	3.7.5	metadata	ff236586f21243025b803cbe05f5ed0ba0fcd747
com.apollographql.apollo3	apollo-api-tvosx64	3.8.0		N/A
com.apollographql.apollo3	apollo-api-tvosx64	3.8.0	metadata	d7227ffc9e3ed08192931eae4a9611ab7709a73c
com.apollographql.apollo3	apollo-api-tvosx64	3.8.1		N/A
com.apollographql.apollo3	apollo-api-tvosx64	3.8.1	metadata	beb93706af1746efb35c8eb80f24da14afab0af8
com.apollographql.apollo3	apollo-api-tvosx64	3.8.2		N/A
com.apollographql.apollo3	apollo-api-tvosx64	3.8.2	metadata	96f8d55459592854328bb8cad1edfc2f9f2c36ca
com.apollographql.apollo3	apollo-api-tvosx64	3.8.3		N/A
com.apollographql.apollo3	apollo-api-tvosx64	3.8.3	metadata	8162816417cfd1a90c9318257bcf87bcb1a6a5f3
com.apollographql.apollo3	apollo-api-tvosx64	3.8.4		N/A
com.apollographql.apollo3	apollo-api-tvosx64	3.8.4	metadata	9bd8ad3e270b193d5d5823c571d938b429c1b5db
com.apollographql.apollo3	apollo-api-tvosx64	3.8.5		N/A
com.apollographql.apollo3	apollo-api-tvosx64	3.8.5	metadata	1434296935b1d27d94928d893320d6244a6b0f86
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-alpha.1		N/A
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-alpha.1	metadata	f277b7fe4079bf6ccb39513eddee6c9f92bffc74
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-alpha.2		N/A
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-alpha.2	metadata	f22caf268e4f21cf746424976d828f6dcfdf29a4
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-alpha.3		N/A
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-alpha.3	metadata	1d66db0f8dc9d28155b0d0667b62be7b983613c2
com.apollographql.apollo3	apollo-api-tvosx64	4.0.0-beta.1		N/A
