cn.zhangqin56	zq-common-utils	1.0.3		e090bbb1b8dd8af8a6dcdc491b15ad3b76ac980a
com.apollographql.apollo	apollo-debug-server-android-debug	4.0.0		N/A
com.apollographql.apollo	apollo-debug-server-android-debug	4.0.0-rc.1		N/A
com.apollographql.apollo	apollo-debug-server-android-debug	4.0.0-rc.2		N/A
com.apollographql.apollo	apollo-debug-server-android-debug	4.0.1		N/A
com.apollographql.apollo	apollo-debug-server-android-debug	4.1.0		N/A
com.apollographql.apollo	apollo-debug-server-android-debug	4.1.1		N/A
com.apollographql.apollo	apollo-debug-server-android-debug	4.2.0		N/A
com.arangodb	arangodb-spark-commons-3.4_2.13	1.5.0		f393771d1ff07e2977ce2e6b9c440bb9ca2c9d0f
com.arangodb	arangodb-spark-commons-3.4_2.13	1.5.1		56172971e21069a53f0a89a229c73ff9cd822a71
com.arangodb	arangodb-spark-commons-3.4_2.13	1.6.0		745050071c4ff9ef0e3223307aa9cc02a3f998ba
com.arangodb	arangodb-spark-commons-3.4_2.13	1.7.0		581f91cad9732cddefea044598f2dd6e5792427f
com.arangodb	arangodb-spark-commons-3.4_2.13	1.8.0		ef2a5efe574787da3168fedde9daeae1fdf38fad
com.blazebit	blaze-notify-core-impl	1.0.0-Alpha1		c6e38e667e8501759ff12829c8de7895c0d7085b
com.blazebit	blaze-notify-core-impl	1.0.0-Alpha2		f12e729e9073a13062744c1006a8e1f77edf0360
com.blazebit	blaze-notify-core-impl	1.0.0-Alpha3		1381b4c88ee4f6a8e406f4b296b5d11e1173755f
com.blazebit	blaze-notify-core-impl	1.0.0-Alpha4		7c019a8c1531ce2ef00b700cbe427e773eb1cafb
com.blazebit	blaze-notify-core-impl	1.0.0-Alpha5		25c597a18f092d09f78f3439540ebf7b251160b9
com.blazebit	blaze-notify-core-impl	1.0.0-Alpha6		0cbf4c68e05d5ba58bf9e61e9d9929e395bf4704
com.dimafeng	testcontainers-scala-mariadb_2.11	0.35.0		fc1f50b06b383571a0cc14f9e1ec9c78a4d1b944
com.dimafeng	testcontainers-scala-mariadb_2.11	0.35.1		1181eb40e44e2cc32a8b2abcf1b9208453d32191
com.dimafeng	testcontainers-scala-mariadb_2.11	0.35.2		d169bea80623523dc7d8afb6f32ab300048adb07
com.dimafeng	testcontainers-scala-mariadb_2.11	0.36.0		26f848669f0f8c7d789580fe795648404123799d
com.dimafeng	testcontainers-scala-mariadb_2.11	0.36.1		a22dc595d10bba6fac5eaea38e6cadfc10a23143
com.dimafeng	testcontainers-scala-mariadb_2.11	0.37.0		8a03ec05a002f244f51207e4640d8e83406240e0
com.dimafeng	testcontainers-scala-mariadb_2.11	0.38.0		cc60b96e5e090b90cedcaed26faaf66ae6db5a8d
com.dimafeng	testcontainers-scala-mariadb_2.11	0.38.1		82a39f80a9c7fe33651a7bcae9c7754ecaef0edc
com.dimafeng	testcontainers-scala-mariadb_2.11	0.38.3		d5137289caa7561376581046562ce69b034bfa97
com.dimafeng	testcontainers-scala-mariadb_2.11	0.38.4		c5708721f8139ea25157915bc4d4e8d2b15afc3f
com.dimafeng	testcontainers-scala-mariadb_2.11	0.38.5		7e63fcac53dbd684573c62ce5d8df8e9f45867f1
com.dimafeng	testcontainers-scala-mariadb_2.11	0.38.6		5ae2c6011b1ffebfdbf38b73a155c694a7bebe3e
com.dimafeng	testcontainers-scala-mariadb_2.11	0.38.7		28699178b4125a2dd8f6d8e735542f676e09bd6b
com.dimafeng	testcontainers-scala-mariadb_2.11	0.38.8		f8304f8643a53b4c3f1ca818048559469f013db0
com.dimafeng	testcontainers-scala-mariadb_2.11	0.38.9		e2ce8d8992171fff1c3b0412ca69c6bef1566efc
com.dimafeng	testcontainers-scala-mariadb_2.11	0.39.0		96a989bae977f4a133c505e40b23d15e1763cfa5
com.dimafeng	testcontainers-scala-mariadb_2.11	0.39.1		11b1a73932ae8307df549e1c41dad82acc5a9c39
com.dimafeng	testcontainers-scala-mariadb_2.11	0.39.10		4726ad8e385c4baca4f132c4eebffd89c85512e7
com.dimafeng	testcontainers-scala-mariadb_2.11	0.39.11		718d3b00fbf89efb8b5d332a780cac45ece43f12
com.dimafeng	testcontainers-scala-mariadb_2.11	0.39.12		d8dc64bd098640a18a1255ce9b9aa96d60570c3f
com.dimafeng	testcontainers-scala-mariadb_2.11	0.39.2		f9e67cdde2cfbded18a928856c15cf224a2b6afa
com.dimafeng	testcontainers-scala-mariadb_2.11	0.39.3		3d0cbca0920ad7c92a855bf55111ea49815aedbd
com.dimafeng	testcontainers-scala-mariadb_2.11	0.39.4		dec4a27b48b53b49dc2f8d625711ac19f06e7412
com.dimafeng	testcontainers-scala-mariadb_2.11	0.39.5		ba6d8429818f6d8def976328de794e7fb5abf386
com.dimafeng	testcontainers-scala-mariadb_2.11	0.39.6		eaffa937fa9b2f2fb0ab1a9edd3f2e460fc2301c
com.dimafeng	testcontainers-scala-mariadb_2.11	0.39.7		3bc6e1c89b4aaa78c3869a4a41f044796f7e3322
com.dimafeng	testcontainers-scala-mariadb_2.11	0.39.8		40d01f23ed308f572584d6993b3064f5a2d8be50
com.dimafeng	testcontainers-scala-mariadb_2.11	0.39.9		fe9c0700df38eea1f02c08a92d76c6111e80c31f
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.0		e237d98d146efa24ee79fc42ffe7cc893e46c188
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.1		c8031350f04280cf09535048e673ae80c2409514
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.10		fbbe4ac92f2060e52d3c1d8711765b00d0cc6f86
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.11		37fb347678d289b06a05a88be55f72267841a3f6
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.12		be26be29666fe73fd7d512a0452f9a983f6e9677
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.13		269c9b2cec800078c705fe6686cc5384ef83bddd
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.14		82f1dd8af38fb563217e09deefe2d9189d3cf2d4
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.15		ea64462ae94b23b346a50a456f8850261c802b0e
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.16		d3fc8cd1187c4181118d679cc209511b83f03eb5
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.17		3641028aa7d5955efccacc2fe4762fc8bd80447b
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.2		15b4404cf569f24c4040291495c4607b9470b52a
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.3		7fbb04f50c9f9338ae0b1d86cc448b9d208ca190
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.4		d1ca2bb755327111f97155d334b7f07bca697661
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.5		43b7282ccd4ceb6ee4e2fd3de30c4081c8996cd7
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.6		60567843d7fca0d9d56b607d63c3525a1b8995f5
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.7		1b1bdcf1c70d80a8dbfc4aa58f6ad0487a04a1ab
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.8		b6af0b157b0b6292ed04bf6e02bd08f55af1aae2
com.dimafeng	testcontainers-scala-mariadb_2.11	0.40.9		f78df619dbef05a2e01631a4744dcce36c33cd8f
