ch.admin.bit.jeap.messaging.test.messagetype.jeap	jeap-initializer-simple-test-event	1.0.0		49fab2f8e71ebbeb1d3361d11cf0664bc55db340
cn.atomtool	atomtool-bom	1.0.0		N/A
cn.atomtool	atomtool-bom	1.0.1		N/A
com.buession.cas	buession-cas-oauth	2.3.0		4f2dd1acfd4bba491f9ccddcd352210c87552a1c
com.buession.cas	buession-cas-oauth	2.3.1		e8a37af579ed568aa13149009d9eb9bf5d647504
com.buession.cas	buession-cas-oauth	2.3.2		288ecb53f1eebef0ed7a6c6eaa111127632b30e0
com.codacy	foundation-scala-lang_2.11	10.0.0_play_2.4		5bbcc86b4c624ea70ee0d8d7d5e1677e3f2f2734
com.codacy	foundation-scala-lang_2.11	10.0.0_play_2.5		423ff45bc858d72e0669f3332d950a910d2937a2
com.codacy	foundation-scala-lang_2.11	10.0.0_play_2.6		3954995948a3cf8acdfde8bd4c64940e0b17a7f7
com.codacy	foundation-scala-lang_2.11	10.0.0_play_2.7		cfc3782da70e9f4d65b30041eabbda7ae92c1bb7
com.codacy	foundation-scala-lang_2.11	10.0.1_play_2.4		50f3879bb4664448948f7b3f88092e5df784e709
com.codacy	foundation-scala-lang_2.11	10.0.1_play_2.5		8da74891873d30bb9b42cf90a28b9f998840dcfd
com.codacy	foundation-scala-lang_2.11	10.0.1_play_2.6		0875ee664a7f13a66c70b37decbf3b6d53e0a004
com.codacy	foundation-scala-lang_2.11	10.0.1_play_2.7		669409e9711da94e82bf9a930190e940c5ba80bc
com.codacy	foundation-scala-lang_2.11	10.0.2_play_2.4		aefc1a62c4477b0b452244f132f0c23347ad5aeb
com.codacy	foundation-scala-lang_2.11	10.0.2_play_2.5		4c6605a85044e0129fc2be6c1d0c348ee8acaed5
com.codacy	foundation-scala-lang_2.11	10.0.2_play_2.6		719882ced439804361c8bbe36976c981aef4c1ec
com.codacy	foundation-scala-lang_2.11	10.0.2_play_2.7		75133e2117f83733cbf62922db06b9c970daeddd
