ai.themsp	inmobi-adapter	0.1.0		N/A
app.cash.redwood	redwood-leak-detector-iosarm64	0.13.0		N/A
app.cash.redwood	redwood-leak-detector-iosarm64	0.13.0	metadata	d5c9c0d52b63769c63c19041e4d281c07b55ce90
app.cash.redwood	redwood-leak-detector-iosarm64	0.14.0		N/A
app.cash.redwood	redwood-leak-detector-iosarm64	0.14.0	metadata	55026506432509a70727109834b9fb8805ce13a3
app.cash.redwood	redwood-leak-detector-iosarm64	0.15.0		N/A
app.cash.redwood	redwood-leak-detector-iosarm64	0.15.0	metadata	de169d05362c6f08324d8c3da4ca9ccf83485fef
app.cash.redwood	redwood-leak-detector-iosarm64	0.16.0		N/A
app.cash.redwood	redwood-leak-detector-iosarm64	0.16.0	metadata	fbf2d28e21f0c7ca0684ed902b2521be788bbbb9
app.cash.redwood	redwood-leak-detector-iosarm64	0.17.0		N/A
app.cash.redwood	redwood-leak-detector-iosarm64	0.17.0	metadata	2efabebe32167aaee583de009eef10c4c3544617
bouncycastle	bcprov-jdk16	136		1458ca64bfe076b8c28ccf21d59275d3acd97d8c
bouncycastle	bcprov-jdk16	140		41efb2a94041ddced6d2b3f2f80d218853aac6c9
ch.epfl.scala	sbt-scalafix_2.12_1.0	0.11.0		b7f7ce6ffd19896f0437bc80f165ce9bcd1530bc
ch.epfl.scala	sbt-scalafix_2.12_1.0	0.11.1		9a86cb3fa20bcdcc6791dc3a8592f08e266bc84a
ch.epfl.scala	sbt-scalafix_2.12_1.0	0.12.0		a4b8bc255d0bd591fc9b9559c05c34906f72840c
ch.epfl.scala	sbt-scalafix_2.12_1.0	0.12.1		ecad3b985b7b9341fec79b5981dbd7cbe0e308ad
ch.epfl.scala	sbt-scalafix_2.12_1.0	0.13.0		72bc10eb7faeb69eee6282dfd84a55d61162a61f
ch.epfl.scala	sbt-scalafix_2.12_1.0	0.14.0		b2c7ceae6ec75b1f5da86a27f019a451f0fbe0a0
ch.epfl.scala	sbt-scalafix_2.12_1.0	0.14.1		986d50d649f48b39e689999ca0cc23a2aa7872e3
ch.epfl.scala	sbt-scalafix_2.12_1.0	0.14.2		f304b58a29e0f6b6d84275ef864d425cff11eb61
ch.exense.step	step-controller-initialization	3.11.0		2b21484f85813a55faf6d26b9ea1189f8693e820
ch.exense.step	step-controller-initialization	3.11.1		7d759b4a0003f0a3abd71d7be23016f1dce05c60
ch.exense.step	step-controller-initialization	3.12.0		f4bb0dc61e9050b3c0ce31d782bb7f6589eb6967
ch.exense.step	step-controller-initialization	3.12.1		a1012eb00e02c80944400fad1889d0e37f8ee028
ch.exense.step	step-controller-initialization	3.12.2		9e4a7d283c46208ae5385809778a30f43ce8d301
ch.exense.step	step-controller-initialization	3.12.3		9e3512ecad73bc257fe34225dd77105771fa5da3
ch.exense.step	step-controller-initialization	3.13.0		bdd63c3d2fc12e4b4866f7c452c691b7bacff84a
ch.exense.step	step-controller-initialization	3.13.1		adc7232824fafecd8f8a499e701e31d6d64bdb48
ch.exense.step	step-controller-initialization	3.13.2		936c6371f108b1de9c986bbe82cdd6b25cd5f771
ch.exense.step	step-controller-initialization	3.13.3		b0d60832991c8be8cf391bd159db3190ca805dad
ch.exense.step	step-controller-initialization	3.13.4		9280b48f9bf4cac965ebc9ab36f57a5ebfb54c69
ch.exense.step	step-controller-initialization	3.13.5		a3ecee25aa396bf29ee027fa07690c983c340f57
ch.exense.step	step-controller-initialization	3.13.6		53644e37990eca03aae9fe3ddb4560aa2192f595
ch.exense.step	step-controller-initialization	3.14.0		0e8c0ab1569b03f4bda660bd3d6c69af5d0f9e37
ch.exense.step	step-controller-initialization	3.14.1		b0cd96384e993fb699d14648343126e9ba2b7fda
ch.exense.step	step-controller-initialization	3.14.2		9d1de521430e4b3a1d705167cdb49b234ac2dd5d
ch.exense.step	step-controller-initialization	3.15.0		e668579e79908d7310dd29de74c418ed16583c8a
ch.exense.step	step-controller-initialization	3.15.1		04760d911b55431337894581bd132ef1de0eab53
ch.exense.step	step-controller-initialization	3.15.2		8e18978fcad5b9790c2e8ec470762d565de3c093
ch.exense.step	step-controller-initialization	3.15.3		2610557ad405066a5c70228bf24ec12ad7b28087
ch.exense.step	step-controller-initialization	3.15.4		43da48b7d36e5b2f2664cc0f9b1539b3050bba9b
ch.exense.step	step-controller-initialization	3.15.5		1aeb4d7fe358db1eefb87b6e31a9d23aa1451131
ch.exense.step	step-controller-initialization	3.15.6		e433667ee2806471f7431cc34ebff839ad770b37
ch.exense.step	step-controller-initialization	3.15.7		b45e952afaf96c784e9b06a3f0e4e928677b5968
ch.exense.step	step-controller-initialization	3.16.0		adef44b2503787d5bd746c87d3bf80038d9137d3
ch.exense.step	step-controller-initialization	3.16.1		0efbe4653671f5d72f94c4795b4f388fa3f8ffa6
ch.exense.step	step-controller-initialization	3.16.2		46e5b46fcc4f7a2f16298ac7e0e6f9619d6ca23c
ch.exense.step	step-controller-initialization	3.16.3		e093e5c8ec71c3e7aeb46c15991f448905e3c0fa
cn.com.antcloud.api	antcloud-api-provider-ak_da5bec5b30694c35a663e458f34e4b31	1.0.0		27958ea5c46230b754ccb49312a906cf0439df32
cn.starrys	starry-json	1.0.0		4f9b2a4661978a89a6d0686d8aa8b3892c2609dc
cn.starrys	starry-json	1.0.1		b0862c1f48343255e56e2e33bc73cbc960c4b775
cn.starrys	starry-json	1.0.5		a548bd200f50eed041678edcfa845cde0752e308
cn.starrys	starry-json	1.1.0		b494bb5765a49edaadad5af126238f3faf67af27
com.deliveryhero.whetstone	whetstone-gradle-plugin	0.3.0		c7f2249e18dc4f7ff556b3625e4625fdf74ba7c5
com.deliveryhero.whetstone	whetstone-gradle-plugin	0.4.0		45d0a1ecd72b635d8606dfda33dd59cc06f35843
com.deliveryhero.whetstone	whetstone-gradle-plugin	0.5.0		f135245714c2bd71fd790343e553d52e79ebe4db
com.deliveryhero.whetstone	whetstone-gradle-plugin	0.5.1		b9b2eca4594ba17d57a36f7515e8731b0449e4dc
com.deliveryhero.whetstone	whetstone-gradle-plugin	0.6.0		46f6f29c586d049e60b0bb50832ce786bdf73de4
com.deliveryhero.whetstone	whetstone-gradle-plugin	0.7.0		f9aace09de41cafe52c045e3254406529cadc2d6
com.deliveryhero.whetstone	whetstone-gradle-plugin	0.8.0		fdc4b8298bd8a95aec0e565b72a523219785259a
com.deliveryhero.whetstone	whetstone-gradle-plugin	0.8.1		366a532b585f642581195ce67d6b314474ab9350
com.deliveryhero.whetstone	whetstone-gradle-plugin	0.8.2		12befa02f6f4f2aea152ea26d4231872b6f362cb
com.deliveryhero.whetstone	whetstone-gradle-plugin	0.8.4		ca5c3ea59a9c532c2b239657156ec23cd01c9ad8
com.deliveryhero.whetstone	whetstone-gradle-plugin	0.8.8		6f412c5af9afa4579d1c2fbd1f594aa6c4ed3468
com.deliveryhero.whetstone	whetstone-gradle-plugin	1.0.0		b3b8430fa676bdc82313795e7c1a44e5be34c36b
com.deliveryhero.whetstone	whetstone-gradle-plugin	1.0.1		84b3ad501a0ac9394f16d904cecf26785c95f688
com.fresco-kitchenos	kitchenos-client-sdk.notification-events-api-android	0.0.2		N/A
com.github.haifengl	smile-json_3	3.0.2		9b2b8aa53637b1913baa33015a1ab009e0845a03
com.github.haifengl	smile-json_3	3.0.3		754b1236f380da113a24417e230caa54335b261c
com.github.haifengl	smile-json_3	3.1.0		32642503719263510ddaf73652b6f12f9acaf09e
com.github.haifengl	smile-json_3	3.1.1		dda4939d39f4a6205440ba2fe4329fd6be9ac724
com.github.haifengl	smile-json_3	4.0.0		dd77e7f77ee1a4de9c3f7092f79f9c0f8c981951
com.github.haifengl	smile-json_3	4.1.0		d0b18f4d18207a56352e2c302fea0b914024e1e0
com.github.haifengl	smile-json_3	4.2.0		9e7fe6f017a92035408dd6bf2aff257e0fa2330a
com.github.haifengl	smile-json_3	4.3.0		d03059f13be293e058c05bca84c30540955b8381
com.github.kyriosdata.saep	saep-dominio	1.0.0		767a5bafa938ed91cc421c099a1ee0e61b05757c
