asia.stampy	stampy-MINA-client-server-RI	1.0-RELEASE		c2e68dd34aac0ded34248a10571460b7c29c2a53
cc.carm.lib	configured-demo	4.1.0		6f04cfe59622e7e752545b1a14ce77219ec770ba
cc.carm.lib	configured-demo	4.1.1		00f693e380696cf1968fe4282b8bd94fbe6f8dc5
cc.carm.lib	configured-demo	4.1.2		a7b950f0a65aa62ed536398b10d396fb07b3fe73
cc.carm.lib	configured-demo	4.1.3		26ff38d84ec53aa421448a97df23101de516ad78
ch.tutteli.atrium	atrium-api-infix-en_GB-kotlin_1_3	0.12.0		39963d9136cb70cb58847f8df35b2c4f6d55dc13
ch.tutteli.atrium	atrium-api-infix-en_GB-kotlin_1_3	0.13.0		558339a27e5e3807371f8bb95ba981bacd1b50cf
ch.tutteli.atrium	atrium-api-infix-en_GB-kotlin_1_3	0.14.0		30b19fe05b487d2c2b21f994815b0cfab26ffe1b
ch.tutteli.atrium	atrium-api-infix-en_GB-kotlin_1_3	0.14.0.RC1		d8bd875503db07710dd08075a3ce02fc585c8fe4
ch.tutteli.atrium	atrium-api-infix-en_GB-kotlin_1_3	0.15.0		91001b643361dceb7dab45aaf73ab8bc7877bf9a
ch.tutteli.atrium	atrium-api-infix-en_GB-kotlin_1_3	0.16.0		045861dddc578e739bc1b5337e19dd8d061e07c0
ch.tutteli.atrium	atrium-api-infix-en_GB-kotlin_1_3	0.17.0		46afab0eeec0fa12c84665ed4064e9c91dabf003
ch.tutteli.atrium	atrium-api-infix-en_GB-kotlin_1_3	0.17.0-RC1		c389313b8f0e03e8b5d663a1e7f85077d5657be4
ch.tutteli.atrium	atrium-api-infix-en_GB-kotlin_1_3	0.18.0		8b71cad730509c0304779f82a3b587c3ba4c2588
ch.tutteli.atrium	atrium-api-infix-en_GB-kotlin_1_3	0.9.0-alpha2		1b39ff457debc1d15527bc2de8cee7ddc6116f5c
ch.tutteli.atrium	atrium-api-infix-en_GB-kotlin_1_3	1.0.0-RC1		N/A
cn.ipokerface	spring-boot-starter-component	1.0.0		e494f15d2ba6cdf74c5252b5b6fd17057468bebd
cn.ipokerface	spring-boot-starter-component	2.1.0		c700fe8ec1f7ebb1a6d4bea4bb726d36bdb7beeb
com.datastax.oss	dsbulk-executor-api	1.10.0		a3d99c35ab778f920cbb114bd7eb84a2f61d8b4c
com.datastax.oss	dsbulk-executor-api	1.11.0		64f84e43effbe24822a760da08957b840735b0c1
com.datastax.oss	dsbulk-executor-api	1.6.0		417d0bd320e3e79bbc329f2c515de2683f41fc19
com.datastax.oss	dsbulk-executor-api	1.7.0		2f960835573486ff1b06d35ff325243f499eb535
com.datastax.oss	dsbulk-executor-api	1.8.0		8980239f444b93bcb3cf86b0207b7e954302701c
com.datastax.oss	dsbulk-executor-api	1.9.0		9114148ac339ee34e590d7e6a179426eac4ac3f9
com.datastax.oss	dsbulk-executor-api	1.9.1		46ec8837d2b40d607ab548559e2a0741fd26dbdc
com.easilydo	sift-sdk	1.0.0		6b9dbb0e45775f684b2ece1f453f7d126760a58f
com.easilydo	sift-sdk	1.1.0		c4f8720820c90a5663178273492b1f212c048c3b
com.facebook.presto	presto-orc	0.100		933df0f70adf7ae5b8efe61472d8b7fda798bdb3
com.facebook.presto	presto-orc	0.101		ab964da1f2b4afb9d1adab3ec0f20d46f419a1da
com.facebook.presto	presto-orc	0.102		27c64116f8e6c67c3db5e1f1caf5162664e431b7
com.facebook.presto	presto-orc	0.103		8f6c406d91555cfd90fc42b2bbb3cb48f1e07d15
com.facebook.presto	presto-orc	0.104		c6dcc4c0ad970c5e1402e3d71cc884c8c2379525
com.facebook.presto	presto-orc	0.105		21e4e426fb4765d08a2ecf62932edb7c98f3204d
