ch.epfl.lamp	scala-records_sjs0.6_2.11	0.4		08c81edcbb69469a304c13b01808b7dfd2c350d9
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.371		bc6598b933112c9579290d5dcca9f78acf696c6e
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.372		d0ae216d0485118a362a6911ba0c0204a216c952
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.458		ecab24efa54bf9b07a31e53fe12893a08d55b884
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.465		c8971cbc68672f83becd8f8eba7912a0e61e025d
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.472		a26955f29e0c1c625ad83f1790711d0798d84151
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.487		77a3f2b81dd74ae955b7241abcbe23cf9b7245bb
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.503		54d6f2e5d93e4c40a365775df6b792371a831a0c
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.516		7ef26c425d00ce31bd25ce92accfaf808612195f
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.535		b16b2f671ba91737cff2b71a297de9dd28310d10
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.545.2		bcaaafea49a30d7dae644fe78ab6b175fd67531e
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.549		7ee8cff9d57f0b2697aa35ecb54f1201e673ef10
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.557		e74a778ca5f6338bd1c22742d5d28825876c17cd
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.559		c28326085a0c234806da2f5a8a0cd8ea8bb1eeaa
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.563		3df8126e7247226c9e5da99e12c22ac78d0bc760
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.564.6		3a204d5337e25ee0240c4acc843b97ef8a4a2c71
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.565.50		2047111a13136a9d759b66516550ddd66a562513
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.565.51		370a2fc42791dd3b6578b5fe11789f0d18eadec9
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.565.97		bb655684e261c70d68960fd572610c05b09f9a5d
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.567.22		e235aabd23d7d8090abbe5b3f22350fc6a7f8801
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.567.27		334f7b7f6552fda6861ffafbacc6aa2e139c4aad
cn.ibizlab.plugin	ibiz-plugin-extension	8.1.0.569.25		c45cb47062b4e65f1c0a40dd1b24be0acae22df9
com.apollographql.apollo3	apollo-mockserver-tvosx64	3.0.0		N/A
com.apollographql.apollo3	apollo-mockserver-tvosx64	3.0.0-beta02		N/A
com.apollographql.apollo3	apollo-mockserver-tvosx64	3.0.0-beta03		N/A
com.apollographql.apollo3	apollo-mockserver-tvosx64	3.0.0-beta04		N/A
com.apollographql.apollo3	apollo-mockserver-tvosx64	3.0.0-beta05		N/A
com.apollographql.apollo3	apollo-mockserver-tvosx64	3.0.0-rc01		N/A
com.apollographql.apollo3	apollo-mockserver-tvosx64	3.0.0-rc02		N/A
com.apollographql.apollo3	apollo-mockserver-tvosx64	3.0.0-rc03		N/A
