com.github.cafdataprocessing	worker-batch-ingestion-plugin	1.3.0-710		fd2fa73b6699e11d27ffbf8e4a52dedd5201b226
com.github.cafdataprocessing	worker-batch-ingestion-plugin	1.4.0-836		589305232ab1b14a2fa97e15c3453b9274196881
com.github.cafdataprocessing	worker-batch-ingestion-plugin	1.5.0-864		0356fd25b892ad501184bac00705e51cb1b488b0
com.github.cafdataprocessing	worker-batch-ingestion-plugin	1.6.0-873		53143de311b00a3cf7381eb1f7b7cbf186f0b5e9
com.github.cafdataprocessing	worker-batch-ingestion-plugin	2.0.0-894		e5836a75b143e21cf1d6490f73e1aac52e5608cd
com.github.cafdataprocessing	worker-batch-ingestion-plugin	2.1.0-963		1384f3eb2a27cde9431aea4b74ab8a2077dc66c7
com.github.cafdataprocessing	worker-batch-ingestion-plugin	2.1.1-996		0a7bf3734e65fedb5f7bb5fd43205e5e05fc6e37
com.github.cafdataprocessing	worker-batch-ingestion-plugin	2.1.2-1015		bfd1a195ada589089e8aca6650e620e850842b94
com.github.cafdataprocessing	worker-batch-ingestion-plugin	3.0.0-1050		ec002a579121f38a3da24df65e0f55f4db698bd4
com.github.cafdataprocessing	worker-batch-ingestion-plugin	3.0.1-1086		fadc1855b9d80dd50a205ffff6432f624e419d81
com.github.cafdataprocessing	worker-batch-ingestion-plugin	3.0.2-3		eae131ae27cacff1a302f937e03ddb333d49855e
com.github.cafdataprocessing	worker-batch-ingestion-plugin	3.1.0-1124		e991db0e0737b4f42e23b86da45dbee36fea7894
com.github.cafdataprocessing	worker-batch-ingestion-plugin	3.2.0-1195		87433e7a880e03e879b910b579708f18e3c684e2
com.github.dieterdepaepe	jsearch-core	1.0.0		ceffd0d695915fe454efa26b74d76e048ebb0938
com.github.dieterdepaepe	jsearch-core	1.0.1		47399ea794c3694d3c3d0f0173da0c822df014ac
com.github.kaskadee	knack	1.8.1		2343ac098500e7478f3e34de6c1870b1e740c107
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	0.0.6		79a212357502e9bb3a5351f41ed0d8e4e173993b
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	0.0.6	all	79a212357502e9bb3a5351f41ed0d8e4e173993b
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	0.0.7		520d391c3ade249924a47d0735a7d8c0c8f4574e
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	0.0.7	all	520d391c3ade249924a47d0735a7d8c0c8f4574e
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.1.0		ade51114481616c6e9b6b97f6220f848f6140a24
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.1.0	all	ade51114481616c6e9b6b97f6220f848f6140a24
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.1.2		22d010cf801287592a5a3d3616f5a5f70e0b0642
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.1.2	all	22d010cf801287592a5a3d3616f5a5f70e0b0642
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.2.0		0008c7bf424c7d1bec916796dd2a5fafc435ec79
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.2.0	all	0008c7bf424c7d1bec916796dd2a5fafc435ec79
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.3.0		c42d33589fbf3fe05e44d218061efae8bbb8c274
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.3.0	all	c42d33589fbf3fe05e44d218061efae8bbb8c274
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.4.0		76055df7a02862f075c9e3a550681cdb1b3cd65f
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.4.0	all	76055df7a02862f075c9e3a550681cdb1b3cd65f
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.5.0		df5f2b8d09ba3877ad6d5edc6fa6b97c55786fce
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.5.0	all	df5f2b8d09ba3877ad6d5edc6fa6b97c55786fce
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.6.0		7b4a53b5c53f976ecadf34fd411bd5f0728d6cb3
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	1.6.0	all	7b4a53b5c53f976ecadf34fd411bd5f0728d6cb3
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.0.0		cd52f3d54f67930bbabb5f8f7ddd106d3ab160bd
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.0.0	all	cd52f3d54f67930bbabb5f8f7ddd106d3ab160bd
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.0.1		7fed5cfdd4d6c32afa0d2e84c96e4772f486d00a
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.0.1	all	7fed5cfdd4d6c32afa0d2e84c96e4772f486d00a
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.1.0		4e136c25feb69747bf5cdff467c3f018c0f84360
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.1.0	shadowJar	4e136c25feb69747bf5cdff467c3f018c0f84360
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.10.0		05c1e51742b7c76542f1d72cceafe4bdbeb0b545
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.10.0	shadowJar	05c1e51742b7c76542f1d72cceafe4bdbeb0b545
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.11.0		4bfdfb3d783efaa071854a29880d37960e3ce14c
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.11.0	shadowJar	4bfdfb3d783efaa071854a29880d37960e3ce14c
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.12.0		b205038b898653af90929b5e7fce43709f21809c
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.12.0	shadowJar	b205038b898653af90929b5e7fce43709f21809c
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.12.1		c955dbcaac72eadc23cbf4b01a6a34b57c265221
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.12.1	shadowJar	c955dbcaac72eadc23cbf4b01a6a34b57c265221
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.13.0		fe70d60b9bf81d13db4fc0e704b347e598422532
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.13.0	shadowJar	fe70d60b9bf81d13db4fc0e704b347e598422532
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.14.0		ab4259a1a836a16ae02c709680f09148c2614b97
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.14.0	shadowJar	ab4259a1a836a16ae02c709680f09148c2614b97
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.15.0		ee0885bd24713687a256cab6af551cc6ba6c2478
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.15.0	shadowJar	ee0885bd24713687a256cab6af551cc6ba6c2478
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.16.0		9a79aa2e63cf33bf690ae1b0ad3605ebe406035a
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.16.0	shadowJar	9a79aa2e63cf33bf690ae1b0ad3605ebe406035a
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.17.0		9980f8211558fbe2fb32404a35a6c6a1d2cb3398
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.17.0	shadowJar	9980f8211558fbe2fb32404a35a6c6a1d2cb3398
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.18.0		eab1964d2d3e8e92236a4c80cfa811788b2bc712
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.18.0	shadowJar	eab1964d2d3e8e92236a4c80cfa811788b2bc712
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.19.0		7dd0c56d199d5d9c66a356d4505c7ba4883756b6
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.19.0	shadowJar	3a0592b8b0fe4a047ef0ce131c98253691fe3eb7
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.2.0		16ec02e5a8089a16ca36f392813b16f0451d5e47
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.2.0	shadowJar	16ec02e5a8089a16ca36f392813b16f0451d5e47
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.20.0		cc5a4ac5236e001528752bd0e40eb54c8b6b79bc
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.20.0	shadowJar	954d7f2f7a807771816abc80c12384e052e2bac1
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.21.0		c562405d2e00f6c759ef470ed3e11ef5daccf5d4
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.21.0	shadowJar	8e30d35c783b2f8e96d8ca2f2b2e21f378a744e8
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.22.0		03fe82a4bf21ca8ee0fd2345ad9fa683d7f1360d
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.22.0	shadowJar	9515e5273b3dc931ee302972eea891043bb8bd03
com.github.shynixn.mccoroutine	mccoroutine-sponge-sample	2.3.0		a53fa138e82e72f6a0abbf087c5c3097cd37a9c2
