br.com.ingenieux.launchify	launchify-maven-plugin	0.0.1		f597787f0e37f1f7959478cc32b05df5e6655f6f
ch.vorburger.mariaDB4j	mariaDB4j	2.2.1		8b5f61a27575ef852192ff9c74bb3135fd12e3e8
ch.vorburger.mariaDB4j	mariaDB4j	2.2.2		ecf2a02818d8ba5e1a180026dc3f83afe28ca225
ch.vorburger.mariaDB4j	mariaDB4j	2.2.3		85e7be5e374935bc81cb408211644422e607af29
ch.vorburger.mariaDB4j	mariaDB4j	2.3.0		1e07474701d6005d9bf1335928f0c49b0cd30b14
ch.vorburger.mariaDB4j	mariaDB4j	2.4.0		0f701ddd01678a2daa85a626bbda18af61bc2028
ch.vorburger.mariaDB4j	mariaDB4j	2.5.0		cd8bf4afa5758c5889b7b0f1db1990840ffc1056
ch.vorburger.mariaDB4j	mariaDB4j	2.5.2		f5f9b312bdccc4700ed7d1cd23c4a03ec2f977be
ch.vorburger.mariaDB4j	mariaDB4j	2.5.3		418681300c403d90a86c5e9095b8a3aad6575272
ch.vorburger.mariaDB4j	mariaDB4j	2.6.0		b77d11788941685a388a6da21321bab09fd9429e
ch.vorburger.mariaDB4j	mariaDB4j	3.0.1		1fb25d41f573c359bd7d6e69e143a8f94d0bd697
ch.vorburger.mariaDB4j	mariaDB4j	3.1.0		5d06f8d85c75bacc92b352aaab4d79a090d1fac5
ch.vorburger.mariaDB4j	mariaDB4j	3.2.0		d011a74b42cace1de7e7a863e4457947486deea3
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1000		778e3e7f1764db451a7918690e39e6270a4d66a1
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1001		acaf75087650b14b6239dd5df2b15ab6e1802961
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1002		d19ed1d2e75623edf34969f7a6ceefd8a7968ec6
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1003		311fe329b8b9f1a91592174cfaddb5f03a34b41d
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1004		d1009f5ebe2b378cb57510d3f48bae09697f4597
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1005		6ffb188c11bc84309aa6fd45b797eac513d371ac
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1006		65e68c2550878a5afe8d707bed2025f352515e41
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1007		76b7531df31080ef5d90ed99bd8ab4ec7962357e
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1008		5dc7b46ed62c91fc3a4a9c9d85308c3f1d59c28c
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1009		f735f55681000f38e2be6dfc3eb556292070d18c
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1010		923bc3405d386ad9c9bb20ee2cbb038dfd573a70
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1011		30184181d5130b18af4bcb1bd79988f3a8cb84ea
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1012		dd252a37f601762bc26abc551104a50b3f690059
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1013		fdbfc090de1a7a4ba797c8bc1ed6a403c0ab65e7
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1014		c072bee5b16f30e5b6fc090112543df367ea39fe
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1015		661237687afc4c7e268ecfd650373775daff55bc
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1016		f7e3dc26bb7bd68aa2bccc70045382ea2b846b5e
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1017		0034965e287b074eff965033d7e439e6d99347ef
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1018		f30751603751993bfc1924b552e5ede9e2196b38
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1019		01a7e3db4d3dbdd6c4499296920d3e64ecb61db7
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1020		9c1d258ac486e2cd6dac3692471331d2c355375e
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1021		9a7cb5d3b46f4a1dc870837919679ef304bea215
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1022		ee27efae548b9dedc8743156d38722c0a94d13e1
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1023		c5eedbbf21558d449b6ef2baa02878470b5c80cb
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1024		5c19943a0997929ce85fe2c8e4d7508f1c974376
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1025		e16e2ca2297f12e86989bd4d03c075f03832a955
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1026		04ebef2efbffecc9a04a834730db2a5e03ec76e4
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1027		067e76783ef39ebb5595064cc3b4b8623f21d78b
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1028		c366d599a26cd9e6d026fb52f3b8495c8cabf8e7
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1029		1606feedf250a3d79fa33ae84312c16220193bb8
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1030		c69165363cb9ff2fb173f8b5d953a1bb4e568a62
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1031		ea5b671c9146946fb96003fa1f26b6c4bab45627
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1032		ea95734aac933cf5472cb6747bd05ac219efd9ae
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1033		0cb820ef9edfc8276f035ed726bd680c25d8ffe0
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.1034		1f8db2de241ab527f8b55b4e0be9a7d630ca04d6
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.667		f5e77e761a6d368a6c39a9ae82206984b1803e01
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.668		039a7bd39257cbab45d6da4a69b923241c1481f0
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.669		36e702d3503d554f867f1d0a6fbdcc5f9903aae1
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.670		57e81a9f85db1bd8b1868d8f094d573b23de3d79
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.671		5c1d9d0fd3b16965a6638800cd8814e9ec72e401
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.672		300e3c30b21230d471fde3de1c40ff592499c3fe
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.673		387cc7bc851a39265da81a20dbb135990876b4cc
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.674		536cb310e154a0d2c4d6b6aca5d725a3d60ef584
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.675		d01af32f82fb620ff67d39983d9ecbd9ffbcac06
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.676		4a57a0d2c65dfe8f97d824f29b0679973a7b39b8
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.677		54d5a18eb4b33d96211d05257d250c741ee29a36
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.678		33d339783655611646e7b6bb631b016918b25044
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.679		97a011ca35d1b8cdd63368292c3a4ee401d1098c
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.680		b963bf9d1d685954d3669009a08120648b71f946
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.681		eb3b1c63b716a064e5c4504713f731d2209a74f7
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.682		ba103001b5fb13bb82d59d85a71ed530d529e3f1
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.683		a4e29d0e8157eec53b0cfea743a2620bf6551948
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.684		71906bcfd350a2fa5a2373be591f1b763ab23b78
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.685		c9537cab62beb533f284682a957483cdf83ad870
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.686		6a6e470c090a481a6155bb5343626acea81d966b
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.687		8a8aee6f8dea40af07a7d9cff9cfa22855395225
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.688		c9842025fa7adfae311f6ec33199720df635ad48
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.689		0606bae9ea6b5efa38760fecd39b777dee9ab5bb
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.690		44da8a502f00c1e21759bb5925f7c8229ec0cbf8
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.691		7f8227d8836587cda332fe3139e50b17f0cf26b0
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.692		1fa3df574f0d0427a128d83662f0baeda2f82288
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.693		7859ef832218f836b422aa73474e71773a57812e
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.694		02c73119b8936dade3f29c216e4976d31c95ae21
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.695		2604d3ea15669ab435ae98e00b4a7bc4f134258e
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.696		7f9cd3b64f635c14c5135bcfd171ba79f1203e11
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.697		cb5edb0d98d2247f0e83041685cc51e67e7e152a
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.698		12ba86030adf0862eaa9bce12dc48ac2debe18b6
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.699		75272e185864c07b0297c6e268f27bc71f9aa129
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.700		abb6cf266b30ba0f67596325ed12ab38e844e267
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.701		22ae7c3a886a117b8d34113bbba9f418154b7866
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.702		8b4e5aa8d2d0ee7ecad5ccc27843b46bac736990
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.703		9330f7c76e85316ee23df7fc5b12e84299b471c1
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.704		406f57283a8b8dcd532646eac69bff47cb90fbec
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.705		94f53a9aa417ce1edda9ee3e9e58c660dbb397f3
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.706		8f59807604c27caedca54d0b4fa357da1433f168
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.707		91889b139459ac215432c8eb8e50398803517300
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.708		4c20c70c9cf2e87ff1842d83b60dfc4a6656205a
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.709		7ff7e84a7c5f98509b8abddd88fb41d9e38321f2
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.710		bee80f3b9bb90f2cd8160778f886fc386e171eba
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.711		1e90ffb29c9798ce03665ff1aabbdf1b53a3150a
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.712		e8403de89587ff591b3f12c35a11a981c41f886f
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.713		52eb82d6b3351dd8ba0e187f77e208600bed064a
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.714		4e89c168a372a33c71b5568d37015791589791a5
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.715		7ff5d118f2c5dcf27e9e97a8e78e7437b04f7b3f
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.716		2e9fb66de6dc2fc08f58c0cf3d54884c261b455c
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.717		70388d10dff1aabf8d25a3275345e51ce308c704
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.718		4d9b361818973b5bfecd193eb8673037a7b50349
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.719		493dee8991fe7f57ee517933bbed1ffda1791423
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.720		9fb58f7e77be36b6dc53ede34fe3d67b2756d9f7
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.721		305cd3f933a68d6ad1b2c15b2d2487bd757fb9c3
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.722		a93d973ddc25d2772ca70d577bec5e58ea1ce2f8
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.723		0109451442ded131f10c5f11ab006c77a764a9e5
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.724		884910badaaf8e0bb67315bb45baa9d4fdaea874
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.725		47f9cf0d175cb4747ef2a34303a04c84ea64376a
com.amazonaws	aws-java-sdk-codestarnotifications	1.11.726		abbf960bc681ddf1d82dce288e95d282bef4d93a
