at.released.tempfolder	tempfolder-sync-wasm-js	0.1		N/A
com.contentgrid.thunx	thunx-predicates-querydsl	0.4.2		1fc0111eeb3bca8fe56bd5b0eb93d2344f7e91e1
com.contentgrid.thunx	thunx-predicates-querydsl	0.5.0		95f4b6710759ac96c4814d67ee6ac879c3fc3352
com.contentgrid.thunx	thunx-predicates-querydsl	0.6.0		20c1ee6d246b7677d2db8a13cfd5296232e1cead
com.contentgrid.thunx	thunx-predicates-querydsl	0.6.1		48bfab1539dee10f52d7233d47d381b77035bd78
com.contentgrid.thunx	thunx-predicates-querydsl	0.6.2		6047ce56ca1b5ae3b55230a495fe6bf58dd53464
com.contentgrid.thunx	thunx-predicates-querydsl	0.7.0		61f99abbf984c3c55a04c7271dd7c4f558fe10fe
com.contentgrid.thunx	thunx-predicates-querydsl	0.7.1		0c3ddb79c0c35f6f0ace21bc96abf0d33dd3a677
com.contentgrid.thunx	thunx-predicates-querydsl	0.8.0		4f099e53b6541bd6af0551acd2fccb85b0b0cd7c
com.contentgrid.thunx	thunx-predicates-querydsl	0.9.0		7254ab190bcfbc82ee3fba6f54851101916dcb2f
com.effacy.jui	jui-text	0.0.9		31155cf25931521a4213b68aca79368d7141b76e
com.effacy.jui	jui-text	0.1.0		fa123cd53d474de2d4cc3cd12b487d54926a2c94
com.effacy.jui	jui-text	0.1.1		2233036ae4c8272ec5c772610e4dc428ca656280
com.effacy.jui	jui-text	0.1.2		51e93e0edaf294db30ee3adeb1fe8a45dc4a4555
com.effacy.jui	jui-text	0.1.3		5af8d517fbe147b1769fb893af12857c34ac936f
com.effacy.jui	jui-text	0.1.4		773dc7c9c345443bb751cf6a5c69d12b75cf6fee
com.github.7moor-tech	7moor_visitorIm_sdk_pravite	3.6.0		N/A
com.github.7moor-tech	7moor_visitorIm_sdk_pravite	3.6.1		N/A
com.github.cerst	jsoniter-scala_2.13	0.1.0		4c04fef622c087636787abd395a72242dc5a8c6f
com.github.cerst	jsoniter-scala_2.13	0.1.1		5bf3258adfb6d145c4816cd74b8dd7d11d272cc2
com.github.jodersky	flow-native	2.0.2		daadfae8652fe156757b38b7811188301267425f
com.github.jodersky	flow-native	2.0.3		b88c98265cad1bcff62743af8679aef2b8706316
com.github.jodersky	flow-native	2.0.4		1722ba444622e2981a3f33957b73ac628760daa5
com.github.jodersky	flow-native	2.0.6		7357ebcc8ab82896e24a6df1f3f8624d1bbe0b84
com.github.jodersky	flow-native	2.0.8		7aae408c24ef1c9c812ee507be2d5a266bd308a8
com.github.jodersky	flow-native	2.0.9		34a4307b291d1623a03cdbb07ca4ee19222221ee
com.github.jodersky	flow-native	2.1.0		6e481e8dfc257f2a3e414a78b96e0ff5f9467cdc
com.github.jodersky	flow-native	2.1.1		0002c982eb1dc12522e075e3e5114ccd5325c48c
com.github.jodersky	flow-native	2.2.4		f820e3a9be94fe2e74b86468d5a66461aff7a091
com.github.jodersky	flow-native	2.3.0		ef42e1bbed3ada75f296141f5223c13eba418e67
com.github.jodersky	flow-native	2.3.1		b7b89da340083fa1b4a084876d5b34bcdf3dff9a
com.github.pureconfig	pureconfig-zio-config_2.13	0.17.0		061bd035d7710d310a4805fdc821a38eaf9f475d
