br.com.anteros	java-parent	1.2.2		N/A
ch.epfl.scala	compiler-bridge_2.13	1.3.0-M4+20-c8a2f9bd		f0762d48f0f91e5531ee5efd13dbd8cf672b71c7
ch.epfl.scala	compiler-bridge_2.13	1.3.0-M4+22-4704d479		83e77dbdfcee0ad010d2ffad5253540c3a845aa4
ch.epfl.scala	compiler-bridge_2.13	1.3.0-M4+25-0283d5c6		061036ef3514776719f2d6efffb6ba0102db10c2
ch.epfl.scala	compiler-bridge_2.13	1.3.0-M4+26-045d2c8c		df3e5c1276a8164770d90c11c45ad3ec0ca032ec
ch.epfl.scala	compiler-bridge_2.13	1.3.0-M4+26-4e16c337		a05a150ad1ca0aa8222e894a669e40a4a5ab1b95
ch.epfl.scala	compiler-bridge_2.13	1.3.0-M4+29-70d1c7c4		89219ed6cb92e31f22bdd811b50badcd3a874a60
ch.epfl.scala	compiler-bridge_2.13	1.3.0-M4+32-b1accb96		72873359b1ec928d03de3571cff97fed011cbca9
ch.epfl.scala	compiler-bridge_2.13	1.3.0-M4+42-5daa8ed7		e4d3ee9ab4743d9b855f930fe4f92b1076eb6991
ch.epfl.scala	compiler-bridge_2.13	1.3.0-M4+44-1e74f1f1		ce9b6574a44e7ada319e37e19e158fe51cd7650e
ch.epfl.scala	compiler-bridge_2.13	1.3.0-M4+45-d4354be3		35c0ad470b88bda30cf3302a52c8dec10c31bcee
ch.epfl.scala	compiler-bridge_2.13	1.3.0-M4+46-edbe573e		e577b0498dea36a9e1982f239a452b446bb8058b
ch.epfl.scala	compiler-bridge_2.13	1.3.0-M4+47-d881fa2f		e4959450876ecf653bf79ee547b93c8b7424ef76
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.371		634aefcdcc0a0dac86a0dfc65853d2a92d6feeea
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.372		13d3f93a34e7d548f3675f9ec3d8a7d8b98d287e
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.458		de66ccb89829607566f3bafbecf928456e4b9582
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.465		0c4f5f37ff0bf5758b8cf017f4a0516315ac60d5
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.472		64a83dc49f2608a5ba320ba5d5e59266447a6858
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.487		8ffd2a30532dbeecdfcf041dafaab9989be1ffb7
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.503		76435126653959146caded9d45134a797c3be2e8
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.516		2266c1a87f15644421c3d71cab9f05a52202e905
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.535		aaa8e8affaa477b5f84f1d7bfa6b8c3447dc59af
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.545.2		427c23a447d1313610f595ae6512af7c166aacd5
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.549		f65191c6429698fe1f9d8c92a0e53a27d81e4249
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.557		f9ca905227971cd2260a064bf31913070f5b2896
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.559		0295346c4c0c64cd90a8e2918127559ea7ec94be
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.563		d702400390b47bbf78c7c6ea1bd6ca73b18f7126
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.564.6		f51cb4ac9a0923fbaa7cf414e2824c5f57103fda
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.565.50		2649f5b7ad4a621f26ee5c6d580e0b13f76a1578
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.565.51		564debc5f225ba066c4f9fd0927e94fd000026e7
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.565.97		c84ada68affca0c94204832e42a76d5ef3c6fa99
cn.ibizlab.plugin	ibiz-dataflow-core	8.1.0.567.22		2617a7e8cc129a1622edb3d19e8aa0e107dfb27c
cn.weforward	weforward-data-elasticsearch	1.2.10		fec144913156427c59022e37a4be04a5e76899b2
cn.weforward	weforward-data-elasticsearch	1.2.11		82bff5a68d15271545829c22712dedc13e0b862e
cn.weforward	weforward-data-elasticsearch	1.2.12		6729840c09036abca8d731eae2054b5337fc1080
cn.weforward	weforward-data-elasticsearch	1.2.13		b80c894a03ed6cce99f92453e27dd7286ba1e97b
cn.weforward	weforward-data-elasticsearch	1.2.15		36c2190c7fe06dc95e230bd89508b52ae9fe9371
cn.weforward	weforward-data-elasticsearch	1.2.17		f5e67ce847dbce977426983f4fe5070e22b436af
cn.weforward	weforward-data-elasticsearch	1.2.3		5e07406ad8d2150cd10ebd36019cb55fe2c39353
cn.weforward	weforward-data-elasticsearch	1.2.4		91ab524750053a4b4a5979be070d22b8c3a821f8
cn.weforward	weforward-data-elasticsearch	1.2.5		061948158875bd88d6150d81637afddefbb144a2
cn.weforward	weforward-data-elasticsearch	1.2.6		caa50476ad5f3e8de3bece5ab6d20fed458a1329
cn.weforward	weforward-data-elasticsearch	1.2.7		dc3f194084a6fc08fa2d64a5ff9c24d5f66754ad
cn.weforward	weforward-data-elasticsearch	1.2.8		6a0a6c31d937ed597c3bbede5e13df5ce4139828
cn.weforward	weforward-data-elasticsearch	1.2.9		ebb206ae6bd6ef0921d3b0b74a65a63ad72f254b
com.amazonaws	aws-java-sdk-docdb	1.11.1000		a20db827d4ec29b93619531a31f80c76d7a2cc79
com.amazonaws	aws-java-sdk-docdb	1.11.1001		614824571f99aa51474ab0eea06493bc545bd692
com.amazonaws	aws-java-sdk-docdb	1.11.1002		6dec49e2cb3c88453b42fee48bf116d238a4a924
com.amazonaws	aws-java-sdk-docdb	1.11.1003		bd60d7f9ebc224299a5bc4b52795a34eafcdc0f8
com.amazonaws	aws-java-sdk-docdb	1.11.1004		fe8747cb68d2e54b0a374359c4118ef68eb9fc1a
com.amazonaws	aws-java-sdk-docdb	1.11.1005		b6e6ce0a21e5d88c3061a04f66a9e2ff8ca7fe48
com.amazonaws	aws-java-sdk-docdb	1.11.1006		e6721c40cd17fa11322450e3262d145e2d9cb67b
com.amazonaws	aws-java-sdk-docdb	1.11.1007		3d485d8ee48a33331740f6410fab1a3a5e6bb7c5
com.amazonaws	aws-java-sdk-docdb	1.11.1008		c4e94d0f95f7a2054999e5a26c7294b95fe980b3
com.amazonaws	aws-java-sdk-docdb	1.11.1009		4e1f6b3632b89c1ed060481133322c53c24f840c
com.amazonaws	aws-java-sdk-docdb	1.11.1010		3ebcca3cfd8bbf1fa6de429965769929851a5f7c
com.amazonaws	aws-java-sdk-docdb	1.11.1011		fac6fe5fcc2de6856636af3733f94cacd98b4784
com.amazonaws	aws-java-sdk-docdb	1.11.1012		b4c18c5598a56c24f99b13f3f6315f8b32b9f549
com.amazonaws	aws-java-sdk-docdb	1.11.1013		35881749600191c3aa1412ef847479b7e4d43401
com.amazonaws	aws-java-sdk-docdb	1.11.1014		0d009ea62c050b564e49f22b53c267256f3bc053
