at.a-sit	grapheme-clusters-js	0.0.1		N/A
at.asitplus	multibase-jvm	1.0.0		6693f9f370ab3f139a25e01f5c54bbbdf098ab01
at.asitplus	multibase-jvm	1.1.0		be8e90af779f6b4f0efd5b1645fa1d17c1c526bd
at.asitplus	multibase-jvm	1.1.1		be8e90af779f6b4f0efd5b1645fa1d17c1c526bd
at.asitplus	multibase-jvm	1.2.0		9f8635170baec41fbdd92a8c2401588491b36e1f
at.asitplus	multibase-jvm	1.2.1		9f8635170baec41fbdd92a8c2401588491b36e1f
at.quelltextlich.jacoco	jacoco-toolbox-parent	0.4102.1		N/A
at.quelltextlich.jacoco	jacoco-toolbox-parent	0.4103.1		N/A
be.vlaanderen.informatievlaanderen.vsds	ldes-server-port-admin-rest	1.1.0		b2984edbcdc5c39fafd341e971f0385003637868
be.vlaanderen.informatievlaanderen.vsds	ldes-server-port-admin-rest	1.1.0	jar-with-dependencies	7502eb6018b5e17725b4ca48f03cf4a8456202ce
be.vlaanderen.informatievlaanderen.vsds	ldes-server-port-admin-rest	1.2.0		2ded409755cc6a2c0cdd72bfe0febe44d84c963b
be.vlaanderen.informatievlaanderen.vsds	ldes-server-port-admin-rest	1.2.0	jar-with-dependencies	3c1e1bd667c6287cc8a8bb10d729076d91260da9
cn.sourcespro	commons	0.0.1		48fc54e418241c09c03f369b4b8a061a19641768
cn.sourcespro	commons	0.0.1.RELEASE		0ec2c10a7b1f337faab295daf8fd93eb4f4912c3
cn.sourcespro	commons	0.0.2		1d435769eb69696ab1a9b9540f34edf679ad1751
cn.sourcespro	commons	0.0.3		81c59a4f1a142616abec99ed45244aab4783e99b
cn.sourcespro	commons	0.0.4		2487b6e5df51e8b9a74cb9a96010a7747790ed78
com.alibaba	rsqldb-rest	0.2		0338f2fbc5acbc2a7206565a71dfba939221ae80
com.almende.eve	eve-protocol	3.1.0		N/A
com.almende.eve	eve-protocol	3.1.1		N/A
com.autodesk	CoroutineWorker-mingwx64	0.5.0		N/A
com.azure	azure-communication-sms	1.0.0		dc578f8ada3df9c9cb36968bf373713d4e388ead
