be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	archive-file-out	2.12.0		N/A
cloud.oneentry	sdk-orders-watchosarm32	1.1.1		N/A
cloud.oneentry	sdk-orders-watchosarm32	1.1.1	metadata	bf39f93680ca544be9153f7781deec2bbc4880ee
cloud.oneentry	sdk-orders-watchosarm32	1.2.0		N/A
cloud.oneentry	sdk-orders-watchosarm32	1.2.0	metadata	6303cece39ada9fb24607f78183dcabf1cfffc7a
cloud.oneentry	sdk-orders-watchosarm32	1.2.2		N/A
cloud.oneentry	sdk-orders-watchosarm32	1.2.2	metadata	a4480376ea53c6b697ed4b76c5b0c24b8612dd7b
cloud.oneentry	sdk-orders-watchosarm32	1.2.4		N/A
cloud.oneentry	sdk-orders-watchosarm32	1.2.4	metadata	db22d56eb385b0c2df2cf29e4dc9e6f3186aca55
cloud.oneentry	sdk-orders-watchosarm32	1.2.5		N/A
cloud.oneentry	sdk-orders-watchosarm32	1.2.5	metadata	d65c3686b60ed9d58b5fc2a27dcc5730f7f2bbef
cloud.oneentry	sdk-orders-watchosarm32	1.2.6		N/A
cloud.oneentry	sdk-orders-watchosarm32	1.2.6	metadata	61597dd975bfe015b1340398e5ab83af550367f8
cn.acooly	acooly-sdk-wecom	5.2.0		8e76d8125058f0ddc5d3ad803f35fef189a3063d
cn.acooly	acooly-sdk-wecom	5.2.1		36cc425e0fcf57178b65b5ac7856f51b3f895f20
codes.rafael.documentsql	document-sql-postgres	1.0		008ce8497b5d60d25444fe5fb02be7cb0689f29f
codes.rafael.documentsql	document-sql-postgres	1.1		0e4978b9dfed5dfe2949271013d64fa8f8912957
codes.rafael.documentsql	document-sql-postgres	1.2		87b4140885f3a2fe8e1308d932f706a85962dc10
codes.rafael.documentsql	document-sql-postgres	1.3		e8777b4bbd2367626f5abe04e4c06277c0044754
codes.rafael.documentsql	document-sql-postgres	1.4		e33be5f04678a332c16212ca4056b7839778ec0e
com.alibaba.lindorm.thirdparty	avatica-core	1.1.10		b7079b6f1e312a39f848319200b530defe971feb
com.alibaba.lindorm.thirdparty	avatica-core	1.13.0		7636764774a17b6fb6de60bdd8ac43ab51bb9d56
com.alibaba.lindorm.thirdparty	avatica-core	1.13.1		758e060b542bba5c916df276481fb404bf9b4a1d
com.alibaba.lindorm.thirdparty	avatica-core	1.13.2		d94c315c39546ccfb001373215c640bbb88826f8
com.alibaba.lindorm.thirdparty	avatica-core	1.13.3		fe82c06b389e69523af6a960e761cf32bbec2254
com.alibaba.lindorm.thirdparty	avatica-core	1.13.4		57049345443c3bff03ab3cbbf1c9e9398043f35c
com.alibaba.lindorm.thirdparty	avatica-core	1.13.5		5391075277a5b6f069d50e79504ca59e1b8c2001
com.alibaba.lindorm.thirdparty	avatica-core	1.13.6		a0a16eeaa3c4750f51b02541e47d144c136d13ce
com.alibaba.lindorm.thirdparty	avatica-core	1.13.7		d0ad7bf915da852059f3fe7e4eb9a44afd6a48f4
com.alipay.sofa	registry-parent	5.2.0		N/A
com.alipay.sofa	registry-parent	5.2.1		N/A
com.alipay.sofa	registry-parent	5.3.0		N/A
com.alipay.sofa	registry-parent	5.4.0		N/A
com.alipay.sofa	registry-parent	5.4.1		N/A
com.alipay.sofa	registry-parent	5.4.2		N/A
com.alipay.sofa	registry-parent	5.4.3		N/A
com.alipay.sofa	registry-parent	6.3.0		N/A
com.alipay.sofa	registry-parent	6.5.6		N/A
com.alipay.sofa	registry-parent	6.5.6.20241001		N/A
com.aoapps	ao-io-posix-book	4.0.0		bea0b2a118ba2c16fb6f933134d88c7271193db7
com.aoapps	ao-io-posix-book	4.1.0		428c98bf5fbb6fbe8bef97f091bc9a399202539a
com.brunooliveira.droidnate	droidnate	1.1.0		N/A
com.bunjlabs.fuga	fuga-logging	0.9.1		7d4a4ea3890ebe6de2b53f5dcaef50784afc311e
com.cerner.beadledom	beadledom-client-guice	2.3		86a1cfa06d293b7648d857f716552e814e72b64a
com.cerner.beadledom	beadledom-client-guice	2.4		d9718d74fa8d0db3a332239c95a0d8b6dbc070a8
com.cerner.beadledom	beadledom-client-guice	2.5		8ecab1790e5bf75750708511863a07be6bac6a72
com.cerner.beadledom	beadledom-client-guice	2.5.1		1a1397c20ef7ec390492549c657358d10dedf6a4
com.cerner.beadledom	beadledom-client-guice	2.6		ee718d2ca74ab87235977b2c9f31a06cb14e2a2f
com.cerner.beadledom	beadledom-client-guice	2.6.1		5cd7a35a77fd88f0a1335a34226e489e97371129
com.cerner.beadledom	beadledom-client-guice	2.7		64c829862e5f53901bfcb5b05d792874b462b903
com.cerner.beadledom	beadledom-client-guice	2.7.2		17660ce7cd8ebca4ca19f20c6ab6b34f76bbc5cf
com.cerner.beadledom	beadledom-client-guice	2.8		2391c7d684bd4586869140eb9beaf45493768c4d
com.cerner.beadledom	beadledom-client-guice	2.9		4425931266821b14cd740fc0048a31e3dc89a730
com.cerner.beadledom	beadledom-client-guice	3.0		f517f96b076cbdec057e957089b65a1415bbb1c8
com.cerner.beadledom	beadledom-client-guice	3.1		20eaeed4e9859f7121fe1220ca9e48f2c2ad15c0
com.cerner.beadledom	beadledom-client-guice	3.2.3		5e9adf17b4a573337186b52c326aed44b454a1cc
com.cerner.beadledom	beadledom-client-guice	3.2.4		781ce6f840025956dd921de7e9d7a29b5902d19c
com.cerner.beadledom	beadledom-client-guice	3.2.5		950fdcf0a498d633dc0b5c578fb04b2905bb82cb
com.cerner.beadledom	beadledom-client-guice	3.3		eabcdbd2cdbb51d07073971691ded73e4d047b3c
com.cerner.beadledom	beadledom-client-guice	3.4		e83f66a22220dc0cc28d71755c9f26ec0c85eedb
com.cerner.beadledom	beadledom-client-guice	3.5		d733861e0b626c1a220f90a93a9e89032f89cc21
com.cerner.beadledom	beadledom-client-guice	3.6		9944146b7a4693de293b2f2bb001d01c56f69c7d
com.cerner.beadledom	beadledom-client-guice	3.7		b4518d2ad4d7707c5e19ffd0a501e32489b137f8
com.cerner.beadledom	beadledom-client-guice	3.7.1		c6550ef082a6dede6d103dd50a2ff20ad365fc83
com.cerner.beadledom	beadledom-client-guice	4.0		d9483527fada7715be969e367ed1de42377d0801
com.cerner.beadledom	beadledom-client-guice	4.1		b91fb20bcfee87a44a510449a8074377c73f2927
com.cerner.beadledom	beadledom-client-guice	4.1.1		51075413e69144529b1f8f83fab80c6d6db3e31b
com.cerner.beadledom	beadledom-client-guice	4.1.2		32a86843c6e1844f2eec99c6e2110240390a95f1
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.0		5ed307be40fc5567d28bf3534f7f2f42cabcbb8d
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.0	all	737c847b3f445d5631de5fa3010bc040dba303b5
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.0	http	ed3abebfbfa3df0a81f38ae44b646421a37ebbf4
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.1		c30b0a1bb8093e79f5496d1f8994df1999306040
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.1	all	5e313d2a4fe2de0a0c66bc097049380cfdbc9a0a
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.1	all-sources	b07141d4d08294605f575e3f9f2cf448bd003374
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.1	http	295f74273db8ad4ee624850502f66a44587eca91
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.1	http-sources	8608d25310bc511fafdb47329b129a3892848c6f
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.2		19450b40201ad29e370adf942b5199bb8ee3f872
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.2	all	0701b2c23575742f68bb4752c7b578c8c59debfd
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.2	all-sources	055e9d996887a5ca28d14fbc85e1d8d744c3ac1e
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.2	http	61b05243997bf6fcca1798fe6860a175296c724b
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.2	http-sources	6aaed2d0f5a2044e81ae4cb9dcac58dfa1ce3b72
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.3		7ea650d8d865fbb6e40f290b2c372c218888152a
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.3	all	b7af84886a3b9d215f2294fcb9e02dd3d64e0594
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.3	all-sources	138394685631b70930c8a43715ce91a26010c679
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.3	http	10717f9c06cc0b8e5fff151b0f14ad77a72819bf
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.3	http-sources	ee02a1f04bc05a8b0431d5b62e431579a09b2010
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.4		c66191df9cc0a7617a53026880ec7e461f2fc32c
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.4	all	b1c832f95d1c87ef00c70f6e2a53308603d7727e
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.4	all-sources	dc21a9a2a8f6ea3a2c9471642760171ecb1485c4
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.4	http	543f1065a72116893b7d0c8db566472fbb78b77c
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.4	http-sources	43e30563b7de8c3d299a514032ec955630fc0572
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.5		45bfb3cce6af6bf86804f8c7a8ddd3488b48d388
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.5	all	731adf30c4d584bb58477a4457c8f394d5bae72c
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.5	all-sources	43b5f19da7a90c700fefabe9c4f14415f6f8b7fc
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.5	http	7cf2b2458414cc9c0f97fabd14e3bfba54b4b63f
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.5	http-sources	ab6b768b33fe6940d3b086cfaebc124d55edaddd
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.6		b7af356945fd3db2b23df0f4b2223cea18027dc8
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.6	all	a72a3c6da8d2197868345241c0fa6ac75257ad8a
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.6	all-sources	8c8d8b0245bb2e9b395032cc074691d24ff38d7a
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.6	http	0cd4ea528b034dc0ca3d64d14ff0ff581f95af97
com.clickhouse	clickhouse-r2dbc_0.9.1	0.4.6	http-sources	8d0dd0ed05cb229a4fd264ba938abfb887284413
com.clickhouse	clickhouse-r2dbc_0.9.1	0.5.0		39171251aab41b83883fd24e54286d7b5626a7af
com.clickhouse	clickhouse-r2dbc_0.9.1	0.5.0	all	1765ede510dc0cb81405a2656228a9ede016c940
com.clickhouse	clickhouse-r2dbc_0.9.1	0.5.0	all-sources	09b23c78239119363c9708178cf9411398c1bc3e
com.clickhouse	clickhouse-r2dbc_0.9.1	0.5.0	http	a4d79d38c771145bd6b28eede257fbf13c0e14a4
com.clickhouse	clickhouse-r2dbc_0.9.1	0.5.0	http-sources	1e630930a8f561135fd341e097280edf2941072f
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0		01589b17c21ddb1db9d76950351ce69772531b98
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0	all	6e24cc5eaf0be51df25dc9bf2c74852e603f14fa
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0	all-sources	3422b30aa1cc7cfd16d1ad65f51ac91413096240
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0	http	c25370b5f1c6f0d2edea014ecb75c3609bf6d70b
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0	http-sources	8eac917475258046afcd405ee74d5670c26f70fe
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch1		1137a67d613becef1587e1ad4594ed877c16780d
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch1	all	3ae1bcde24d4492fae879edee3a2eaea96b68262
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch1	all-sources	34d6f8949def1f702e8559198a68e8bcbe8529c5
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch1	http	797ba893c3e87acb5e732bf6cffb267ea71f4fab
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch1	http-sources	cc31785150d7eb29ecf0890a4e2138a7bcac06ea
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch2		4ed4d756b9552f4cb8f762c83269c9a00eca5b1f
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch2	all	782188e919e953acb7e9fa85f82bb3ad1c31abc6
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch2	all-sources	cb3d7b094b855a67ec145eac06b00c33dd5200d7
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch2	http	c37a00f539a7fab726785dc593176461f02808df
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch2	http-sources	296dd913504f80572f9f36ad863e13b53f2a0bfd
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch3		2fb8c875d0cd69277f3bf388ac4df724d05299fd
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch3	all	a825befbb9e2467dc9d472ae86d9f85c085d3dac
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch3	all-sources	ecac89ab0a0362edb3afa9ef5c79feccc1b2353e
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch3	http	ee106929aeffa68e73e59ee4da79d1588e55100b
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch3	http-sources	d8cf77a6048f868cc1426e87242bca6b56440747
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch4		78da9f99ac97f300d4b38ef6bf49f32193a7c71a
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch4	all	5f7766fbf7601d91add65e901870cb65a6b4f70e
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch4	all-sources	21572befda281ea4a4e659645fdb0e1fff65e976
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch4	http	75688747390e4fd05a39803f66273dee65384d63
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch4	http-sources	54ee7a0eaaa5c2366f008d0d54732d4da665daf3
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch5		0e9e26587b59fa6fd39776e422bcf2ff71bc3071
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch5	all	54ea03d7a9c4a417274fd812641ae80f5583094f
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch5	all-sources	d160c2fb6fd6475f3477937e9dc1b1a03346efe5
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch5	http	377313599944be1bb4761d8925554baedb55c7be
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.0-patch5	http-sources	cc4d8c91b9ae5c8085982d89920651e9c22a8bdc
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.1		826378b1692234d33b8babfafef5cc1b5140b7c7
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.1	all	569d7ae603bd2a1022acfe1684787a40dcc84b23
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.1	all-sources	0f04a7b208e155fe675a952ee1ffc4425b28bf21
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.1	http	19ab368f299d87017225933e7bf1c69dff7287ce
com.clickhouse	clickhouse-r2dbc_0.9.1	0.6.1	http-sources	a7851696fd6dec26923c7b15d7f131f6b50f8246
