br.com.entelgy	zucchini-liferay-dxp	1.0.0		e5880529afc7cea98409cbb18ae63cfc6ba0b4e3
ca.gosyer	voyager-navigator-iosarm64	1.0.0-rc08		N/A
ca.gosyer	voyager-navigator-iosarm64	1.0.0-rc08	metadata	ad72833ef4f46cd062f6fd013b39c14971709134
cc.allio.uno	uno-starters	1.1.9		N/A
cc.allio.uno	uno-starters	1.2.0		N/A
cc.allio.uno	uno-starters	1.2.1		N/A
cn.tannn.jdevelops	jdevelops-authentications-jwt	0.0.1		0efdd6b9051f6681e95c2d213afb01812bd39b5f
cn.tannn.jdevelops	jdevelops-authentications-jwt	0.0.2		c441c696984f3e5baddf04fe060c66f3f211aac3
cn.tannn.jdevelops	jdevelops-authentications-jwt	1.0.1		8b627ffa29822fc08edad3f6046d1ce8deb5a8bd
com.aliyun	aliyun-java-sdk-resellertrade	1.0.0		1d9ac30d3a9a94eed44c022fc6cea73914cd732c
com.aliyun	aliyun-java-sdk-resellertrade	1.0.1		515f658473ba0932617f709ae883c73af9af092c
com.aliyun	aliyun-java-sdk-resellertrade	1.0.2		486f6e802295f346e7d33c2fcacf70cdc6bbe1b4
com.aliyun	aliyun-java-sdk-resellertrade	1.0.3		ce5f6723433272c1f0ad9beedbc0c8be8aabaaf7
com.aliyun	aliyun-java-sdk-resellertrade	1.8		238e35e28691376428e66e0c9611c145748a16c1
com.carmanconsulting.cassidy	cassidy-joda	2.0		a1ac73cc27d107e5f78c1a619dc9d3c5c52260d6
com.ckkloverdos	maybe	0.4.0		dce0e6c3d8fcd4fdc04de190bed7b0e118714e81
com.ckkloverdos	maybe	0.5.0		fc738b9e00406df802c516f5ab4ee46fae8c2020
com.ckkloverdos	maybe	0.6.0		2754d360824d464b4f975751ed012ce33e35ca5c
com.clovellytech	tsec-hash-jca_2.12	0.2.0.2		a8b5b97f3140b4da752708c3e1282541a1df3629
com.clovellytech	tsec-hash-jca_2.12	0.2.0.3		07beaea2b158bd7f12c1c0f59b606eb8703393e2
com.clovellytech	tsec-hash-jca_2.12	0.2.1-ct-2		919aa626c9c0c9960e435480d252e7e5148b8f33
com.elepy	elepy-hibernate	1.6		17ee69e86d81e481fb5ee60379e059c02a79491c
com.elepy	elepy-hibernate	1.6.1		3fa40adb19258d2fec100c2de4e10f4eaff1d5d6
com.elepy	elepy-hibernate	1.6.2		9ed39d96c67c0bce43df8eda8ff5ab013c0d53d2
com.elepy	elepy-hibernate	1.6.3		6b64176f06387ea779e4427fc2f532738e8e7f25
com.elepy	elepy-hibernate	1.7.0		324f029f36c87f2c952dd1a7573098f3648fc889
com.elepy	elepy-hibernate	1.7.1		78d32718cee1fb4e4f2d93eee9e90ea5577cf002
com.elepy	elepy-hibernate	1.7.2		b233c3cf2d20bac08a6f9f97cd121bf93de0ae36
com.elepy	elepy-hibernate	1.7.3		dfdd2321a0c80ccd79b154667ba6f72697a124f7
com.elepy	elepy-hibernate	1.8.0		fc4c25141bd17fc02738e66114382b11772cc837
