cn.ai-connect	openai-java-sdk	1.0.0		629217645969e677c2b796944baf7537f6f6d6ee
cn.fanzy.plus	plus-spring-boot-starter	1.0.0		8330dc2404f348f27b652e794ffd5520f3e0c1a3
com.51degrees	pipeline.developerexamples.usagesharing	4.3.10		ad74fb27b1d66e7f4b2acfec152575b9b2b453e4
com.51degrees	pipeline.developerexamples.usagesharing	4.3.13		9dde5fbe931b0b2c2857dac0e1d56155369cc6fd
com.arangodb	velocypack-module-joda	1.0.0		316bf82e18afb4ae7d8310e703dac37101b2e35b
com.arangodb	velocypack-module-joda	1.1.0		437e6bcb78366244ad1e7fe465856effbe4351c8
com.arangodb	velocypack-module-joda	1.1.1		2e89a27a4f1d69725f0c4e6483730d18aa2edb0c
com.arangodb	velocypack-module-joda	1.1.2		bb36a66072f509b69898457e240a47b3b1d9754b
com.badoo.reaktive	coroutines-interop-jvm	1.1.22		21ff0436deabcdda9f11f9888e4de6d9f100aa8c
com.badoo.reaktive	coroutines-interop-jvm	1.1.22-nmtc		d4834f1da7e1378321f1e5e558cfc457345ddadd
com.badoo.reaktive	coroutines-interop-jvm	1.2.0		83cd110e1847f8b21c9d2ac3cc8227e4d3bea041
com.badoo.reaktive	coroutines-interop-jvm	1.2.0-nmtc		8903c18e30c0a3d644cb25e767d572b1999310b7
com.badoo.reaktive	coroutines-interop-jvm	1.2.1		a0725dde3894a607176744900a57bb5716a6fd72
com.badoo.reaktive	coroutines-interop-jvm	1.2.1-nmtc		505a448f0975993f00b08413dfc215d85f64be47
com.badoo.reaktive	coroutines-interop-jvm	1.2.2		e4fd647996d06499bb987919216029f1446ebd9f
com.badoo.reaktive	coroutines-interop-jvm	1.2.2-nmtc		47bacd22b240a886b0631602a4adc2dee04a81b5
com.badoo.reaktive	coroutines-interop-jvm	1.2.3		5b6c8eef3e76288020d1131fdce9823f4eccb7fc
com.badoo.reaktive	coroutines-interop-jvm	1.2.3-nmtc		bad08c66c27c75075b58dacd5ce378863fe5df19
com.badoo.reaktive	coroutines-interop-jvm	1.3.0		bf446572dd29217d595a0ac333917b25bf848ca7
com.badoo.reaktive	coroutines-interop-jvm	1.3.0-nmtc		609110a8be246fcfbb4b9fd783d9b727f88e118e
com.badoo.reaktive	coroutines-interop-jvm	2.0.0		e0e009d48ad20faefebe9bdb73b7e5a399055f4a
com.badoo.reaktive	coroutines-interop-jvm	2.0.0-alpha01		988bcf3cef8e59ec1c65492ffac91007f7d226b0
com.badoo.reaktive	coroutines-interop-jvm	2.0.0-beta01		6d044feeb8db4a25e7fd32a10d3f24699f76bf29
com.badoo.reaktive	coroutines-interop-jvm	2.0.1		e0e009d48ad20faefebe9bdb73b7e5a399055f4a
com.badoo.reaktive	coroutines-interop-jvm	2.1.0		04d6c1556cdcf7fff7b9df109a4aa9919f9b8aff
com.badoo.reaktive	coroutines-interop-jvm	2.1.0-beta01		44d122551d8c8349756c958b323bc4a33dacf9bb
com.badoo.reaktive	coroutines-interop-jvm	2.2.0		0374de0fdd0454a557fc54258ff21f7d844a252f
com.badoo.reaktive	coroutines-interop-jvm	2.3.0		0374de0fdd0454a557fc54258ff21f7d844a252f
com.capitalone.dashboard	jenkins-build-collector	1.5.0		5c56d0076f51de34f757628c08447006128f978a
com.capitalone.dashboard	jenkins-build-collector	2.0.0		8d262fbb2af0ae083af49bbd9a06fae396dd9853
com.capitalone.dashboard	jenkins-build-collector	2.0.1		dfa93d5a921429fa6701c0848330a5417b508db9
com.capitalone.dashboard	jenkins-build-collector	2.0.2		62bbb302e10eecd2c0ff0588e56d48da349a4f18
com.capitalone.dashboard	jenkins-build-collector	2.0.3		ecde5929ca380693639f5a70ff01642fac2c1e11
com.capitalone.dashboard	jenkins-build-collector	2.0.4		d7f36d0900168dcc15df0ce29df7d0547ac0b38f
com.capitalone.dashboard	jenkins-build-collector	3.0.1		a211c9c8fbad5986190ca1d5f777183472c94603
com.capitalone.dashboard	jenkins-build-collector	3.1.0		ac5a3dfc586ea9aa9f77fa66edc8a4b0220d1a52
com.capitalone.dashboard	jenkins-build-collector	3.1.1		8bb89399e56c1de36394b6b6e18767d3ebaf45f3
com.capitalone.dashboard	jenkins-build-collector	3.2.0		464c5be3ada6277bbd0ab741a785d5f4de31549b
com.gitee.chinasoft_ohos	genius-kit-reflect	1.0.0		N/A
com.github.bogdanlivadariu	junit-reporting-handlebars	1.0.0		2bfa99bf3481cc32afaa2cd24feb45e7d1a94e74
com.github.bogdanlivadariu	junit-reporting-handlebars	1.0.1		c96fe61d004d1b6b21bf51f04e937b2376045d5a
com.github.bogdanlivadariu	junit-reporting-handlebars	1.0.2		6115542ffe0849704886a9259b21235b1730791c
com.github.bogdanlivadariu	junit-reporting-handlebars	1.0.3		989e46f68cc031ba5928b5ba94b568b995488890
com.github.bogdanlivadariu	junit-reporting-handlebars	1.0.4		ffa640c6a90542c275919b04bfaaf6046f6aad3a
com.github.bogdanlivadariu	junit-reporting-handlebars	1.0.5		18ddf22edb76923087a1cec84c40052471e11125
com.github.bogdanlivadariu	junit-reporting-handlebars	1.0.6		ca5f3092ba6d601a48ecd0db0a41c5b14e55e74d
