app.cash.redwood	redwood-treehouse-configuration	0.3.0		5b9915c73d6c88b6bd6bba7d37056a6c55122a53
cn.com.antcloud.api	antcloud-api-provider-gotone	2.4.2		f40fbf6a071ae423d9349d5389a1517d8a5178d5
cn.jdevelops	jdevelops-spi	2.0.4		fe3667ea72ca75c8d35cfe4ba06e947672c227b7
cn.jdevelops	jdevelops-spi	2.0.5		b51664824d74a037d69b3984b4de59d792ef77e0
cn.jdevelops	jdevelops-spi	2.0.6		6cb62c759663be2c3d0ec0454bc610a72a198cc0
cn.jdevelops	jdevelops-spi	2.0.7		9421865c1ef00b770fcc6a6c500df318168615ab
com.alibaba.cloud.ai	spring-ai-alibaba-starter-tool-calling-duckduckgo	1.0.0-M6.1		7d2278b835eea7fcd947e427ccc494631fc2d20b
com.antgroup.antchain.openapi	openapi-ak_0f293394ee174f41873f9ce14e9c1e89	1.0.0		7ab07f0ed9a9687e6536aa2758d7c0980ed6fefa
com.avast	sst-lettuce_2.13	0.10.0		6999fe99f37ae5d081d3ef0adbad33212c9a91bb
com.avast	sst-lettuce_2.13	0.10.1		697b6649a49706ab1f3266f64cf75295f2aa17b3
com.avast	sst-lettuce_2.13	0.10.4		eab3ad142a8ecd2dc2f53c35e4ab4e3ddb479136
com.avast	sst-lettuce_2.13	0.10.5		19dd84155618590a979e6f09509e3b46d69d48e3
com.avast	sst-lettuce_2.13	0.11.0		6827f9bc15889366d493235db8ed2fdb4c020092
com.avast	sst-lettuce_2.13	0.11.1		bcf90e2340f5468663bad0b82a8a31ad6e616f14
com.avast	sst-lettuce_2.13	0.11.2		51e513d5384b46a0cbec17e352aff9c0d8b3cca6
com.avast	sst-lettuce_2.13	0.11.3		6e83f12466cf31c1e764827881d959882e6e6b29
com.avast	sst-lettuce_2.13	0.12.0		a97d87f6d198103313535d262f5fb9a20486b5d0
com.avast	sst-lettuce_2.13	0.12.1		da792dc305f9ee701b684580c6e4b45f98574bcc
com.avast	sst-lettuce_2.13	0.12.2		c2a03d0b02568f54869c8acef00831973713bf2f
com.avast	sst-lettuce_2.13	0.12.3		24c79208065215ebccd2bb6c10a1de7e0e3c72ed
com.avast	sst-lettuce_2.13	0.12.4		d163c2a3bd872a31de3a0ffcb445fb26f7c3e3b3
com.avast	sst-lettuce_2.13	0.12.5		d837319ac48e123777475c5292ba9528f23d9845
com.avast	sst-lettuce_2.13	0.14.0		4ccf7e362ecd7a609f668e0119d0bb43ece0e363
com.avast	sst-lettuce_2.13	0.14.2		41f948e80df936e542b1ebb850e1abaf01b0cbc4
com.avast	sst-lettuce_2.13	0.14.3		f3f81860b14116b6f28448818f6bfcb45f43d0f3
com.avast	sst-lettuce_2.13	0.14.4		d3355aca1dc1b672439ff68a2c3d80c649cacf99
com.avast	sst-lettuce_2.13	0.14.5		a81f3dbac2c62a5be06699e58508d682ea2ad953
com.avast	sst-lettuce_2.13	0.14.6		9c430b89045dbb3e2e2e1aa9b9b8309dadd97e25
com.avast	sst-lettuce_2.13	0.15.0		40167cac2e2c0181385357baba6de6b749f7cc0b
com.avast	sst-lettuce_2.13	0.15.1		0908516b9f6abcbf5528c80283ce4f9c28bdd5ad
