app.cash.paparazzi	native-win	4.1.0-ae77d65		8d02cf07931a2d86bea59a44f7dbbd81d8bc65f8
at.asitplus	multibase-iosarm64	1.0.0		N/A
at.asitplus	multibase-iosarm64	1.0.0	metadata	fe007ccc2e2520620f97a45b4755497e09cf6d69
at.asitplus	multibase-iosarm64	1.1.0		N/A
at.asitplus	multibase-iosarm64	1.1.0	metadata	ae50cf87033422e3e9078b8ebf1384e7765bcf80
at.asitplus	multibase-iosarm64	1.1.1		N/A
at.asitplus	multibase-iosarm64	1.1.1	metadata	518e82c88d043f8639b529067963e5d33f306bc7
at.asitplus	multibase-iosarm64	1.2.0		N/A
at.asitplus	multibase-iosarm64	1.2.0	metadata	d9ba440d4c3f6b9a40e550dd5c70d9145fb88f5f
at.asitplus	multibase-iosarm64	1.2.1		N/A
at.asitplus	multibase-iosarm64	1.2.1	metadata	a94f5b26a7c6541da3224a5c7bedee8db8a2646f
cn.minsin	mutils-openjfx	0.0.1.RELEASE		74e485c6151c81af6321b31cdd5081129ca879f2
com.adobe.aam	metrics-codahale	1.0.0		53ee5aaa662132b4368bd83678bae736818bd0d3
com.adobe.aam	metrics-codahale	1.0.1		ad6d80bebc735cecb8d38f7e83184393415c6543
com.adobe.aam	metrics-codahale	1.0.2		ff1164b2750afe604c8c270c7b69582d325a5dba
com.adobe.aam	metrics-codahale	1.0.3		e50ad27d3d5d43e7e26c429b93c1e0051fd54551
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-alpha07		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-alpha08		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-alpha09		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-alpha10		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-alpha11		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-alpha12		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-alpha13		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-alpha14		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-alpha15		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-alpha16		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-alpha17		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-alpha18		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-alpha19		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-kotlin19-alpha10		N/A
com.attafitamim.mtproto.generator	com.attafitamim.mtproto.generator.gradle.plugin	3.0.3-kotlin19-alpha11		N/A
com.btmatthews.ldapunit	ldapunit	1.0.0		f23dc7a53b652072acfc06fc736e3dfa9965e46a
com.btmatthews.ldapunit	ldapunit	1.0.1		6f9ff6006e35151a16b6d6ffe54bfa85b4009f75
com.btmatthews.ldapunit	ldapunit	1.0.2		55d3ffcdf678ccba726beca0ff3ebf6f712168e6
com.btmatthews.ldapunit	ldapunit	1.0.3		7a396877f6eef2872c79044d73deb2170bc4bfa1
