br.com.m4rc310	br-com-m4rc310-cups	1.0.16		c3641aa08139ff93656b1ad20da3731e56fed732
cn.guomw.cloud	framework-cloud-starter-web	1.0.0.RELEASE		a595e607ff8c79a21a1d18a5ebf70737051ec262
cn.guomw.cloud	framework-cloud-starter-web	1.0.4.1.RELEASE		e0fb8b607c7ce511bdcaa21101ad9e7c37ae5d6d
cn.guomw.cloud	framework-cloud-starter-web	1.0.4.RELEASE		4fa91b07de5d285128f32b251ab7e32c36d47c6e
cn.guomw.cloud	framework-cloud-starter-web	1.0.5.RELEASE		0e03ae6d8294a297d51737571e83fbf09dd8ad2d
cn.guomw.cloud	framework-cloud-starter-web	1.0.6.RELEASE		ab8f2daedf33e7f5c5d5cea70488359180fc74c6
cn.guomw.cloud	framework-cloud-starter-web	1.1.0.1.btxc.RELEASE		6cdbf875cb78010e9cf4f618bcb68c14b06e981b
cn.guomw.cloud	framework-cloud-starter-web	1.1.0.RELEASE		f7d36ff5dd604516501e5c88d8eb6e482776161a
com.antgroup.antchain.openapi	openapi-ak_18840d63e12042afb62fe899b64d0da2	1.0.0		a92703f936f1a69d26d2a2ca81562285b1935fae
com.azure	azure-keyvault-parent	4.0.0-preview.1		N/A
com.azure	azure-keyvault-parent	4.0.0-preview.2		N/A
com.factset.sdk	factsetsearchanswers	0.20.0		46338566d18b16fa425e22e8c86581fb29d7e665
com.factset.sdk	factsetsearchanswers	0.21.0		38e14c809e564989635e435fdabcd26ced2437a7
com.factset.sdk	factsetsearchanswers	0.21.2		f0ad86fc3adf7bf51c3835f8e92be76858190507
com.factset.sdk	factsetsearchanswers	0.21.3		013dcc44f921d26bab32999552c00e42aa6fd3c4
com.factset.sdk	factsetsearchanswers	0.21.4		9e33325a80bdefc473cb7634a061aa906f397047
com.factset.sdk	factsetsearchanswers	0.21.5		ec33fb9f4c74925c8e02aa1105219d872d67b611
com.factset.sdk	factsetsearchanswers	0.9.1		05bd8f49e71c229cab69c8bd89919459d4ca30d4
com.factset.sdk	factsetsearchanswers	1.0.0		388af96c8e8cb95eb1083f0919b624f433ab12a1
com.factset.sdk	factsetsearchanswers	1.0.1		906b614978c0106d8d036f57dae5860c8c67e015
