au.id.tmm.tmm-scala-collections	tmm-scala-collections-scalacheck_3	0.2.0		8150b2b354d3fc3bf5cd9054bdfc341b54aca868
com.atlassian.usercontext	atlassian-user-context-workcontext	0.2.2		2c40bdd8236d3c9d3ecab02d65fcc0e8526e7bd2
com.atlassian.usercontext	atlassian-user-context-workcontext	0.3.0		a19f6b3397b3e2b20135b8420eb2055ddf7c72be
com.atlassian.usercontext	atlassian-user-context-workcontext	0.3.1		c225b721016666cc0673aec4d9715847834a545a
com.bagtag.ebtframework	ebt-framework	0.0.1		N/A
com.datastax.stargate	stargate-sdk	0.1.10		37389a89ae11aa661bcd4d115a91c36ba823f309
com.datastax.stargate	stargate-sdk	0.1.13		abe61ce7b6fd3427322afd25e2af390a9189a01f
com.datastax.stargate	stargate-sdk	0.1.14		4114191d8ad6a9ba4eb708edfb1b65edb082acae
com.datastax.stargate	stargate-sdk	0.1.8		4cc57e729f24a552e67594ea3d719ae18939a439
com.datastax.stargate	stargate-sdk	0.1.9		69d05b2c43c39e622e72eebc2bd7609dc96c6dab
com.datastax.stargate	stargate-sdk	0.2.0		4aa34ca635a9698ec35edb8d05ee8798eea5ff13
com.datastax.stargate	stargate-sdk	0.2.1		4879858837c14fe4776dc7da6544db8f59a15420
com.datastax.stargate	stargate-sdk	0.2.2		5c6d34e470d5470a49543683043577a5f5f7499e
com.datastax.stargate	stargate-sdk	0.2.3		aab60e52fd0da4545e68883b7b8c6777a08b608c
com.datastax.stargate	stargate-sdk	0.2.4		5c845fbbc8a175df9be07e80730138a01d3cfbd6
com.datastax.stargate	stargate-sdk	0.2.5		d5ba40ce89b1b3cfc677463fecbdfc88cc7e9890
com.datastax.stargate	stargate-sdk	0.2.6		99299a6c0ddd1cb1f0316e6e1173b7d6e022ce3c
com.datastax.stargate	stargate-sdk	0.3.0		f87caa7aed0b5ef697c4ba0ebd44c5d55e30f59b
com.datastax.stargate	stargate-sdk	0.3.1		2a8bdeb7bca01f59c7b746048d00fc21fbbfd2b1
com.datastax.stargate	stargate-sdk	0.3.3		7620429c1fcc9022c1b9028c130122f4cbbb1e6e
com.datastax.stargate	stargate-sdk	0.3.4		6cb90e74b40587a01c2ae9dc63680b7a2f3a3296
com.datastax.stargate	stargate-sdk	0.3.5		418c8e8c95eb8c8bcd1a205cb109319429941fa7
com.datastax.stargate	stargate-sdk	2.0.1		63e934126d4dbff54cce9ba792056d33ae5d7462
com.datastax.stargate	stargate-sdk	2.0.2		13913a3adbe6f5192a8148a099dcda8c3e86d989
com.datastax.stargate	stargate-sdk	2.1.0		08c0c6a4eddad5ad88f40ff3817a7447961ee7d7
com.datastax.stargate	stargate-sdk	2.1.1		d41f6c212d4845701a0e4462e8cc2cc4f6fbf6a1
com.datastax.stargate	stargate-sdk	2.1.2		1bbc1f974ac3d452e49bea9fe0363ee3c9dc96f7
com.datastax.stargate	stargate-sdk	2.1.3		1d7c47e82c5957304d2bea7448ecce4c4a6b86b2
com.datastax.stargate	stargate-sdk	2.1.4		b5fedd1a493e9769530508be5ad0ffd2ff6492b5
com.datastax.stargate	stargate-sdk	2.2		430244ad5d6a2e87e45ebc02ad13d8e44bef86b1
com.datastax.stargate	stargate-sdk	2.3.0		8c934f1e6467dc893200432988f64c0f46fd2415
com.datastax.stargate	stargate-sdk	2.3.1		86bde4fb86a6032c9690918ec122f004b5a93975
com.datastax.stargate	stargate-sdk	2.3.2		f340283d3df350cd0e4d319ecf99dee469130b5b
com.datastax.stargate	stargate-sdk	2.3.3		7d3a64ed64406578c12fb1f7a68eee9f69cbbcec
com.datastax.stargate	stargate-sdk	2.3.4		edd352da7908eb2238021a3be9ac25d4aef83456
com.datastax.stargate	stargate-sdk	2.3.5		307cdaeac8a878af41ce3e9b6f9cdd02363cb3c5
com.datastax.stargate	stargate-sdk	2.3.6		067bd920f90aa45125654adc4b9c9e21f61bb18b
com.datastax.stargate	stargate-sdk	2.3.7		b366dd7d0f8e52b0befb5d3b42ef8c2100868cf8
com.gilt	sbt-dependency-graph-sugar_2.9.2_0.12	0.7.4		927a580c62d2045d233e009dc1037e1a485be010
com.gitee.l0km	com4j-base2	4.0.0		66634692fd49bbb8911cf5afc5de0c5a414b59b0
com.gitee.l0km	com4j-base2	4.0.0-alpha		627f074204db0762569945efab9770a50b38481d
com.gitee.l0km	com4j-base2	4.1.0		0f132e7acd97f32d9f39b5a884c46cca43d2cade
com.gitee.l0km	com4j-base2	4.1.1		e458888de341ed4351c31fd269b1b74b7ce4e424
com.gitee.l0km	com4j-base2	4.2.0		4c6f63b081d75b7190d594549f7617d816fee5c0
com.gitee.zodiacstack	zodiac-sdk-shutdown-hooks	1.6.1		ba397c6db870a06c1aa5f83a7e158ee86045d11c
com.gitee.zodiacstack	zodiac-sdk-shutdown-hooks	1.6.2		afab3b3516f656dde5e70c9411e948b4cc9f6c63
com.gitee.zodiacstack	zodiac-sdk-shutdown-hooks	1.6.3		7b84b9aae5377fe7d38e62378aaef7900a076122
com.gitee.zodiacstack	zodiac-sdk-shutdown-hooks	1.6.4		c093cefd0445aebbb243b4a4073bd5693b88b907
com.gitee.zodiacstack	zodiac-sdk-shutdown-hooks	1.6.5		c6dd32fb78e2686ab59394d44d2d99eb3ca4c6b8
com.gitee.zodiacstack	zodiac-sdk-shutdown-hooks	1.6.6		81e28169730aebcbc353c5bee4c04b20e0fcb040
com.gitee.zodiacstack	zodiac-sdk-shutdown-hooks	1.6.7		42dc20777720a28e08a10d9705f029110b2be71a
com.gitee.zodiacstack	zodiac-sdk-shutdown-hooks	1.6.8		0c0adf62191717c4da22e801dabf8a37d739dd07
com.gitee.zodiacstack	zodiac-sdk-shutdown-hooks	1.7.0		13e64ce02ef44b462678293538d796bb5bf16549
com.github.fd4s	fs2-kafka-vulcan_3.0.0-RC3	1.6.1		8b8415ce6336cd4f35c3a26e3da53fc53806e66d
com.github.fd4s	fs2-kafka-vulcan_3.0.0-RC3	2.0.0		b73c5bcf9fa50d848f104c2a9f55e6baadaa1bc1
com.github.fd4s	fs2-kafka-vulcan_3.0.0-RC3	2.0.0-RC3		97bba768cc76f1cdf9ce31f35e781e1d766e84a4
com.github.intel-hadoop	gearpump-examples-complexdag_2.10	0.6.1.4		N/A
com.github.intel-hadoop	gearpump-examples-complexdag_2.10	0.7.0		N/A
com.github.intel-hadoop	gearpump-examples-complexdag_2.10	0.7.1		N/A
com.github.intel-hadoop	gearpump-examples-complexdag_2.10	0.7.2		N/A
com.google.apis	google-api-services-lifesciences	v2beta-rev10-1.18.0-rc		0b29a82c15741e73e6c2b37a8895638d418db779
com.google.apis	google-api-services-lifesciences	v2beta-rev10-1.25.0		93f1e89c90490fa6e5b74fb31e688a89f50d7345
com.google.apis	google-api-services-lifesciences	v2beta-rev11-1.18.0-rc		dc5d26f4fcbaf5a19256c3f90831062d892e46c0
com.google.apis	google-api-services-lifesciences	v2beta-rev11-1.25.0		418d7546275948499d721e227e1668a7864c6e24
com.google.apis	google-api-services-lifesciences	v2beta-rev12-1.18.0-rc		a8a118f557d9cd7274ebd22e066fcf305e1d5aea
com.google.apis	google-api-services-lifesciences	v2beta-rev12-1.25.0		ff9b7de08a435e59ef82f1444b4f65936aeefdb3
com.google.apis	google-api-services-lifesciences	v2beta-rev18-1.18.0-rc		c5863ee794cbc068bfb49874ccd0e4fc3e3fff62
com.google.apis	google-api-services-lifesciences	v2beta-rev18-1.25.0		0bbc552595a4de86835bd7f8aec8a161304e5b7e
com.google.apis	google-api-services-lifesciences	v2beta-rev20191007-1.28.0		cc1c4422e115afa41051ab7cd898e61e3d57045b
com.google.apis	google-api-services-lifesciences	v2beta-rev20191007-1.29.2		a5e30e54d0ca099d247cdbbf1d0d21ec0b2bf36d
com.google.apis	google-api-services-lifesciences	v2beta-rev20191007-1.30.3		c8d671907b0494f619015e8d02793b07ef9e330e
com.google.apis	google-api-services-lifesciences	v2beta-rev20191015-1.28.0		e343ddc06f3771495bd25efaae5f43730eb9f35f
com.google.apis	google-api-services-lifesciences	v2beta-rev20191015-1.29.2		bd79098269658f69650a4a2f86799d7bc00f6c59
com.google.apis	google-api-services-lifesciences	v2beta-rev20191015-1.30.3		f711663cd9dc5c9416e3e16be8a45be5078ed9b7
com.google.apis	google-api-services-lifesciences	v2beta-rev20191030-1.28.0		6298868be9400d5a12adbdd89c1c46483bb352a1
com.google.apis	google-api-services-lifesciences	v2beta-rev20191030-1.29.2		8cfc6c6a05d0453345814ca72ea98b141ff9058c
com.google.apis	google-api-services-lifesciences	v2beta-rev20191030-1.30.3		ee04b02489e0290f91e6a0eed8a2d89270818716
com.google.apis	google-api-services-lifesciences	v2beta-rev20191030-1.30.8		f38c9504b5060ca686b63b418b9dc9b8d1e26dd9
com.google.apis	google-api-services-lifesciences	v2beta-rev20200220-1.30.8		6a2c30db6cb51e997759ec1616fd4fc4d006e49e
com.google.apis	google-api-services-lifesciences	v2beta-rev20200220-1.30.9		fdd4b46f2bb070037a534abc39b44365948537fe
com.google.apis	google-api-services-lifesciences	v2beta-rev20200603-1.30.10		906cfc9c84b89afa64c8ae3682918bed07654165
com.google.apis	google-api-services-lifesciences	v2beta-rev20200603-1.30.9		ea850a38b8f8b1216288c8955bedce9a8660e5e5
com.google.apis	google-api-services-lifesciences	v2beta-rev20200806-1.30.10		fb28929039ca5356a33ed1b592a120ed811914ec
com.google.apis	google-api-services-lifesciences	v2beta-rev20201001-1.30.10		d2cf46de3c6f5afc9bd4732bb093c2190c586133
com.google.apis	google-api-services-lifesciences	v2beta-rev20201105-1.30.10		7e961757cf47c5d1968c278ca2f0b3e722d58ed6
