cn.bingoogolapple	bga-menu	1.0.0		N/A
co.touchlab	stately-isolate-mingwx64	1.0.0-a2		N/A
co.touchlab	stately-isolate-mingwx64	1.0.0-a3		N/A
co.touchlab	stately-isolate-mingwx64	1.0.1-eap		N/A
co.touchlab	stately-isolate-mingwx64	1.0.2-a4		N/A
co.touchlab	stately-isolate-mingwx64	1.0.3-a4		N/A
co.touchlab	stately-isolate-mingwx64	1.0.4-a1-1.4-M2		N/A
co.touchlab	stately-isolate-mingwx64	1.0.4-a1-1.4-M3		N/A
co.touchlab	stately-isolate-mingwx64	1.0.4-a1-1.4.0-rc		N/A
co.touchlab	stately-isolate-mingwx64	1.1.0-a1		N/A
co.touchlab	stately-isolate-mingwx64	1.1.1-a1		N/A
co.touchlab	stately-isolate-mingwx64	1.1.10-a1		N/A
co.touchlab	stately-isolate-mingwx64	1.1.10-a1	metadata	4dcbd9b287238d6235f2bc9c5fd73c780c55b1bf
co.touchlab	stately-isolate-mingwx64	1.1.3-a1		N/A
co.touchlab	stately-isolate-mingwx64	1.1.4-a1		N/A
co.touchlab	stately-isolate-mingwx64	1.1.5-a1		N/A
co.touchlab	stately-isolate-mingwx64	1.1.6-a1		N/A
co.touchlab	stately-isolate-mingwx64	1.1.7-a1		N/A
co.touchlab	stately-isolate-mingwx64	1.1.9-a1		N/A
co.touchlab	stately-isolate-mingwx64	1.1.9-a1	metadata	c142e147b8459995b2bf4833e1711b6e12368710
co.touchlab	stately-isolate-mingwx64	1.1.9-a1-hmpp		N/A
co.touchlab	stately-isolate-mingwx64	1.1.9-a1-hmpp	metadata	be16d75979ad6e149e28c8e0f3a0e9545bb00d99
co.touchlab	stately-isolate-mingwx64	1.2.0		N/A
co.touchlab	stately-isolate-mingwx64	1.2.0-nmm		N/A
co.touchlab	stately-isolate-mingwx64	1.2.0-nmm	metadata	dae63227bcf2a36f03cb645b3769f6ac786cb738
co.touchlab	stately-isolate-mingwx64	1.2.1		N/A
co.touchlab	stately-isolate-mingwx64	1.2.2		N/A
co.touchlab	stately-isolate-mingwx64	1.2.3		N/A
co.touchlab	stately-isolate-mingwx64	1.2.5		N/A
co.touchlab	stately-isolate-mingwx64	2.0.0		N/A
co.touchlab	stately-isolate-mingwx64	2.0.0-rc1		N/A
co.touchlab	stately-isolate-mingwx64	2.0.0-rc2		N/A
co.touchlab	stately-isolate-mingwx64	2.0.0-rc3		N/A
co.touchlab	stately-isolate-mingwx64	2.0.2		N/A
co.touchlab	stately-isolate-mingwx64	2.0.3		N/A
co.touchlab	stately-isolate-mingwx64	2.0.4		N/A
co.touchlab	stately-isolate-mingwx64	2.0.5		N/A
co.touchlab	stately-isolate-mingwx64	2.0.6		N/A
co.touchlab	stately-isolate-mingwx64	2.0.7		N/A
co.touchlab	stately-isolate-mingwx64	2.1.0		N/A
co.touchlab.skie	configuration-annotations-1.9.0-androidnativex64	0.10.0		N/A
co.touchlab.skie	configuration-annotations-1.9.0-androidnativex64	0.10.1		N/A
co.touchlab.skie	configuration-annotations-1.9.0-androidnativex64	0.10.2-preview.2.1.20		N/A
co.touchlab.skie	configuration-annotations-1.9.0-androidnativex64	0.9.0		N/A
co.touchlab.skie	configuration-annotations-1.9.0-androidnativex64	0.9.0-RC.1		N/A
co.touchlab.skie	configuration-annotations-1.9.0-androidnativex64	0.9.0-RC.3		N/A
co.touchlab.skie	configuration-annotations-1.9.0-androidnativex64	0.9.0-RC.4		N/A
