com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0	metadata	545dcd8ca4565370d867d9c3972e8d2c73b78091
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.1		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.1	metadata	5012fd96a014f12cf531285a805bfb373cd7b65e
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.27		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.27	metadata	fdbbe44c9b3babd9303d57c251934f5d571bf868
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.28		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.28	metadata	ee37d480e9c007f759d4d023274f3a5fba4a396f
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.29		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.29	metadata	e2bc4af68a67bedb0160eb93cfc546bdbde6c67a
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.30		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.30	metadata	f82459edd4b5336aa7c4110cb130272fc213031c
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.34		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.34	metadata	e8e643c1f90de9d6b4f2ddc8c8451bb1c8bdd41d
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.35		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.35	metadata	f3d1efe3d0a6aa4ed28bd557debf50bb641a4e4c
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.36		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.36	metadata	6817bfba6adf8a93db8722f3e31b5ff4faeb8887
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.38		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.38	metadata	720a6dd7ed14a3d37992d5bad28b5a4dcbe3bb55
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.39		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.39	metadata	3f8b5132c7a2ad23389b9112ecaa406a59de4ca1
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.40		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.40	metadata	86985595306018fb35f47f2a920c3198a722045a
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.41		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.41	metadata	241345071dd76b300f72ed705d27b6a22fbef871
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.42		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.0-beta.42	metadata	1e8592ad6ab7c2a9e5a2f431c2a588882502ae70
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.2		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.0.2	metadata	c1e4359af05385dbd0b67ef7595e07cb972abdab
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.1.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.1.0	metadata	7f6f28170b5ca8452fc435e4c59e68b2e78463c5
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.1.1		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.1.1	metadata	7ccf7350e80efbf7ac4bdd88ac2c15310d5246e3
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.10.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.10.0	metadata	c97605289bb6e35bb6cd55542e2360e404c971e6
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.10.1		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.10.1	metadata	461d9c3033698b14a84d2c55f80ce053e0e5b4b5
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.11.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.11.0	metadata	cade884f772d555afad30cbaa3dde4cc87aad4ab
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.12.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.12.0	metadata	e06710dcdbda20ab8ba6bc6544d0474d77f8ee12
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.12.1		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.12.1	metadata	de46e60158ffa66e2a5d4e6eb1782aeaf4030372
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.12.2		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.12.2	metadata	3ce82341917ca523a134b50c44d5b8a4e7e3d6a0
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.13.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.13.0	metadata	842dba0df427af766f93d8804a066f4d95d7aa57
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.14.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.14.0	metadata	8300ee787a6ef68aaed661e3af44830fadd3e451
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.14.1		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.14.1	metadata	9fd8bd15d244e5190a70ee1bc046c65b3e3ad030
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.15.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.15.0	metadata	7ea8b20aa27c091abec9702a2aceb080b822fa6f
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.15.1		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.15.1	metadata	a8e45e3f8b18b228db7dba47cd9059d0be457f54
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.15.2		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.15.2	metadata	59d35df35521efab821eb8e841f6a3e52623cae7
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.16.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.16.0	metadata	324f176211c166e065bdc84d07139020f3f0492a
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.17.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.17.0	metadata	d690cfbd917df925c5fe7e9938a8a629a593e12f
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.18.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.18.0	metadata	7326332b3b4e047356561e86599bb5616f186a8c
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.18.1		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.18.1	metadata	e83a1c5485d86344794c1fa52906e8a90f897b7b
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.18.2		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.18.2	metadata	1713fb5adb14d838af2dac251f4bf421f9bf3c39
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.18.3		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.18.3	metadata	1531bb737bcb0e0c4ac0dac99fce15cc2d1cd1c7
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.18.4		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.18.4	metadata	c164d71e8556b7e8e96b98e7744929d647ec374d
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.18.5		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.18.5	metadata	95e18ce2e3292e64f85dddc2ef438d43e2406e1f
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.2.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.2.0	metadata	8a4e34f881b9eda28dfd0f26daf050e8c0deb383
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.2.1		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.2.1	metadata	4e3487779cffcdd9bd582322143f75db854da6ff
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.2.2		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.2.2	metadata	33811cee7b89adb9146ab27e2da47771e5fa68ba
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.2.3		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.2.3	metadata	ebe2e72ec247578111c9c157a4a0267afef3a2db
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.2.4		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.2.4	metadata	9c2e89f382e66491f12f6bfb44949e4e846145f5
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.3.0		N/A
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.3.0	metadata	46949a9080e32c55f0ae7f5d184e2961fd43f67e
com.algolia	algoliasearch-client-kotlin-iossimulatorarm64	3.3.1		N/A
