au.net.causal.shoelaces	shoelaces-jersey-integration-tests-container	2.0		ec08796a4753077822fe0045bdf383fa433e13a5
aws.sdk.kotlin	efs	0.10.0-beta		a02da2a41624f8eb7b1fc7c0befce5ebaddc910a
aws.sdk.kotlin	efs	0.10.1-beta		46269e782486b09c631179f101bc7a8afb71a148
aws.sdk.kotlin	efs	0.11.0-beta		ac866a893a02afedc6ddbf634926d4de8a4c7b2d
aws.sdk.kotlin	efs	0.12.0-beta		3a66a0abaaacf7718b7a1099d85fd2a6ca65ac51
aws.sdk.kotlin	efs	0.13.0-beta		85c967780edea95982d68bb14c5f945720ec1d99
aws.sdk.kotlin	efs	0.13.1-beta		40151793157487b070d7ed0b840b6b5909f86898
aws.sdk.kotlin	efs	0.14.0-beta		f821434899c9b954187d44a6262935d929a90a12
aws.sdk.kotlin	efs	0.14.1-beta		54ad539b71409bc1af54f2076a3f7e820d3b0360
aws.sdk.kotlin	efs	0.14.2-beta		759f17d32d40c85e595ce24fefd96080dc811aef
aws.sdk.kotlin	efs	0.14.3-beta		6564174700f1d4370bc45e414c34949e38cee2c1
aws.sdk.kotlin	efs	0.14.4-beta		5d6060dd6713dd3a1c54855e290361f6e009d33b
aws.sdk.kotlin	efs	0.15.0		96e47ffecfbb48ba9af239e85d61cbb724ec06f6
aws.sdk.kotlin	efs	0.15.1-beta		c2d924be1ab009645d2b561449dc95ac95842772
aws.sdk.kotlin	efs	0.15.2-beta		572c96941155eb182f877b03f0999dddff457422
aws.sdk.kotlin	efs	0.16.0		c386c12ef63f09867b628a8e20aa37d7133031a9
aws.sdk.kotlin	efs	0.16.1-beta		5599b91dbef563f95114b42a085a7b64791ecaaf
aws.sdk.kotlin	efs	0.16.2-beta		c4c282aa496ed234adcbdb612b42498fa00080f4
aws.sdk.kotlin	efs	0.16.3-beta		5897d6c8cc152b3ce7350600ca25e15d6043f9c8
aws.sdk.kotlin	efs	0.16.4-beta		a7b04bd8cfe590e5498a65d4dec22e4bd20415c3
aws.sdk.kotlin	efs	0.16.5-beta		89df7fd2fb642178dbfffc07e439de860ce0dc87
aws.sdk.kotlin	efs	0.16.6-beta		55c39a4c3d4e477042a5db9f3200ffd73ffe3fc6
aws.sdk.kotlin	efs	0.16.7-beta		c8ddac43c84463a46e2e4c31425ebd3b939887b7
aws.sdk.kotlin	efs	0.17.0-beta		927ea47dff35df24eec138cfe01104c9a70c60ac
aws.sdk.kotlin	efs	0.17.1-beta		c693b95ca938cd11296c8b8e43350d56f11dd6ef
aws.sdk.kotlin	efs	0.17.10-beta		0023dd9c4015027daf154525d421dc046290c9c6
aws.sdk.kotlin	efs	0.17.10-beta	all	45f62e3ff1487442ffadf6a8d1e02b5a80fba4a6
aws.sdk.kotlin	efs	0.17.11-beta		ea48b0827393e79a1ab22904bdcc766ef6c02973
aws.sdk.kotlin	efs	0.17.11-beta	all	8ecac840db64c07a64715c7ba9bce7b2d5067c82
aws.sdk.kotlin	efs	0.17.12-beta		da1bb76f038b96d41a21f6e094e2bff8fafafaf8
aws.sdk.kotlin	efs	0.17.12-beta	all	45b4b12c96b082606bfc939752d622f700b0675a
aws.sdk.kotlin	efs	0.17.2-beta		b733f332254020f5d479ebb413c3fdf1f4ba3eea
aws.sdk.kotlin	efs	0.17.3-beta		10ae2085a86fdd50437ac6dc6a9802cacd94f40b
aws.sdk.kotlin	efs	0.17.4-beta		a7eecffc9d63741a0a57f317009d13371da82f5f
aws.sdk.kotlin	efs	0.17.5-beta		93e965adbb99f6e28f8257a2f6e8b6dc0ec2dde7
aws.sdk.kotlin	efs	0.17.6-beta		ac0816801297e67957fffa0b36cc8e131ed73867
aws.sdk.kotlin	efs	0.17.7-beta		e892fb9ac9b9107922236ee57256f77ff17e2ac6
aws.sdk.kotlin	efs	0.17.8-beta		b6a52b403188555d82d79530ec46df3605dc770e
aws.sdk.kotlin	efs	0.17.8-beta	all	f95c7bc1b1a7f3a0e32947c1f7f45254204ac942
aws.sdk.kotlin	efs	0.17.9-beta		a2f9877a3cfb3129fddbe37688cc74b0cc4520a9
aws.sdk.kotlin	efs	0.17.9-beta	all	08de1985e3731aa71f257e674ced1fefb66d4687
aws.sdk.kotlin	efs	0.18.0-beta		93701e040a4196fac4383b7938cb83c5c2e09007
aws.sdk.kotlin	efs	0.18.0-beta	all	8401a8fc6654ccddb097a9eda98bcedcbfdea4b6
aws.sdk.kotlin	efs	0.19.0-beta		768247fae3d9838b30f79319da7864e47d218681
aws.sdk.kotlin	efs	0.19.0-beta	all	2bd235741df4a9c4c27d8da608ec3a946ecddd5c
aws.sdk.kotlin	efs	0.19.1-beta		01b698b4ba1f677bb1d541ea76817cf24e24c36a
aws.sdk.kotlin	efs	0.19.1-beta	all	4efcba2fc5106d6b4df34a5b486799998b95a7bf
aws.sdk.kotlin	efs	0.19.2-beta		f4e9fcc8cd3a87a53a56439431a526502958b269
aws.sdk.kotlin	efs	0.19.2-beta	all	c451996f6ffd398816dc3ec37d6d15130cf569f6
aws.sdk.kotlin	efs	0.19.3-beta		2c37f906e921dcf3166518a25bcdcece3f6331ad
aws.sdk.kotlin	efs	0.19.3-beta	all	82dfa749936968ce50a0421437ad333e73ab9dfc
aws.sdk.kotlin	efs	0.19.4-beta		cbcd204ebd915584f04be7d46240d28c0c8e8e84
aws.sdk.kotlin	efs	0.19.4-beta	all	f59689636ad4204b1b57e27a4d652d644308f117
aws.sdk.kotlin	efs	0.19.5-beta		3ab9574f344625a0f3dd88c5efc022c3a2fd6889
aws.sdk.kotlin	efs	0.19.5-beta	all	13a97f7a0fd933a3bd44ec2fbc0ad388f15ba2b4
aws.sdk.kotlin	efs	0.20.0-beta		fd193a4e0fbe9081b655cb86a91d923a5e3061fe
aws.sdk.kotlin	efs	0.20.0-beta	all	2cecd0e0812259177422f50ccc49e7dbbc227f5c
aws.sdk.kotlin	efs	0.20.1-beta		6779adfe9aa36f191114fd629a24ce98f5394d45
aws.sdk.kotlin	efs	0.20.1-beta	all	2cecd0e0812259177422f50ccc49e7dbbc227f5c
aws.sdk.kotlin	efs	0.20.2-beta		9961d1751cf72fcee5bb9f50bdccc1fcfc449a9b
aws.sdk.kotlin	efs	0.20.2-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	efs	0.20.3-beta		ab930d594e909e085340c17118a650af900f636d
aws.sdk.kotlin	efs	0.20.3-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	efs	0.21.0-beta		450a8696d4db0e439746ccdd22ec6504220e2aec
aws.sdk.kotlin	efs	0.21.0-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	efs	0.21.1-beta		9fddca1e637fa9da141aeff7ed70e10179bb492f
aws.sdk.kotlin	efs	0.21.1-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	efs	0.21.2-beta		a4da46cff7519f41ffccc623970b1af975bcea9b
aws.sdk.kotlin	efs	0.21.2-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	efs	0.21.3-beta		eeb8db89ed2011009b8bb66419ab0cd636296b9a
aws.sdk.kotlin	efs	0.21.3-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	efs	0.21.4-beta		967b274c6e590f7d606b64ddf9652c7cec3f96c9
