ai.meson.sdk	meson-wrap-mopub	1.0.0		N/A
br.com.objectos	core-object	0.7.0-jdk11		6c7fca5b9d98cb3b696212eb6fd550140c44d36c
br.com.objectos	core-object	0.7.0-jdk17		ecb8f7d59da02ec426529dded3fb0e6afaf65063
br.com.objectos	core-object	0.7.0-jdk6		cfa3e95de247b3fc204c95a13b32b7ae53bf38a2
br.com.objectos	core-object	0.7.0-jdk7		f3e254e449818dd64821878ab98d4c67e4a6f703
br.com.objectos	core-object	0.7.0-jdk8		f663c5f5b849a18e55002e87d85cfb013449c907
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.10.0		35502a3d93127cc6fce3c5268ac8404e185e80fb
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.10.1		505ba090c45e88203bfdd318e19eb9b5bfab0cfb
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.10.2		60e1c2788d3a32f5e78b2da4107facb4b6c4ff21
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.10.3		36f00bb5a5399807378bd7dc99cc9f173853e568
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.10.4		e2ff56c4f8527740c5c1825de2ae94787662f723
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.10.5		cd6ec296e84631940647de8412981ea996c00235
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.4.0		7d5c2ef3063500b2c7f4419eadec5637f9a94342
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.4.1		bae9a79db2a4fa085e7492b751464c42798d2720
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.4.2		127fd39c73d9f63f9907eadd8353da2af70d7ea5
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.4.3		a2492c65d6ee5f834645aacfb76bf39751852a09
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.4.4		7180081c551a302104e5f85e6d257462a2dbb69f
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.4.6		3b0e203232b8885b35bf68640d0ef4c3b08b5705
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.4.7		ef5d2c6d5af5eae23ad6fe37ad41b26d2aac8a45
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.6.0		4217cb190a5037a510826c7a09942195c324d4bd
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.6.1		d2a43f9997cf121810db9047e34d78f5c53c3151
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.6.2		5dbe854f297c6b6c5b87bf071dd767236514f7b2
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.8.0		7547c0e05f1c43aaa5e202e9a82955e14cb3c4ba
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.8.1		8d3f85a6d8936ed40ca66b53209121aaa55664a1
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.8.2		ca2f53079b4fd7cfb05a18f4e532984fc8aa3a52
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.8.3		8c63a28e0c5a88573349a49f4d100b453379b2a3
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.8.4		121d046bc06c7ce6bdb378a5995cc4dcca579818
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.8.5		a1aca1df611a0d49a2c5c0869d580149aa85597a
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.8.7		343311e96a41cb9b0ee5490dbab02c7ff98d8ca4
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	6.8.8		dc26515edc16c6b7dcbf95b46e412a4a68d1efde
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.0.0		a86b283132c324f7d18a5a1e6d20de38d25be1bc
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.0.1		2d715174017c3ba109ed7e323d5629771436fb49
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.0.2		b1f60bd464de8c880b6738a000a322fa1e03fef1
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.0.3		b00fec4ca6fdc57767f9715215dc6fde3eccbe5d
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.2.0		c0787636bd7cbeaa72021ccb4e664f9d6b89f683
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.2.1		8ad9b8355380a5233629730cc3df4ba6bd52eabd
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.2.2		4919ad35c4d462407235a06ab38867a8f7eedc45
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.2.3		0cb2bc5fd807dc5a2a22d433294f3c103ae4209b
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.4.0		a8d627ce0a3a63c1d6c2f53bb6ae502761c408c4
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.4.2		53e7ab54ffe61a6619bb427a4de989e9e87de05a
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.4.3		f5610b8acea429e0f5cb03fb15966f61a3bb9ed9
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.4.4		99573a832656988ea483fc8611a6dd287324f57c
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.4.5		a35f1b4c632c73638d97bd7aff1706659473123d
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.6.0		e64a52dd21c91c7df6d06a1d4a9212686b6979c0
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	7.6.1		8617ed691ba172c4289528d510cf4d0ee9ed51b5
ca.uhn.hapi.fhir	hapi-fhir-caching-testing	8.0.0		d63b4936de684e32cf7670b2c80f50f091cbc26f
co.tomlee.guava.services	guava-jetty-service	0.0.2		3f23ac06056ee2eb7545df53930f6291d39f2f02
co.tomlee.guava.services	guava-jetty-service	0.0.3		13c48cb6224b4cfcb905d3f1bfed94d21a0ad14a
com.aeontronix.enhanced-mule	enhanced-mule-config	1.0.0-beta1		323e19a442cfe43f577c9f4122dbdb3c844e5a8b
com.aeontronix.enhanced-mule	enhanced-mule-config	1.0.0-beta2		545d7efe6501a26c4cd8791126f7336dfb61fa66
com.al333z	asyncapi-gen-core_2.13	0.0.1		c4445dbb50ba4170e1af8eed7c35750f0b4956ff
com.alibaba.fluss	fluss-common	0.5.0		5f8ae69c68e0dde7aea7be98b542eee60bbcffd6
com.alibaba.fluss	fluss-common	0.6.0		8296aebc7377ef3144e37e8a2be0b2253da3fa04
com.arkivanov.essenty	back-pressed-android	0.1.0		N/A
com.arkivanov.essenty	back-pressed-android	0.1.1		N/A
com.arkivanov.essenty	back-pressed-android	0.1.2		N/A
com.arkivanov.essenty	back-pressed-android	0.1.3		N/A
com.arkivanov.essenty	back-pressed-android	0.1.4		N/A
com.arkivanov.essenty	back-pressed-android	0.2.0		N/A
com.arkivanov.essenty	back-pressed-android	0.2.1		N/A
com.arkivanov.essenty	back-pressed-android	0.2.2		N/A
com.arkivanov.essenty	back-pressed-android	0.3.0		N/A
com.arkivanov.essenty	back-pressed-android	0.3.1		N/A
com.arkivanov.essenty	back-pressed-android	0.4.0		N/A
com.arkivanov.essenty	back-pressed-android	0.4.1		N/A
com.arkivanov.essenty	back-pressed-android	0.4.2		N/A
com.arkivanov.essenty	back-pressed-android	0.5.0		N/A
com.arkivanov.essenty	back-pressed-android	0.5.1		N/A
com.arkivanov.essenty	back-pressed-android	0.5.2		N/A
com.arkivanov.essenty	back-pressed-android	0.6.0		N/A
com.arkivanov.essenty	back-pressed-android	0.7.0		N/A
com.arkivanov.essenty	back-pressed-android	0.7.1		N/A
com.arkivanov.essenty	back-pressed-android	0.8.0		N/A
com.b1nd.dodam	dodam-design-system	1.0.0		376a4f5772e13b0733cbd712e0a1aab1e9a15ec1
com.b1nd.dodam	dodam-design-system	1.0.1		0aaa593d81cacc2e8409a7482a8d103e0e43234f
com.b1nd.dodam	dodam-design-system	1.0.10		ed330af638f80e482949dd6fb77ebcbf0d856452
com.b1nd.dodam	dodam-design-system	1.0.11		a4ef18e1659111307dc92967fad6db24d957916f
com.b1nd.dodam	dodam-design-system	1.0.12		a4ef18e1659111307dc92967fad6db24d957916f
com.b1nd.dodam	dodam-design-system	1.0.2		b9e8b7855525b74fa33ea0d1bb9a0ac788436641
com.b1nd.dodam	dodam-design-system	1.0.3		b9e8b7855525b74fa33ea0d1bb9a0ac788436641
com.b1nd.dodam	dodam-design-system	1.0.4		f31634a870d6f4dca46df4f6dd2100ee9e6e7257
com.b1nd.dodam	dodam-design-system	1.0.5		330f2ac0adb08781891c7dd9f8b57dc82b52ae9e
com.b1nd.dodam	dodam-design-system	1.0.6		45bb6b67050f478dfee8e78923179a15e229cdeb
com.b1nd.dodam	dodam-design-system	1.0.7		d403ad5cdfd76d63fbe2541de6bcfad7a919b237
com.b1nd.dodam	dodam-design-system	1.0.8		52029473ef423ff9a5992ad256717c69655933eb
com.b1nd.dodam	dodam-design-system	1.0.9		36be6444c7ea672359e4ceeba6a5b71d4b6c4370
com.b1nd.dodam	dodam-design-system	1.1.0		00fc9408d599ff5c7620b569631fdffcf6e616a1
com.b1nd.dodam	dodam-design-system	1.2.0		fa6f03ba4321186df3b4b6e403a81b03aeec4872
com.b1nd.dodam	dodam-design-system	1.3.0		0ac30225328131dca0f26be11cd9b27d5b297311
com.b1nd.dodam	dodam-design-system	1.3.1		81f8ff08386c3fb753c41f8df6a1edf812580fa0
com.b1nd.dodam	dodam-design-system	1.3.2		64a1905991b33a9455d85df97cbd8a3d92220057
com.b1nd.dodam	dodam-design-system	1.3.3		64a1905991b33a9455d85df97cbd8a3d92220057
com.b1nd.dodam	dodam-design-system	1.3.4		64a1905991b33a9455d85df97cbd8a3d92220057
com.b1nd.dodam	dodam-design-system	1.4.0		2f4fc92349f14813fd8afd808443ad8cacfbfc91
com.b1nd.dodam	dodam-design-system	1.5.0		bb9e3c665e5a631e2008ccbfa3d0d61b425b6721
com.b1nd.dodam	dodam-design-system	1.6.0		88cb1cd91d415776687f52e59a39dc6b5316fd44
com.b1nd.dodam	dodam-design-system	1.7.0		e7cbc2b561f1e8c621dc55d966d7e2ced2f23c2b
com.b1nd.dodam	dodam-design-system	1.7.1		47e08661c509f6c0b56fe7245ca2aa1c93a9dd2c
com.beachape	enumeratum-scalacheck_sjs0.6_2.12	1.5.13		1cbc357889609474a20fac471875962b00c9d648
com.beachape	enumeratum-scalacheck_sjs0.6_2.12	1.5.14		573e302c2a5a93749ca00945073fb428cc61be8a
com.beachape	enumeratum-scalacheck_sjs0.6_2.12	1.5.15		aae653464a034df756d0498b7fb1d1e3b0198bdf
com.beachape	enumeratum-scalacheck_sjs0.6_2.12	1.5.16		4561d305513d603180afe3227cb51613a4c25156
com.beachape	enumeratum-scalacheck_sjs0.6_2.12	1.6.0		6f4804797e403780c948d03af473dd4e52a18b74
com.carlosedp	riscvassembler_2.12	1.0		6624df5fc55b7d41051270e29aee02ab901fb902
com.carlosedp	riscvassembler_2.12	1.0.0		c388e94cf6487174975ca9f1771cf8f5058fa6a0
com.carlosedp	riscvassembler_2.12	1.1.0		c9d12a85c1c36b21a2dd39ad6183faea5def75e8
com.carlosedp	riscvassembler_2.12	1.1.1		e852bdccd2240b7e5378abd72e800d32f879c603
com.carlosedp	riscvassembler_2.12	1.1.2		ff52c4452d4826a761b30d73c59db28adb9d8d5d
com.carlosedp	riscvassembler_2.12	1.2.0		bf373361d85679bc9c80fdf199ee7391c0985f7f
com.carlosedp	riscvassembler_2.12	1.3.0		c062ad81f0067af512210432ab1521ea5945939d
com.carlosedp	riscvassembler_2.12	1.4.0		410492c14657a0f7ce96504eed795c0843ac11b3
com.carlosedp	riscvassembler_2.12	1.5.0		c1112cb72645928b17898d6e8682abe47f8fe266
com.carlosedp	riscvassembler_2.12	1.5.1		648e3ef80a716dbeca6aa7ac789df5852f581dd8
com.carlosedp	riscvassembler_2.12	1.5.2		c328a7d1367ae8340edcbce7a51e4ab50c1b2e78
com.carlosedp	riscvassembler_2.12	1.5.3		fc9c3aa8a3ac95fa811000133f71b550159a9405
com.carlosedp	riscvassembler_2.12	1.6.0		f4d893146f54f2c483ebe1e3ce36d5ae80e170c8
com.carlosedp	riscvassembler_2.12	1.6.1		7eef2810f80b9f8492d3d5c631d7b6baeab13f3b
com.carlosedp	riscvassembler_2.12	1.6.2		e99cae1c569325ea1a8001d65424427501b86bb1
com.carlosedp	riscvassembler_2.12	1.7.0		0d544a6c5e0d73c83d54991d206e649c20f4aee0
com.carlosedp	riscvassembler_2.12	1.7.1		c91bba7e477f9c33835912f3dec0fe09863e0dc1
com.carlosedp	riscvassembler_2.12	1.8.0		ada51976c9243094890c5af1d6e925cd2e914a5f
com.carlosedp	riscvassembler_2.12	1.9.0		455f763b4b2ccdf36cb7300bfb90074947c5547c
com.carlosedp	riscvassembler_2.12	1.9.1		9da6dcd105b3cd7d69d6202d4be23a1001678f62
com.commercetools.sdk.jvm.core	sdk-http-ahc-1_9	1.0.0		7a4cd0816721a6f813ae265a7d21a3a1a8d483ee
com.commercetools.sdk.jvm.core	sdk-http-ahc-1_9	1.0.0-RC1		7d48b16adfc1f50a06ca862d0fb00d7df3e7ee66
com.commercetools.sdk.jvm.core	sdk-http-ahc-1_9	1.0.0-RC2		1238149f2e89ae431f31b4634650995f33571737
com.commercetools.sdk.jvm.core	sdk-http-ahc-1_9	1.0.0-RC3		2dde62cdcd362c001749ee0322d5ec8357601c6f
com.commercetools.sdk.jvm.core	sdk-http-ahc-1_9	1.0.0-RC4		85cc7be37b674050525d3ee04050ce498c5b8c6a
com.commercetools.sdk.jvm.core	sdk-http-ahc-1_9	1.0.0-RC5		9e92f9db6b322f11ab046937649d099185914b54
com.commercetools.sdk.jvm.core	sdk-http-ahc-1_9	1.0.0-RC6		5ca4aa6df1731fdbe46148caffb3a2dc9eaee189
