au.csiro	elk-cli	0.5.0		e2f8556204f8c33fcd7505239758bbed905dfac0
co.abit.prime	prime-domain	1.1.16		ecff9302be2defaf0cf35a02e48aad6a663c8b82
co.abit.prime	prime-domain	1.1.6		bc283461230f355ed942e8eeb485decf4e29a01a
com.carecon.fabric3	fabric3-plugin-api	3.0.0		d0a09dfe9510ab5cf6df017081e652ad584a60fe
com.carecon.fabric3	fabric3-plugin-api	3.1.0		a8d8fdf398f7bc2e7c230d7cd13521f255329ea0
com.divpundir.websockt	adapter-rxjava3	0.2.0		319ee1a5bdbcb5b18260dfa212ff45bbae882831
com.divpundir.websockt	adapter-rxjava3	0.3.0		ec73b39cdace4b9af2850fe6b81f1230c846aad4
com.divpundir.websockt	adapter-rxjava3	0.4.0		b94dc92e2058c5efab16a0d64387d40c44bad149
com.divpundir.websockt	adapter-rxjava3	0.5.0		f8828887e594c0e4f5d8c45f90228257f306b3bb
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.0.0		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.0.0	metadata	af69f1e6c019f7effe3956cc3741fbefab9b25cd
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.0.1		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.0.1	metadata	cbe69f15b73f5c255a8da46878eae4a1006d7286
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.10.0		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.10.0	metadata	47fa11712491339230d7d3b28867f9871e2157ba
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.11.0		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.11.0	metadata	73646fdcb3c41ab7dbcd961b3a78dcf93acbe90f
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.12.0		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.12.0	metadata	efbbae3cc2762515a924f7291b4ccbb540d8172a
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.13.0		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.13.0	metadata	2de0aa608cfe7b973ea20c2e80fb1dde71c8eb5a
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.4.0		N/A
com.ensody.reactivestate	reactivestate-compose-tvossimulatorarm64	5.4.0	metadata	a2de307e6dc2d22b38b1b1024142d3fa746783e7
