br.com.arsmachina	generic-controller	2.0.0		32b14d157b0201e13922c6251522f9a511c10f07
cn.bywei	swagger-lazydoc	1.0.0		N/A
cn.bywei	swagger-lazydoc	1.0.1		N/A
cn.bywei	swagger-lazydoc	1.0.2		N/A
com.acooly	acooly-archetype-allinone	5.2.0		7be7a19b74e9010c07310d573ec85ca44f72a134
com.acooly	acooly-archetype-allinone	5.2.1		85bcda2d08e42730c453ad62b65972a16dd6ef8f
com.aliyun	mseap20210118	1.0.0		ab0d1a6245a81970f2416ceb3f1cce5b5a68a1b3
com.aliyun	mseap20210118	1.0.1		9dc2f0930d8511b5b1b00d3af27619a47737f815
com.aliyun	mseap20210118	1.0.2		7c9ef61228c6f381f4feab39fe5e3e91b64a1ae2
com.aliyun	mseap20210118	1.0.3		e2c2f69a44f9b84d73a2411c13b637d0ed7f0909
com.aliyun	mseap20210118	1.2.2		d83605509c669c3718dd6de91e98505a0db69f68
com.aliyun	mseap20210118	1.2.2	shaded	bda1eb81a6c6ce32bbac2cb97d34821d1b2c02fd
com.aliyun	mseap20210118	1.2.6		b4bccb4409390657ed4bac1a1d860d10e552e2fb
com.aliyun	mseap20210118	1.2.6	shaded	4669dd9a917ca0b86d1f9a292374f96a1e225496
com.aliyun	mseap20210118	1.3.1		fd36b6b83526eceb6d3792caf27a95e620658a34
com.aliyun	mseap20210118	1.3.1	shaded	8e399f82066fabf9fc743141856ec40f80b5ab86
com.aliyun	mseap20210118	1.3.3		ef38de8b95733f3f16fbb52f5b9e7c62239e92b5
com.aliyun	mseap20210118	1.3.3	shaded	9ad7d139eab3c9b990a9b9a4813f9ec743b37c84
com.aliyun	mseap20210118	1.3.5		df07f32c110d8f1261e294879f9e6b7ec2a173a4
com.aliyun	mseap20210118	1.3.5	shaded	d089c1cbc4b6da443fa2eb1945028bde3fa5274a
com.aliyun	mseap20210118	1.3.6		08ddca1df7f7cf75f3632893cb06f49b433966e8
com.aliyun	mseap20210118	1.3.6	shaded	0efabd721390eefd33f36ee8d63ebb2009fdd8ab
com.aliyun	mseap20210118	1.3.7		20b53edf15789832d56c5637274961988710e805
com.aliyun	mseap20210118	1.3.7	shaded	662381dd78d583c5ff6e0fb28a2baa769ed9edb1
com.beachape	enumeratumscalacheck_sjs0.6_2.12	1.5.13		8dae94ce86f4676172aa13b367b49d6a539d8d47
com.box	castle-core_2.10	1.0.0		45e404cb271e2dfa963c48ec92b78bbddf94f4f1
com.box	castle-core_2.10	1.0.1		4a9e55099718ca846a07c7cec0ead926f782cb78
com.box	castle-core_2.10	1.0.2		4ab69a1081bf7e36520b2ebb02347f18778c4483
com.box	castle-core_2.10	1.0.3		95b13d485c6ebe04881b9c8a662e1d92a0434787
com.box	castle-core_2.10	1.0.4		922eca3a82b24309abdf4c2fa7792e4f431e8f00
com.box	castle-core_2.10	1.0.5		206e07f59592a4fd1ebdd171debe8ac594779d03
com.box	castle-core_2.10	1.0.6		96f523bce3a960ffadd4a51352e163a3f909b2b0
com.box	castle-core_2.10	1.0.7		6aeb4fb68c7bfe3d4eab144bc51dada54131b405
com.box	castle-core_2.10	1.0.8		96be53b7130c7f13b12fc55da70b244463aef2dc
com.daml	daml-on-sql_2.12	0.13.56-snapshot.20200403.3814.0.47541e70		79c203c8069400dc18035ad925545a69d1d9e1ec
com.daml	daml-on-sql_2.12	0.13.56-snapshot.20200404.3816.0.30f2c742		79c203c8069400dc18035ad925545a69d1d9e1ec
com.daml	daml-on-sql_2.12	0.13.56-snapshot.20200407.3843.0.10bac143		de3d6384956d5b5ac400ded0305ba57bdae8b16d
com.daml	daml-on-sql_2.12	0.13.56-snapshot.20200407.3859.0.b488b353		de3d6384956d5b5ac400ded0305ba57bdae8b16d
com.daml	daml-on-sql_2.12	0.13.56-snapshot.20200408.3871.0.b3ccacc0		de3d6384956d5b5ac400ded0305ba57bdae8b16d
com.daml	daml-on-sql_2.12	0.13.56-snapshot.20200408.3877.0.1ddcd3c0		de3d6384956d5b5ac400ded0305ba57bdae8b16d
com.daml	daml-on-sql_2.12	0.13.56-snapshot.20200411.3905.0.f050da78		de3d6384956d5b5ac400ded0305ba57bdae8b16d
com.daml	daml-on-sql_2.12	1.0.0		de3d6384956d5b5ac400ded0305ba57bdae8b16d
com.daml	daml-on-sql_2.12	1.0.1		de3d6384956d5b5ac400ded0305ba57bdae8b16d
com.daml	daml-on-sql_2.12	1.0.1-snapshot.20200417.3908.1.722bac90		de3d6384956d5b5ac400ded0305ba57bdae8b16d
com.daml	daml-on-sql_2.12	1.0.1-snapshot.20200424.3917.0.16093690		de3d6384956d5b5ac400ded0305ba57bdae8b16d
com.daml	daml-on-sql_2.12	1.1.0		31be12fbb156c00247b418b1207a0c3e63567be1
com.daml	daml-on-sql_2.12	1.1.0-snapshot.20200422.3991.0.6391ee9f		ebac87a1ecdd8ab95c3aa8aa33c38a5e898f7cf2
com.daml	daml-on-sql_2.12	1.1.0-snapshot.20200430.4057.0.681c862d		31be12fbb156c00247b418b1207a0c3e63567be1
com.daml	daml-on-sql_2.12	1.1.0-snapshot.20200506.4107.0.7e448d81		47662b39f924b23afb2637302e4252f3afb8abfd
com.daml	daml-on-sql_2.12	1.1.1		47662b39f924b23afb2637302e4252f3afb8abfd
com.daml	daml-on-sql_2.12	1.2.0		1387e7a1561bcc3ea926e568a682d25ae0512707
com.daml	daml-on-sql_2.12	1.2.0-snapshot.20200513.4172.0.021f4af3		1387e7a1561bcc3ea926e568a682d25ae0512707
com.daml	daml-on-sql_2.12	1.2.0-snapshot.20200520.4224.0.2af134ca		1387e7a1561bcc3ea926e568a682d25ae0512707
com.daml	daml-on-sql_2.12	1.2.0-snapshot.20200520.4228.0.595f1e27		1387e7a1561bcc3ea926e568a682d25ae0512707
com.daml	daml-on-sql_2.12	1.2.0-snapshot.20200527.4268.0.acc5a21c		1387e7a1561bcc3ea926e568a682d25ae0512707
com.daml	daml-on-sql_2.12	1.2.0-snapshot.20200528.4309.0.f619dea3		1387e7a1561bcc3ea926e568a682d25ae0512707
com.daml	daml-on-sql_2.12	1.2.0-snapshot.20200602.4310.0.1c18058f		1387e7a1561bcc3ea926e568a682d25ae0512707
com.daml	daml-on-sql_2.12	1.3.0		40976e2011bf09aa6f0cfc13923291f20f056b1a
com.daml	daml-on-sql_2.12	1.3.0-snapshot.20200603.4345.0.1386abc0		1387e7a1561bcc3ea926e568a682d25ae0512707
com.daml	daml-on-sql_2.12	1.3.0-snapshot.20200610.4412.0.0544323d		1387e7a1561bcc3ea926e568a682d25ae0512707
com.daml	daml-on-sql_2.12	1.3.0-snapshot.20200610.4413.0.11b5c362		1387e7a1561bcc3ea926e568a682d25ae0512707
com.daml	daml-on-sql_2.12	1.3.0-snapshot.20200617.4474.0.53bddb54		1387e7a1561bcc3ea926e568a682d25ae0512707
com.daml	daml-on-sql_2.12	1.3.0-snapshot.20200617.4484.0.7e0a6848		1387e7a1561bcc3ea926e568a682d25ae0512707
com.daml	daml-on-sql_2.12	1.3.0-snapshot.20200623.4546.0.4f68cfc4		1387e7a1561bcc3ea926e568a682d25ae0512707
com.daml	daml-on-sql_2.12	1.3.0-snapshot.20200701.4616.0.bdbefd11		40976e2011bf09aa6f0cfc13923291f20f056b1a
com.daml	daml-on-sql_2.12	1.3.0-snapshot.20200706.4664.0.5db06051		40976e2011bf09aa6f0cfc13923291f20f056b1a
com.daml	daml-on-sql_2.12	1.3.0-snapshot.20200708.4686.0.95dfa18e		40976e2011bf09aa6f0cfc13923291f20f056b1a
com.daml	daml-on-sql_2.12	1.3.0-snapshot.20200714.4687.0.8e10c7a7		40976e2011bf09aa6f0cfc13923291f20f056b1a
com.daml	daml-on-sql_2.12	1.4.0		732f66cb591b040af8fab8fcd72c0ae6d32d6ad9
com.daml	daml-on-sql_2.12	1.4.0-snapshot.20200715.4733.0.d6e58626		2222fb913b940ceaed59920620296a8f19e468ab
com.daml	daml-on-sql_2.12	1.4.0-snapshot.20200722.4796.0.28ab504b		732f66cb591b040af8fab8fcd72c0ae6d32d6ad9
com.daml	daml-on-sql_2.12	1.4.0-snapshot.20200722.4800.0.21a16eef		732f66cb591b040af8fab8fcd72c0ae6d32d6ad9
com.daml	daml-on-sql_2.12	1.4.0-snapshot.20200724.4812.0.818a52b0		732f66cb591b040af8fab8fcd72c0ae6d32d6ad9
com.daml	daml-on-sql_2.12	1.4.0-snapshot.20200729.4851.0.224ab362		732f66cb591b040af8fab8fcd72c0ae6d32d6ad9
com.daml	daml-on-sql_2.12	1.5.0-snapshot.20200804.4902.0.de2fef6b		669b94fa1754fb9916693cb664ca6555c9d2b1b1
com.daml	daml-on-sql_2.12	1.5.0-snapshot.20200811.4959.0.bbc2fe56		3b025b097d51343fa8268feb1e0206c269687a36
com.didispace	scca-persistence-git	1.0.0-RELEASE		c59b3d47ca7a770469d8ceb94b9e2e0d2f1a8628
com.didispace	scca-persistence-git	1.1.0-RELEASE		10df8567e31c9b35c0d9fd842782668568838bf0
com.didispace	scca-persistence-git	1.1.1-RELEASE		baf906188355ba461dda3d811c8b15179b0ffad2
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.0.0-3-cca5341b		44ed985fc66954e4e3c8eae18ab50ea8fd14c68c
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.10.0		aabd29e2732a7e5cff171a97e743a2fd6e03056f
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.11.0		3e162952fd23b7a21661a93e19bc51d743a5ff17
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.11.1		b14c2dc4f2c163b046ee8f42230c33c88beb264f
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.11.2		cc04a95c1ba8b777162840b745c6936c1e72ea98
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.11.3		d40f9f84c1a2e045aaa4e040b9a5cb242ea4a156
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.11.3-11-54c38f45		bc6ca3e52826f8ab29cd4c0e483e1e5c0e7c3031
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.11.3-6-95429ed2		1f63c4b77e075214afc9d1ad58d9209b802f48cb
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.11.3-7-34838009		b8e5d5af9e41e2c84081d39f27411ab15cf49eea
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.0		95d46b561d572086993973bb6a064a0e36812cf2
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.1		bb160bdf9fe4fdbb75b6a92cc7f2afb23140513e
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.10		371ef528f645d3d22278ffb4eda7d93043d901f0
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.11		1cfc4f1b1e5f81bc67e46a675431db69e472230e
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.12		01a267cba2524ceceec2d28bd80f2c7d4dffd528
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.13		625b55eed19fa4ad1eaa867df107f55d4b6c1e21
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.14		5473c38677bb44fbc5e5a1784c0aa599d0bdc368
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.15		9f0e413038aff3502f42a5566f00085db4dd3319
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.16		e681b54beed8e1040633951169eec4aadcb09234
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.16-11-deaa5a36		1878ce4c17c32c2323610194cf5a2090f07bb914
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.16-43-1071a140		2a8f060ba9a2ec208bd9a69851295efa59be707c
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.16-58-834dc248		6e37cfe6db188556e0e152ccf105af1ac4bac0c4
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.2		9775051e197efcfd723a4156109b62aae4f9e964
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.3		be20f9b64ad487beecd2b3350eb9594b4f07be84
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.4		1da0b234032edaafa4011dfbf0ca9ea17237a4ab
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.5		8f73a536fb7f3d946ef31752e4578d626fe667cd
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.6		e62e7ec0368fad08f0714d4434e04bb00e859f8d
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.7		9f1f918af2086b456b28759edd8e3189b556b047
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.8		d3f9b0fb364b3152f75c0b7b78a9be3b4c780cf3
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.12.9		ba37de5cec2e27305a206a009f60b516a8945bb9
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.13.0		76b6e39ee06c6e7e97590c9568a2935d1347f683
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.13.1		d9b3747b770c0c764bbf021069e3c84bb9d25552
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.13.1-23-1b685de5		f3b50594b0066ffbb1e56526cd8ce7b09c1deb7c
com.disneystreaming.smithy4s	smithy4s-aws-kernel_sjs1_2.13	0.13.2		4112c68b1a6e9ec043cf988cc7ef3924d7483850
