ai.wanaku	jbang	0.0.4		cdfbae12c7f3aac56a4a47294b3e311d2c1d8a77
com.admin4j.framework	admin4j-lock	0.10.0		N/A
com.bladejava	blade-redis	1.1.1		959e42dfa84b117a764efd2b7041f44e367fb2e8
com.bladejava	blade-redis	1.2		b8f34ac6fd88999f11fdb05951946cf1aefa4bfa
com.bladejava	blade-redis	1.2.1		4ffafe0c1dc253897cf5eb621d0b7f621721af73
com.bladejava	blade-redis	1.2.2		fbd2678a29ccadf00920f57a1618fa80645ce358
com.bladejava	blade-redis	1.2.3		234c41a3797a80a32ef1e016634a23822e4ce14e
com.elastisys.scale	cloudpool.kubernetes	4.1.10		15164ff9986df4ac51f2d647daf3891616bf74f0
com.elastisys.scale	cloudpool.kubernetes	4.1.11		667f2f80ee9ffaa1bd403bdd1b309b4bee247a40
com.elastisys.scale	cloudpool.kubernetes	4.1.12		d5f366e1533befce41edbd83d1a1ff6d833641ae
com.elastisys.scale	cloudpool.kubernetes	4.1.8		e79739a6890c3f6e6bd92fcc3e3633fd60d28e80
com.elastisys.scale	cloudpool.kubernetes	4.1.9		12d25b7f34d124b551fedae1cb14662fdfc879d0
com.elastisys.scale	cloudpool.kubernetes	4.2.0		af11c4e5f0174a8e15cdc99bd536824ccc296081
com.elastisys.scale	cloudpool.kubernetes	4.2.1		6407782c87b3e9b6f091f1b7737f91dec38a3773
com.elastisys.scale	cloudpool.kubernetes	4.3.0		69e74f4e0caffbf1568baca02f80f9e74c9289b4
com.elastisys.scale	cloudpool.kubernetes	4.3.1		010cf246305256bac9c2b09d3a4ef5b0664684e1
com.elastisys.scale	cloudpool.kubernetes	4.3.2		e6a00f97957706f830212c4c1f786e02ffe0f4bd
com.elastisys.scale	cloudpool.kubernetes	4.3.3		2fb33ab26101d91f27a3f2a1d43b0cf4377c2aa0
com.elastisys.scale	cloudpool.kubernetes	4.3.4		7a0cc46f10ccf67a26a319f8fc3e17a104c4724a
com.elastisys.scale	cloudpool.kubernetes	4.3.5		7d712856bb6afa78606a9fda51c0287fcbc93841
com.elastisys.scale	cloudpool.kubernetes	4.3.6		817e2fd46bc209e549b8d1ca0519eb7b3a6728b4
com.elastisys.scale	cloudpool.kubernetes	5.0.0		8b0d015ef413bc55927315b4515f0d9f47016b5a
com.elastisys.scale	cloudpool.kubernetes	5.1.0		e4c7d9dfa987f04502b9d24e0e728f373cfb126e
com.elastisys.scale	cloudpool.kubernetes	5.2.0		f28a98d0a5a581d5ca9848549584c5cb9d57536d
com.elastisys.scale	cloudpool.kubernetes	5.2.1		17f51c51f804782f1f754f92ff4fe5eb6f1321e2
com.elastisys.scale	cloudpool.kubernetes	5.2.2		b692d548a83ebdc793e5313ad4d6fb85af17e600
com.elastisys.scale	cloudpool.kubernetes	5.2.3		7aa6ae3a5fa776c77825d462587b3df819576b77
com.frostwire	jlibtorrent	1.1.0.0		d341890480607b98ba5ae8f2a33faf30777dd224
com.frostwire	jlibtorrent	1.1.0.1		a7b41b869cb268cf3353f128f0f1f25c0b32393c
com.frostwire	jlibtorrent	1.1.0.10		689cfb2f203d39b44e0d46d9466d801f163410fa
com.frostwire	jlibtorrent	1.1.0.11		809a5495dd4d5d018a5e5cf2b962dc3564230e80
com.frostwire	jlibtorrent	1.1.0.12		044ef3111848378253e3a34dd9a01c2da8eb79e0
com.frostwire	jlibtorrent	1.1.0.14		2a445e29a767ef21f691234a7a9dbcdb6b99d6a9
com.frostwire	jlibtorrent	1.1.0.15		e5dc15391d9b3277c4899e25fff2e05bbfcef72b
com.frostwire	jlibtorrent	1.1.0.16		0a9fdfcdb4b755172708a47a744cc93b5bc5b7a8
com.frostwire	jlibtorrent	1.1.0.17		14c2b8308c0899428efac2a65751aac090c3cfb9
com.frostwire	jlibtorrent	1.1.0.18		be550c6dad24abba72c043864f41d4ac15204406
com.frostwire	jlibtorrent	1.1.0.19		c9d6ce584d3ff759fac0a77080904c4ca6d4f12e
com.frostwire	jlibtorrent	1.1.0.2		7a67de65d2c29817b2bfe3489368bb7fb2e71dc1
com.frostwire	jlibtorrent	1.1.0.20		18eaf2c8ae9724c777c1b3d13d3a2d2db5a86465
com.frostwire	jlibtorrent	1.1.0.21		7c61447ccedf7990f82a7f185f58e613a377dee4
com.frostwire	jlibtorrent	1.1.0.22		39127fbd022e65cd365f6e8d3ec501804615d512
com.frostwire	jlibtorrent	1.1.0.23		f713f38476b27d2686ee3ce9a69e8ef7836be34c
com.frostwire	jlibtorrent	1.1.0.24		a36a5fc9fc4db58428a6af35e6449f6bc90693fd
com.frostwire	jlibtorrent	1.1.0.25		73abb52e34adff21ba11bb9755db06e3e1dcb804
com.frostwire	jlibtorrent	1.1.0.26		16ce96b5a6a6bf9ff42a327a8517e158d2634178
com.frostwire	jlibtorrent	1.1.0.27		2bf6c082ca2808deb6ccf5ca260ec00213e643b8
com.frostwire	jlibtorrent	1.1.0.28		c82c400c5bbb833384139a9dd79cdf2ac6e7f2c4
com.frostwire	jlibtorrent	1.1.0.29		56f51c970ad1581ea1411316bf4dddcc4013f138
com.frostwire	jlibtorrent	1.1.0.3		a57af4aec046f27642e9913973277c0872e83555
com.frostwire	jlibtorrent	1.1.0.30		708afc43f40c5c4f1d8aa2959d16b8ed59ffd82d
com.frostwire	jlibtorrent	1.1.0.31		644cf35abf9454d8549820f3ae7273702a98d8d8
com.frostwire	jlibtorrent	1.1.0.32		a45f974eb2a2744b1c2b6ad11df43b8eb1cbdcdd
com.frostwire	jlibtorrent	1.1.0.33		261fd1fe6c3119d3da3297abb7023dcb8fda5afb
com.frostwire	jlibtorrent	1.1.0.34		652f083f592e2f078d3b9e38879055be99042075
