activemq	jaxb-api	20050407		b7a286350f4c1d83c6b763650c1538d09cf1bee6
cn.com.antcloud.api	antcloud-api-tam	1.1.2		c31b7691a60edef8bc615a1f26cd5e4b0b7c5ba6
cn.com.jeeweb	common-io	1.0.0		191d9276a31224af29549dcac0a9ad7f332668d1
cn.com.jeeweb	common-io	3.0.2		104bc77e6521dfb9e4d43032df55abc7e98323a2
cn.com.jeeweb	common-io	3.0.6		ce51977ffdb215ba1cb81936c11a471f3e0a6977
cn.com.jeeweb	common-io	3.0.8		f2516e71eec2afbd10140ff72852b1fada3c3676
com.athaydes.automaton	Automaton	1.3.2		99e74c0b6c32c0c2a8ed55f18eb882a6d57745fa
com.athaydes.automaton	Automaton	1.3.2	all-deps	7ad2da289db534d9512d812a8e3eed71b905cc6a
com.bazaarvoice.jsonpps	jsonpps	1.0		eff26151ffe7b45202aa5343a127b8334d1c2dee
com.bazaarvoice.jsonpps	jsonpps	1.1		6d8abeeb5bb0e70965ac24d7fb77fd2a73b01707
com.cognite	beam-connector-java	0.9.0		514afcbc945ea1d0d6c021a59d039946cb53e135
com.cognite	beam-connector-java	0.9.1		de04250e77768b652b97df45933fee696c2d26ff
com.cognite	beam-connector-java	0.9.10		ff10c641da8295bb26d080dd3491a9245a3700eb
com.cognite	beam-connector-java	0.9.11		833f11f2d7f473961324589362c35f21805e0588
com.cognite	beam-connector-java	0.9.12		380d37b9afaff8f8fa0b37cddf40eb76207ebb03
com.cognite	beam-connector-java	0.9.13		d926ab82cde259184dd55ace41f56957916a6bcb
com.cognite	beam-connector-java	0.9.14		c257a0a1c70330027468ba52beb72e74c149d4b8
com.cognite	beam-connector-java	0.9.15		e84e0c50e8c037ab09661dd7886a1084d5f471fb
com.cognite	beam-connector-java	0.9.16		e46d15741a4580ea1e7ed8e14fe82e69faa7c538
com.cognite	beam-connector-java	0.9.17		ad75c1e408992e68710ae1b242776f80780cfa1d
com.cognite	beam-connector-java	0.9.18		f64b7a213315ab549f5c6a5b4b11c851bfa1760b
com.cognite	beam-connector-java	0.9.19		e3a3c7ead5353acf54e8e471959202eb615c6e44
com.cognite	beam-connector-java	0.9.2		6c408c9932ff89ab2f003829e4420f5de2a06a96
com.cognite	beam-connector-java	0.9.23		0589fa2acfe9a0d75beb8a71e3dcf91b2df0bf55
com.cognite	beam-connector-java	0.9.24		6236ea932034351ff278eec455a2871506a83a34
com.cognite	beam-connector-java	0.9.25		a28eac80ac7fd6dd431bc00a95cba559994ea583
com.cognite	beam-connector-java	0.9.26		9d0d69529fcf1e38b880ecced4c85fafd98ff8f6
com.cognite	beam-connector-java	0.9.27		b669e30ec9b7e340cfd22c116a8f0ec59814cd56
com.cognite	beam-connector-java	0.9.28		77025cba5a36babae4aa4081efeb23dee090301c
com.cognite	beam-connector-java	0.9.29		27467f498c36f0b37eacc453000ba437b9611a6a
com.cognite	beam-connector-java	0.9.3		b76d3f38b87daecd17786c97a96e6e7379f4f687
com.cognite	beam-connector-java	0.9.30		526fddcc9fdeb7a8351140a939c7e3e3b41c6844
com.cognite	beam-connector-java	0.9.31		224c4272e4e833648297d036b72bc8dbdecede06
com.cognite	beam-connector-java	0.9.32		7766dcfe8d245a9230ddfed1e4963257a460e4c2
com.cognite	beam-connector-java	0.9.33		dd7e52e948981ff81c8f6b15b8f00cb6c0924ee2
com.cognite	beam-connector-java	0.9.34		994cfea0423b9ac13e2b8f063f104a5b5236eb61
com.cognite	beam-connector-java	0.9.35		d51d77b3b0f6810bcc13b153c345cee271ddf48b
com.cognite	beam-connector-java	0.9.36		93875cd1ce5d229b7d75d9807101fafb11cd566b
com.cognite	beam-connector-java	0.9.37		76d925dc2ca261b1d5ff8cd3b93e8883d4843986
com.cognite	beam-connector-java	0.9.38		319394c7b38834f086c3c8a9df56fa34e798c90a
com.cognite	beam-connector-java	0.9.39		4c7145cc412d401726020e16c4cd1c81a42c0bd1
com.cognite	beam-connector-java	0.9.4		ac07cbfcba348574a70387e3efa7cf94a7bd3248
com.cognite	beam-connector-java	0.9.40		91e27b1539702ec8de724609b0f0072072689e6b
com.cognite	beam-connector-java	0.9.41		39ddc5a1f09e890060cd672b834a7be91c50eee2
com.cognite	beam-connector-java	0.9.42		1dd7dbfed299c7ffd5f5089e6dc24d5e4382ec9d
com.cognite	beam-connector-java	0.9.43		e1731822ace88eff64268e302cb9ac9da373a6ce
com.cognite	beam-connector-java	0.9.45		bc37be7b0fa0718b44a4964bf93392e499e3b31c
com.cognite	beam-connector-java	0.9.6		17fd3829870b606f4e815db5d4749ecff504b9a1
com.cognite	beam-connector-java	0.9.7		c340d4b10e48b76f304f74303810c643b20c037b
com.cognite	beam-connector-java	0.9.8		f58a88111e9f6b049510849d8c2576b071bf2751
com.cognite	beam-connector-java	0.9.9		db35041dc8a1d1e7eb313790a2778e5ab2206172
com.coreoz	wisp	1.0.0		1532b8c356828c7c5e01d93c5301834371730dc2
com.coreoz	wisp	1.0.0-rc2		de3bee76dd9ca1a535e3fe403553882058bf228d
com.coreoz	wisp	1.0.0-rc3		893657fde1bc87bd8e06d307b435e973c4f9ee08
com.coreoz	wisp	1.0.0-rc4		2e4d8d73a4e1f4926b7e4b7820bd2cf8bf299db1
com.coreoz	wisp	2.0.0		6178397d83788b7bb8f59c22ca3ed8b5e669bf00
com.coreoz	wisp	2.0.0-beta1		63041b6eb3c097512529783b431fb62c1dd5011c
com.coreoz	wisp	2.0.1		b21b778c5ff38320b7322bea2c458b73da6f179f
com.coreoz	wisp	2.1.0		b946ff2cb133fb3f921c295ba2c8ff918332def7
com.coreoz	wisp	2.2.0		69bf36c56553ac3380034fd8ae59d1ddc9428f4a
