cargo	cargo-intellijidea	0.1		N/A
cn.liujunjiang	good-tool-core	1.0.6-RELEASE		935d0b69c16b41e3f36535294847becd5fd7ecd7
cn.liujunjiang	good-tool-core	1.0.7		99047f4e923550bf33373f7803b7db6c42f970a7
com.algolia	instantsearch-insights-jvm	2.11.0		622e80451a1017259b3b6937c43d1dc15ca21e47
com.algolia	instantsearch-insights-jvm	2.11.0-beta02		eda9c7aee4dfe31df07666a91dbc39257916bc62
com.algolia	instantsearch-insights-jvm	2.11.1		1c627e2b75a2313c6912f2914f65a9217f22cfe5
com.algolia	instantsearch-insights-jvm	2.11.2		df3d1a783ec95f0be5528c74eee92c9bfe6df06a
com.algolia	instantsearch-insights-jvm	2.11.3		249f88386d71843775f96fb457e313a077d28a0c
com.algolia	instantsearch-insights-jvm	2.11.4		454ab74fcbc3bcf41613b7d027e56731bb4fb113
com.algolia	instantsearch-insights-jvm	3.0.0		035bab66174730e659ebf37ae74a743b69832aa9
com.algolia	instantsearch-insights-jvm	3.0.0-beta01		0d6efbc4f8f843f22437aeaadd4724ffa7616c6b
com.algolia	instantsearch-insights-jvm	3.0.0-beta02		a23ab9865f9cb323a52e1ef8349bb403559d5129
com.algolia	instantsearch-insights-jvm	3.1.0		efbfc5ae7b8e42b23801958e31b75bf37a881fc0
com.algolia	instantsearch-insights-jvm	3.1.1		fd707ab847b589b8da3617b3d06cf481dd5388bc
com.algolia	instantsearch-insights-jvm	3.1.2		b5495d70f4ec507207cf475afc6cabcb90071407
com.algolia	instantsearch-insights-jvm	3.1.3		10d77b6f6b3a36a11fdf437b465cf86dd522a291
com.algolia	instantsearch-insights-jvm	3.1.4		98d2dd2f05de344fe06d1770dcef9117e397789d
com.algolia	instantsearch-insights-jvm	3.1.5		f1514b20544e8d30a98bb1338a9ec5a9a1748fc3
com.algolia	instantsearch-insights-jvm	3.1.6		e4d5e1a5973c1762c8702921d96de4f4a9fc81b3
com.algolia	instantsearch-insights-jvm	3.1.7		58d7ded5529bf8c85d57323dbac655752e8bc1b5
com.algolia	instantsearch-insights-jvm	3.2.0		47fc28b01aa37564ee826fb6b71ce8fe024d6e2f
com.algolia	instantsearch-insights-jvm	3.2.1		58d7ded5529bf8c85d57323dbac655752e8bc1b5
com.algolia	instantsearch-insights-jvm	3.3.0		58d7ded5529bf8c85d57323dbac655752e8bc1b5
com.algolia	instantsearch-insights-jvm	3.3.1		6a7b6ed932826751585373f46632a66ca87bdae4
com.aol.cyclops	cyclops-for-comprehensions	4.0.0		073d4ad8e7b895963e712fefb49dab97769cd927
com.aol.cyclops	cyclops-for-comprehensions	4.0.1		8d739d4dfa1647a08a2933e3677a8f8305a7eadd
