ai.scandoc	scandocsdk	1.0.0		N/A
co.botanalytics	java-sdk-core	1.0.0		b251c3237c9ffe842bf15099e06c72925938a628
com.adobe.aem	core-forms-components-examples-reactor	0.0.10		N/A
com.adobe.aem	core-forms-components-examples-reactor	0.0.12		N/A
com.adobe.aem	core-forms-components-examples-reactor	0.0.14		N/A
com.adobe.aem	core-forms-components-examples-reactor	0.0.16		N/A
com.adobe.aem	core-forms-components-examples-reactor	0.0.18		N/A
com.adobe.aem	core-forms-components-examples-reactor	0.0.20		N/A
com.adobe.aem	core-forms-components-examples-reactor	0.0.22		N/A
com.adobe.aem	core-forms-components-examples-reactor	0.0.24		N/A
com.adobe.aem	core-forms-components-examples-reactor	0.0.6		N/A
com.adobe.aem	core-forms-components-examples-reactor	0.0.8		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.0		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.10		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.12		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.14		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.16		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.18		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.2		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.20		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.24		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.26		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.28		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.30		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.34		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.36		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.38		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.4		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.4-PRERELEASE-20211223		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.40		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.42		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.44		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.46		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.48		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.50		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.52		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.54		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.56		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.6		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.0.8		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.12		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.16		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.18		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.20		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.22		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.23-cb		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.23-cf		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.24		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.25-rtl		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.25-rtl-5		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.26		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.27-wcmB004		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.27-wcmB008		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.27-wcmB014		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.28		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.30		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.32		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.34		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.34-eds		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.36		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.36-eds		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.36-edsB002		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.38		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.39-enumB004		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.39-enumB010		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.39-enumB012		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.40		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.46		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.48		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.50		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.52		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.54		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.55-staticDataRefB002		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.56		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.58		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.6		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.60		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.62		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.64		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.66		N/A
com.adobe.aem	core-forms-components-examples-reactor	1.1.8		N/A
com.adobe.aem	core-forms-components-examples-reactor	2.0.10		N/A
