avalon	avalon-composition	1.0		d5ca3eccc560c3d94b18f3ab800df4c48f6a3709
be.cylab	java-roc	0.0.3		300cb19ff5fe9d0f1a8a211fdc399434e9b2ad28
be.cylab	java-roc	0.0.4		1bbf0b628290e0c86292fbc74ac7bffdff538fea
be.cylab	java-roc	0.0.5		8183fcde21232ff9274da3701f35d795aa850a9f
be.cylab	java-roc	0.0.6		7a2231ecb8865df8eed53160f948224ad00e0215
cn.vinsonws.tools	geoserver-connector	0.1-dev-202302080944		91d94b23379056fead36bbcb06f9ed0221f6d7f4
cn.vinsonws.tools	geoserver-connector	0.1-dev-20230215		d316aed2dc86e3e5a3689dde088d0a6d0c9fd920
cn.vinsonws.tools	geoserver-connector	0.1-dev-2023021511		f5f67296b54328919a62f3c87c033d9c73cf6275
cn.vinsonws.tools	geoserver-connector	0.1-dev-2023021711		c93aab4500312a22f262559d183bf41aa97b61d2
cn.vinsonws.tools	geoserver-connector	0.1-dev-2023021715		8da531156429d41a62be91480c3ab67a2a534986
cn.vinsonws.tools	geoserver-connector	0.1-dev-2023021717		a72bb481b0e875ada9170ca630c1b9373467c92f
cn.vinsonws.tools	geoserver-connector	0.1-dev-2023022310		1d856a4b4615dd1bf8728daa25278015abcae031
com.alesharik.spring	user-authentication-exceptions	1.1.0		aae0c481795ef5e78868cf45facabddb2eac11ff
com.bidstack.adapters	admob-adapter	1.1.0		N/A
com.bidstack.adapters	admob-adapter	1.2.1		N/A
com.bidstack.adapters	admob-adapter	1.3.0		N/A
com.bidstack.adapters	admob-adapter	1.5.0		N/A
com.bidstack.adapters	admob-adapter	1.5.1		N/A
com.bidstack.adapters	admob-adapter	1.7.0		N/A
com.bidstack.adapters	admob-adapter	1.8.0		N/A
com.bidstack.adapters	admob-adapter	2.0.0		N/A
com.bidstack.adapters	admob-adapter	2.2.0		N/A
com.bidstack.adapters	admob-adapter	2.3.0		N/A
com.bidstack.adapters	admob-adapter	2.4.0		N/A
com.bidstack.adapters	admob-adapter	2.5.0		N/A
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.2.0		b7b98d77d0bd27022e8d093d731b02b63fcc51a5
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.2.0	module	a25bf456977998a12b3c8abb50d8e00deaf9ccb0
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.2.0-Alpha5		c8bb21bbaa4a48833d86dfb5f6b3949ceaf89da3
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.2.0-Alpha6		1c2ac824e5043a4e2b06fa39a01575c27fcf1dd6
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.2.0-RC1		dfdecbaf49b84f59f71bce4111c5291467becdcd
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.2.0-RC1	module	28e6af5894e30049e73db1ba495f062cf57d33ac
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.2.1		036dbd7ce97146c9fd06f5e8e32d9df0daf8b018
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.2.1	module	0ecea8f0a712043c10b7282a06609127cf5a3432
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.3.0		c60e964b03e6dadc6feef6cfb60f9ec37c8197b5
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.3.0	module	d54751417c6c9acaafb55ebfdce804a4e90cb1dd
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.3.0-Alpha1		f3e590785bd47259289836208e745da305dd81aa
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.3.0-Alpha1	module	a35b505d8660728c99e5f6f92943b975e19d2130
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.3.0-Alpha2		ceb4eba9bf1ca1a5fc3f65992b1f18a3f4ccc09d
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.3.0-Alpha2	module	3414ea07c6f38e9a57c4a31932d0de67820b311f
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.3.0-Alpha3		e1c6b0dea6d9d9daa7f4058b54515456c61d3ebf
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.3.0-Alpha3	module	ad16f26077812d28b546f469fafbda0e474a5c94
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.3.1		be4cacf95f28ebdae7b92d213156991173da1d35
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.3.1	module	74a380c6c38232d21a3b6d546ce865d129d6b740
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.3.2		d70fa79b3a11838dd5858ecdc355d1f499a5bd01
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.3.2	module	a4bad4f0b9bc0def2d77286f6a1e336a5c989d74
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.4.0		8fea0b3c0a70681e352ac92203b4331d7b329552
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.4.0-Alpha1		14817ba71973fd9c341a1363775c8d25f0562731
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.4.0-Alpha1	module	312fdf5850436056f741b4dd5bab0466e0c90adf
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.4.0-Alpha2		d8c68ad7fda67bf94d5b0285593e0f12f54bd152
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.4.0-Alpha3		8f991ba0af3827db2e1eb0f7f76559897fcccb5a
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.4.0-Alpha4		3784cd8158a6a7d4e6145c0ea687ac2f7dd19b48
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.4.1		e4b2c37c94c2da939ae6125f64204cd53977f004
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.5.0		d41d7ae1873ccd92647842a7308d507038890315
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.5.0-Alpha1		ddce22b57e0b3c0af050dc9f39235701872fe5a5
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.5.0-Alpha2		159f387e8d46d761ef9dc4c4b175b492689209c1
com.blazebit	blaze-persistence-integration-deltaspike-data-rest-impl	1.5.0-Alpha3		9b528b8675b1cfb52d4acf87e21f3f929e8ea5e5
