ch.epfl.scala	scalafix-testkit_2.12	0.3.4		14d1b45860c91bebbd5865280a28529c037e32e2
cn.felord	wecom-common	1.2.0		00ece577747de6a406695d6fed50f82ad0806949
cn.felord	wecom-common	1.2.1		3b4e683f9bf1c267bfac64dd705d6be372c0e259
cn.felord	wecom-common	1.2.2		85e1d3ec60b256d434abee9cf3a6a59b227fe18f
cn.felord	wecom-common	1.2.3		00c292a40e650bfea7f139cb50f98f32e1575138
cn.felord	wecom-common	1.2.4		3c71cb9a3cc9ac843aed1b8458d01e1f3b0e0d30
cn.felord	wecom-common	1.2.5		3e3e16176019abe81eac43fcceb7159b92e44c28
cn.felord	wecom-common	1.2.6		258e9a49cd7c78f7b1af6302ec39b219bcd85751
cn.felord	wecom-common	1.2.6.RC		9952e569f90c79c7773c0bb752d68816b2f530b0
cn.felord	wecom-common	1.2.7		90777ed7711a9e74751c6387e90ef8a179c7433a
cn.felord	wecom-common	1.2.8		df917084d788584cf0185fca84ba87f3e7ed6c4b
cn.felord	wecom-common	1.2.9		63bceb5829c632f52c2fe9e41f4d96b97706b8bf
cn.felord	wecom-common	1.3.0		a0f7277145301ecb743759c336bafca6e31d0308
cn.felord	wecom-common	1.3.1		0802b0ff594bbae24495471ee5dfd1d3a6f277ae
cn.felord	wecom-common	1.3.2		134f7cbb7c3fe8d78b2e4bd4d4c050c8d23d3487
cn.felord	wecom-common	1.3.3		c8a0a4c75f9e1559da952c2a684ca8e799ac3b6e
co.wrisk.logback	logback-ext-aws-core	1.0.1-alpha.1		9f351e1de95cf539aeeb95c32a61b372162be72e
co.wrisk.logback	logback-ext-aws-core	1.0.3		757493a284baf37fb89e9f3c10ab94cf91436645
co.wrisk.logback	logback-ext-aws-core	1.0.9		a13859f8f0191125c6f0e921361a1924bf83cc1e
com.asialjim.microapplet	commons-crypt-core	1.0.0		4ffb188ef8cdd310a052c69f2800cba7220adb2a
com.asialjim.microapplet	commons-crypt-core	1.0.1		671535530d1537516e41fcbf4780da3de559bd2b
com.asialjim.microapplet	commons-crypt-core	1.0.2		f41a54253338e64f95c51af26af74170920032a0
com.asialjim.microapplet	commons-crypt-core	1.1.0		7b9aa426dcacd148b40a6ae1f64c684931fb0e73
com.athaydes.osgiaas	osgiaas-cli-ivy	0.6		902b8510603bf84df27ffc32db4c7de8bb661e2c
com.athaydes.osgiaas	osgiaas-cli-ivy	0.7		0e1700aeae0a1b0b7cfd762dce690c5782690d64
com.bacoder.jgit	org.eclipse.jgit	3.1.0-201308312337-r		48faf8baebd444457744ba7b1496c0c0f4aa45bd
com.bacoder.jgit	org.eclipse.jgit	3.1.0-201309071158-r		68fa4f40c5651b7082a4e6ac6a5c5ab6ec02f424
com.enioka.jqm	jqm-handlers	2.0.0		N/A
com.enioka.jqm	jqm-handlers	2.1.0		N/A
com.enioka.jqm	jqm-handlers	2.2.0		N/A
com.enioka.jqm	jqm-handlers	2.2.1		N/A
com.enioka.jqm	jqm-handlers	2.2.2		N/A
com.enioka.jqm	jqm-handlers	2.2.3		N/A
com.enioka.jqm	jqm-handlers	2.2.4		N/A
com.enioka.jqm	jqm-handlers	2.2.5		N/A
com.enioka.jqm	jqm-handlers	2.2.6		N/A
com.enioka.jqm	jqm-handlers	2.2.7		N/A
com.enioka.jqm	jqm-handlers	2.2.8		N/A
com.enioka.jqm	jqm-handlers	2.2.9		N/A
com.enioka.jqm	jqm-handlers	3.0.0		N/A
com.github.cowwoc.pouch	pouch-core	8.0		18ffda0956b8adb6101e3d68b98de09800440529
com.github.cowwoc.pouch	pouch-core	8.1		af5f5a6600c2619050bcd4e05470562ca2e0fb0b
com.github.crazyclownsola	recycler_container	1.0.3		4fcf745c20785463a5cbbe8556eb7703f23adc84
com.github.crazyclownsola	recycler_container	1.0.4		1e9ebc29a232685d6861c3f9f0c7517ea322ccfe
com.github.crazyclownsola	recycler_container	1.0.5		58022fafd8f045d0f40d1c7fe4a933c640741e51
com.github.crazyclownsola	recycler_container	1.0.6		40bd1b421973693ab0d9550f0adef1d734524c37
com.github.crazyclownsola	recycler_container	1.0.7		b61f2a99914477b5722c13262fcd008590ddc4ab
com.github.julien-truffaut	monocle-state_3	3.0.0-M6		c0fbb567da6ab607632e711c43e2b1c59c3b672d
com.grapecitysoft.documents	gcexcel-extension	7.2.2		d95e0b9f6c93c13fdbe34a34389dfc683c7d8512
com.grapecitysoft.documents	gcexcel-extension	7.2.3		619a17a15e44d8726026a1c90c9c3ea29fca72b8
com.grapecitysoft.documents	gcexcel-extension	7.2.4		4d95eb9004af5f33c5b5eb37eb32556d6970b6d9
com.grapecitysoft.documents	gcexcel-extension	7.2.5		621648e6a225e8673974b51cf0ee9adb7110b047
com.grapecitysoft.documents	gcexcel-extension	7.2.6		d0e9a1f478d58bed58a13aa42aacd409fcbc36b7
com.grapecitysoft.documents	gcexcel-extension	7.2.7		84a5a90b257715e9e0383bc9a253c5ab944bdec0
com.grapecitysoft.documents	gcexcel-extension	7.2.8		35f8ce022aac12e72f199b0d3477d4047260e205
com.grapecitysoft.documents	gcexcel-extension	8.0.4		f11f2caf1e0529622f24e27daf5a088bd8e39007
com.grapecitysoft.documents	gcexcel-extension	8.0.4.1		63f943ed489ee6c56e51222f659a5cd31403729a
com.grapecitysoft.documents	gcexcel-extension	8.0.5		62140d1753842f35eb48db5b0ab5bab9c74fa4c1
com.inkapplications.kimchi	analytics-androidnativex64	2.1.0		N/A
com.inkapplications.kimchi	analytics-androidnativex64	2.1.1		N/A
com.inkapplications.kimchi	analytics-androidnativex64	2.1.2		N/A
com.inkapplications.kimchi	analytics-androidnativex64	2.2.0		N/A
com.inkapplications.ui	structures	0.1.0		d67738b3effe08b4bbc32c942b46e423f221c071
com.inkapplications.ui	structures	0.10.0		fa2c437f1097666e460dc4b8e48572d377b36b88
com.inkapplications.ui	structures	0.11.0		f8222803cfeae25d73959a01e8a2a12f758b8a63
com.inkapplications.ui	structures	0.12.0		76e2160c12c5eab3648677d3ab7227651fa833ad
com.inkapplications.ui	structures	0.13.0		26defbdd286e550dcbe4f3c59f16b3d517946fd1
com.inkapplications.ui	structures	0.13.2		26defbdd286e550dcbe4f3c59f16b3d517946fd1
com.inkapplications.ui	structures	0.13.3		26defbdd286e550dcbe4f3c59f16b3d517946fd1
com.inkapplications.ui	structures	0.14.0		9a164db487618eff3463545baa991bf921c41c7a
com.inkapplications.ui	structures	0.2.0		b341f4b6de4eed3dd7d65b27c9ef5509fe80f2aa
com.inkapplications.ui	structures	0.3.1		692ce9b774e5ef05aaf40fa3717b889df8131319
com.inkapplications.ui	structures	0.3.3		00b83b4ecea2f6d90b5019233f2b3ea825ac190d
com.inkapplications.ui	structures	0.4.6		8b7ccfbfac6839e3da7d05c71fcfa37f76d5e84b
com.inkapplications.ui	structures	0.4.7		8b7ccfbfac6839e3da7d05c71fcfa37f76d5e84b
com.inkapplications.ui	structures	0.4.8		8b7ccfbfac6839e3da7d05c71fcfa37f76d5e84b
com.inkapplications.ui	structures	0.5.0		7e11f3a907bc1c9c4023881782717f33a5925c95
com.inkapplications.ui	structures	0.6.0		a9317bd82b798e783a1c6a6414d540c35e25e01b
com.inkapplications.ui	structures	0.8.1		4616cf0ae5b7447516fb23c861f57660775f38d7
com.inkapplications.ui	structures	0.9.0		4616cf0ae5b7447516fb23c861f57660775f38d7
com.inkapplications.ui	structures	0.9.1		dcf909bf820dfc63edbad2841cb90a177855f42e
com.inkapplications.ui	structures	1.0.0		9a164db487618eff3463545baa991bf921c41c7a
com.inkapplications.ui	structures	1.1.0		c242e97a0c2e228f37e2b4445300fa3b0c4a1f58
com.jakewharton.cite	cite-api-jvm	0.5.0		86fd13535ca5bcfb2362b7d71c246429d46fe2ac
com.jakewharton.cite	cite-api-jvm	0.6.0		86fd13535ca5bcfb2362b7d71c246429d46fe2ac
com.jakewharton.cite	cite-api-jvm	0.6.1		0733951aebc9a38d879b54c45bd70aaa38275b2c
com.lihaoyi	os-lib_3.0.0-M2	0.7.1		82e2517402a73236edc33ba4406416fd7342b531
com.oracle.bedrock.coherence	3.7.1	4.0.0		N/A
com.oracle.bedrock.coherence	3.7.1	4.1.0		N/A
com.oracle.bedrock.coherence	3.7.1	4.2.0		N/A
com.oracle.bedrock.coherence	3.7.1	4.3.0		N/A
com.oracle.bedrock.coherence	3.7.1	4.4.0		N/A
com.oracle.bedrock.coherence	3.7.1	4.5.0		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.10		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.11		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.13		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.14		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.15		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.16		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.18		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.19		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.2		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.20		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.4		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.5		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.6		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.7		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.8		N/A
com.oracle.bedrock.coherence	3.7.1	5.0.9		N/A
com.oracle.bedrock.coherence	3.7.1	5.1.1		N/A
com.oracle.bedrock.coherence	3.7.1	5.1.2		N/A
com.oracle.bedrock.coherence	3.7.1	5.1.3		N/A
com.oracle.bedrock.coherence	3.7.1	5.1.5		N/A
com.oracle.bedrock.coherence	3.7.1	5.1.6		N/A
com.oracle.bedrock.coherence	3.7.1	5.1.7		N/A
com.oracle.bedrock.coherence	3.7.1	5.1.9		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.0		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.0-RC1		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.0-RC2		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.0-RC3		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.0-RC4		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.0-RC5		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.0-RC6		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.1		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.2		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.3		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.4		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.5		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.6		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.7		N/A
com.oracle.bedrock.coherence	3.7.1	6.0.8		N/A
com.oracle.bedrock.coherence	3.7.1	7.0.0		N/A
com.oracle.bedrock.coherence	3.7.1	7.0.1		N/A
com.oracle.bedrock.coherence	3.7.1	7.0.2		N/A
com.oracle.bedrock.coherence	3.7.1	7.0.3		N/A
com.oracle.bedrock.coherence	3.7.1	7.0.4		N/A
com.oracle.bedrock.coherence	3.7.1	7.0.5		N/A
com.oracle.bedrock.coherence	3.7.1	7.0.6		N/A
com.power4j.kit	screw	1.0.7		N/A
com.ritense.valtimo	connector	10.0.0.RELEASE		N/A
com.ritense.valtimo	connector	10.0.0.RELEASE	plain	9a8a410c99f7d047aa4dc586fd369696749cb51f
com.ritense.valtimo	connector	10.1.0.RELEASE		N/A
com.ritense.valtimo	connector	10.1.0.RELEASE	plain	1f01175adadd08fd9dcaa298237c52ba6e6caf6f
com.ritense.valtimo	connector	10.2.0.RELEASE		N/A
com.ritense.valtimo	connector	10.2.0.RELEASE	plain	b5ab3ab6acb1217f27043351abd3e84c7dea2de6
com.ritense.valtimo	connector	10.3.0.RELEASE		N/A
com.ritense.valtimo	connector	10.3.0.RELEASE	plain	a6115e2e4466838efd95bdacd62926fddfa801f7
com.ritense.valtimo	connector	10.4.0.RELEASE		N/A
com.ritense.valtimo	connector	10.4.0.RELEASE	plain	eb8e41642c341dff2810227cf7c4d905634103a7
com.ritense.valtimo	connector	10.4.1.RELEASE		N/A
com.ritense.valtimo	connector	10.4.1.RELEASE	plain	2591836f44ae803ee509a27fb71bdef55ba2a27f
com.ritense.valtimo	connector	10.5.0.RELEASE		N/A
com.ritense.valtimo	connector	10.5.0.RELEASE	plain	88f8f1a84ae264cee7a1e2396b935eddd41666db
com.ritense.valtimo	connector	10.5.1.RELEASE		N/A
com.ritense.valtimo	connector	10.5.1.RELEASE	plain	5e80555fc747e9ab51dc039c71e6f7474737b414
com.ritense.valtimo	connector	10.5.2.RELEASE		N/A
com.ritense.valtimo	connector	10.5.2.RELEASE	plain	6d136e8cc94dea4d9a1acacce58577df1558da9f
com.ritense.valtimo	connector	10.5.3.RELEASE		N/A
com.ritense.valtimo	connector	10.5.3.RELEASE	plain	bec338cfb77ca4c380a982a85dbff1c232ca2ba6
com.ritense.valtimo	connector	10.6.0.RELEASE		N/A
com.ritense.valtimo	connector	10.6.0.RELEASE	plain	46a1000e4d699154fe689599cae7723e828d3f9b
com.ritense.valtimo	connector	10.7.0.RELEASE		N/A
com.ritense.valtimo	connector	10.7.0.RELEASE	plain	15e92a4bb06209a8b66b32b11aba5eae2f9a3b20
com.ritense.valtimo	connector	10.8.0.RELEASE		N/A
com.ritense.valtimo	connector	10.8.0.RELEASE	plain	50bbba7fdc66960098aa2dddfc24d0adf5b35bc8
com.ritense.valtimo	connector	10.8.2.RELEASE		N/A
com.ritense.valtimo	connector	10.8.2.RELEASE	plain	32cfc13da7c3ee03923edc77aa36069e0994ee47
com.ritense.valtimo	connector	10.8.3.RELEASE		N/A
com.ritense.valtimo	connector	10.8.3.RELEASE	plain	5a408cf5c1cecd9b9ed96153aba8143d94f9e0aa
com.ritense.valtimo	connector	10.8.4.RELEASE		N/A
com.ritense.valtimo	connector	10.8.4.RELEASE	plain	0250ce69d974e4bd83b7afa205de04a50c9a11b3
com.ritense.valtimo	connector	10.8.5.RELEASE		N/A
com.ritense.valtimo	connector	10.8.5.RELEASE	plain	e193ec0900aa0454a594a014aa6256749c9df029
com.ritense.valtimo	connector	11.0.0.RELEASE		N/A
com.ritense.valtimo	connector	11.0.0.RELEASE	plain	43237be0171bfad256ee48bedc309e577f154af7
com.ritense.valtimo	connector	11.1.0.RELEASE		N/A
com.ritense.valtimo	connector	11.1.0.RELEASE	plain	2a6e108ae9b0603a7b0a0fd913f97200b2fe87f6
com.ritense.valtimo	connector	11.1.1.RELEASE		N/A
com.ritense.valtimo	connector	11.1.1.RELEASE	plain	a854e1f33c6068da5e3df2fbd2da6975f6e4464e
com.ritense.valtimo	connector	11.1.2.RELEASE		N/A
com.ritense.valtimo	connector	11.1.2.RELEASE	plain	c5aae8a9c963de6da2098f7c47fa0d1a4b5e9fdf
com.ritense.valtimo	connector	11.1.4.RELEASE		N/A
com.ritense.valtimo	connector	11.1.4.RELEASE	plain	8e1bd1b7e1072ba6d52d0ecc42a4e68dc919595a
com.ritense.valtimo	connector	11.1.5.RELEASE		N/A
