ca.gosyer	voyager-core-js	1.0.0-rc08		N/A
ch.poole	PoParser	0.8.0		515698cd7aa343053869e3758eb79b5f531903cc
cn.loyom.boot	loyom-boot-plugin-sms-tencent	1.0.0-JDK21		b82f792660b84c24967b216a3dadfd30abdd9159
cn.loyom.boot	loyom-boot-plugin-sms-tencent	1.0.0-JDK21	jdk21	b82f792660b84c24967b216a3dadfd30abdd9159
cn.loyom.boot	loyom-boot-plugin-sms-tencent	1.0.1-JDK21		49ed41bc0ddd020d9b36a9c13761b67ef47d5e78
cn.loyom.boot	loyom-boot-plugin-sms-tencent	1.0.1-JDK21	jdk21	49ed41bc0ddd020d9b36a9c13761b67ef47d5e78
cn.loyom.boot	loyom-boot-plugin-sms-tencent	1.0.3-JDK21		fee894a2896249cf727151405754b91575f03823
cn.loyom.boot	loyom-boot-plugin-sms-tencent	1.0.3-JDK21	jdk21	fee894a2896249cf727151405754b91575f03823
com.47deg	classy-config-shocon_sjs0.6_2.12	0.4.0		6245c828d94c84e8472a50bf7e938c0b7a4c181d
com.agileandmore	com.agileandmore.slsruntime	1.0		5638ef8ce6ea732af7aeacc171b1b21bb2a7a56a
com.appscode.voyager	client-java-api	0.1.0		13977a372ec3c92303b065a7b2ac5fd97b87c65a
com.baremetalcloud	bashscript	0.1		96ec9810097da5a205b178acbf78e5dafca52743
com.cognifide.aet	jobs-api	2.0.0		d7e390737a0be589ddf297f4339027db4364e3da
com.cognifide.aet	jobs-api	2.0.0-rc2		901b750d4d3448878cb01998a32d3cf1da8e3c5b
com.cognifide.aet	jobs-api	2.0.1		4a30b306ef5d0c4b0df9585a9c8634b32b100178
com.cognifide.aet	jobs-api	2.0.2		b3ed826537cc4a0423d39de79b65454ae5288cb4
com.cognifide.aet	jobs-api	2.0.3-rc1		d7ef9f0525bff2e3b677e9353b1289ea16fd2934
com.cognifide.aet	jobs-api	2.1.0		9b6226c54da617f9bf70a66969ef268d768bd6fb
com.cognifide.aet	jobs-api	2.1.1		931ae6b185102ab38fc668fcf7e5c2933c4ef491
com.cognifide.aet	jobs-api	2.1.2		6c0653a2f307e8332767759dc2cd069f323b74de
com.cognifide.aet	jobs-api	2.1.3		8c9b4f5a402f04856f07793847bf1f88791b45d6
com.cognifide.aet	jobs-api	2.1.4		124e1cd95a088baee949e9b6401932e9d0dc6916
com.cognifide.aet	jobs-api	2.1.5		a028d647bea53b07efb970ffaa13c44bc69d5c02
com.cognifide.aet	jobs-api	2.1.6		8793dcc85e1a9c31657a77ff74984b02f3641f49
com.cognifide.aet	jobs-api	3.0.0		3124fd3950f919525d640c5652f712cb01a80ec0
com.cognifide.aet	jobs-api	3.0.1		a524b1307ed4a2b5760cebe98e224a311ba6989a
com.cognifide.aet	jobs-api	3.1.0		8590b68c03ff75d38fb045e9a3e55cc7f95afa3f
com.cognifide.aet	jobs-api	3.2.0		f9a9081194469ab16882bd385b6248568b8261ba
com.cognifide.aet	jobs-api	3.2.1		c4e47199e7aa8a9b8ec6f4650b014db0262bdc83
com.cognifide.aet	jobs-api	3.2.2		c9f3a8b7a8a4c7a8be003a46abe88d4e6a97e465
com.day.jcr.vault	content-package-maven-plugin-it	0.0.20		c16aae781935f76ba17f7ed1b65ca45ed46861b2
com.day.jcr.vault	content-package-maven-plugin-it	0.0.21		9a2d3e3fd61e9a9952e0b7e0db66563a3b24f257
com.day.jcr.vault	content-package-maven-plugin-it	0.0.22		423aac63319c0a56c686b49b0d44f78c184c2a56
com.day.jcr.vault	content-package-maven-plugin-it	0.0.23		2aea50cd7169d636fadf271f378c03629e0a8ffc
com.day.jcr.vault	content-package-maven-plugin-it	0.0.24		b9a08ad17df903de3be6f0cfe4ec7c53557038d1
com.day.jcr.vault	content-package-maven-plugin-it	0.5.1		b00cb9b167fd6b62dfd4a5ce9f66132b29c2e172
com.digitalpetri.fsm	strict-machine	0.1		cdc5386c1bdbe2744e6a71589bfcb06693eda9de
com.digitalpetri.fsm	strict-machine	0.2		2960674392e324cc6303d0b7d29a9c413b3034ef
com.digitalpetri.fsm	strict-machine	0.3		9a6a7e7a4238b1bfaeef444163661026f6c69aec
com.digitalpetri.fsm	strict-machine	0.4		1be18a296da94aeefb24d639f93e890672f86071
com.digitalpetri.fsm	strict-machine	0.5		9b4400084e111a3a12b2c18b022698e5c4cf81a9
com.digitalpetri.fsm	strict-machine	0.6		e92bb4861d3f26156d33819f2eeaec45679947db
com.digitalpetri.fsm	strict-machine	0.7		92522b35acf3c8c6a14cd57d42b34992432661dd
com.digitalpetri.fsm	strict-machine	1.0.0		09cba51e8e2cc204865e59464031d78f7645dead
com.digitalpetri.fsm	strict-machine	1.0.0-RC1		5d83050f12f03c63c429db3ac73597c66900f3cc
com.digitalpetri.fsm	strict-machine	1.0.0-RC2		7a1a4938d9ea76525df0e262aa3dc4f9a20e2344
com.github.casterkkk	core	0.0.1		b8fec6ad5aff75d5074dd695fcc2a0efda2395f3
com.github.fartherp	framework-database	1.1.8		1a649b9a59bc8b09ca589b955fe9cdab89dc1111
com.github.fartherp	framework-database	1.1.9		b5914489d0675331bde391ee720d59a71e89c6e7
com.github.fartherp	framework-database	1.2.0		d17f29046153ddb75ddd9762cc5379fc156434df
com.github.fartherp	framework-database	1.2.1		3cf454e93265dd91e86d316fe03dce8aa0fab225
com.github.fartherp	framework-database	1.2.2		5770ccf7cd5328c6578e0db68c9e2fd918d404d0
com.github.fartherp	framework-database	2.0.1		3877796d3fb79e1297e0a0548582b553b40ff790
com.github.fartherp	framework-database	2.0.2		c520ad1e05ff5667233a4a2bea55cc9fb8f72978
com.github.fartherp	framework-database	2.0.3		fd2933f6187f586561f9731176568f56b4e70b5e
com.github.fartherp	framework-database	2.0.4		870e0a5923df056f6dbdcd0c2e58d5579824c3d9
com.github.fartherp	framework-database	3.0.0		6298955ca5f44db56c3b8d8e5d95db4008001176
com.github.fartherp	framework-database	3.0.1		5152caee5b950a76501a8c1f1c8f5558b7d4ffb3
com.github.fartherp	framework-database	3.0.2		b327ad1bcdebe6647875b7f95870fce04bc95dcb
com.github.fartherp	framework-database	3.0.4		7fd319f79d10bf968b68215fb2b7a7401425fe41
com.github.fartherp	framework-database	3.0.5		5c69c44123b4b473ef25109c7c2c49df1b360be4
