ae.teletronics	godfather	0.9		N/A
au.com.equiem	akka-guice-core_2.11	1.0.0		206d7d83c7140c9296fb08faa592ef8075bff304
au.com.equiem	akka-guice-core_2.11	1.1.0		3de5e8a37bc38362f09bd0a710bc190a1fa48830
ch.epfl.lamp	dotty-language-server_0.22	0.22.0		e56b0793a385485330371f8025892f8df26dfa91
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-RC1		c5d1ff76c0d0ecaf63c0cc4e3ab81ec397a9c063
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20191218-35fbb34-NIGHTLY		9c0df6e86821f3af1d052847c8d212e95051e38c
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20191219-394217e-NIGHTLY		ec59d130e7813a35ba6d84afbf1b0d13d6f50562
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20191220-d45fea0-NIGHTLY		60e4b4ef7c87b705a3b22f8ee10f61251739521a
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20191222-77ec689-NIGHTLY		ad0bce366ff75e7fed1fa7890d4baa5e945a529c
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20191225-2e3fbfd-NIGHTLY		ef96ab104f46933ae6a786852a942d2664de76ae
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20191229-59152e9-NIGHTLY		2aa0f19e704ca2b0611c5cda6456035f9315faea
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20191231-54a54d2-NIGHTLY		66478825fed868ad68a02c7964854c109e83a01e
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200101-283b095-NIGHTLY		c586ac886cee7c9aab1cc19fdd736e13200767f6
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200104-4b6d693-NIGHTLY		a3560af67f1cb15e678e919974ab4f1c0d429ee4
ch.epfl.lamp	dotty-language-server_0.22	0.22.0-bin-20200105-255a538-NIGHTLY		42d27cf3aaa1eaddfffe911fc0e01b5b2daab4a9
