com.aiuta	fashionsdk-configuration-defaults-images-android	4.1.0		N/A
com.alibaba.fluss	fluss-lakehouse-cli	0.5.0		355269b50f6fc7fe0e6e1526c6b38d13c3f87315
com.alibaba.fluss	fluss-lakehouse-cli	0.6.0		50e6c46ce14764b80a922f8c818dab4ec7ad4767
com.applitools	eyes-appium-helper	1.9.3		N/A
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.1.0		4294b83b9b8e21bbe8a32c34a88186078f056b14
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.10.0		c075db2a3301100cf70c7dced8ecf86b494458a2
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.11.0		87b174fa6e20a84e7005ca836c4895ab04e628d5
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.12.0		987f77814b92a25dc08232e77f288dd14b951134
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.12.1		f9523a11c66602e06308d808f9bc15963207cb24
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.13.0		c3a5ba4217cacc7833c697e5081da42ae996655f
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.13.1		3dc5353dea43b7453d9e5fddbf4878682c97b00c
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.14.0		0bb1a3929d1caea0b88eb42effadb1e73e2b3ede
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.15.0		53ca513a2aaa88d4078b866307ac22e9fad46ecc
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.15.1		24b7afbd016f34b78f9e630efc5a95fca4bf7c24
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.15.2		6de67dbe59efb1b9a6085004f8d2c20d61a6f524
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.16.1		4dd8addb7e9864d84b11045d7454300f498e22bf
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.17.0		e6a52bc01e46438062ab8276927ebf2860bc8d1a
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.2.0		b9a999c60310bce8f05513df7beb834cff0e900f
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.3.0		a9b3113737b67e205253f733456ff0e856fec4c7
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.3.1		8f455f86d5fe44ab0423d4b7d7a6db3c59ba9c2c
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.3.2		777a67c1830f08a0e336c2ca5011dfd99ad2ae94
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.4.0		954f725bcbebfe257c4957b95b6aae17e7ee2a01
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.4.1		7f7a0a1611d04a3ef13e27578934c6524516e45b
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.5.0		082b177b9c886f4cad2c60374783081b04135528
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.5.1		5cdc350f7e498458e5ed6751771c5e8c3efc107e
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.6.0		ae1c701517e8116bc205b561b9b215a53df8abc7
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.7.0		6b1540976b142a821f844e2a3e6bb8c6a7e87bd6
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.7.1		06d4cfa6863a49e0a42662aa736eedeb8cd61fee
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.8.0		5c95d5e7181eeb4b772cfcd23d75d5c7f4c9fd90
com.atlassian.commonmark	commonmark-ext-gfm-tables	0.9.0		4c8a93ef905ef8fc35d6379965641a980d67e304
com.beastwall	localisation	1.0.0		4ffde9a40ef18a699d9b0d375a59f1158a535b79
com.beastwall	localisation	1.0.1		4bc88f99180a70c39842a785ff10fa6c5bc30cb4
com.beastwall	localisation	1.0.2		db5bbb2cabf83efb4c2c2cca5a35aef311203114
com.beastwall	localisation	1.0.3		dc7bbf7499513e6c52ba1cc4d8f423e8b715933b
com.beastwall	localisation	1.0.4		e78e8ae0623a793e55dde963c6225cc793f3ef14
com.beastwall	localisation	1.0.5		014278dbfa6614fe6cdfa24863426bef439cab4d
com.chinagoods.framework.thinkcloud.quickstart	think-cloud-quickstart-manager-provider	3.1.0.RELEASE		0926f6e103771d62e04f5adb69bb33d403b4e925
com.codenameone	data-access-javascript	1.0		0c305b9d76dac6addff29a614073a3f7f99b8213
com.codenameone	data-access-javascript	1.0.1		8c9913f8365d71e4002b4743b75dd719262603f0
com.credibledoc	log-combiner-parent	1.0.1		N/A
com.credibledoc	log-combiner-parent	1.0.10		N/A
com.credibledoc	log-combiner-parent	1.0.11		N/A
com.credibledoc	log-combiner-parent	1.0.12		N/A
com.credibledoc	log-combiner-parent	1.0.13		N/A
com.credibledoc	log-combiner-parent	1.0.14		N/A
com.credibledoc	log-combiner-parent	1.0.15		N/A
com.credibledoc	log-combiner-parent	1.0.16		N/A
com.credibledoc	log-combiner-parent	1.0.17		N/A
com.credibledoc	log-combiner-parent	1.0.18		N/A
com.credibledoc	log-combiner-parent	1.0.19		N/A
com.credibledoc	log-combiner-parent	1.0.20		N/A
com.credibledoc	log-combiner-parent	1.0.21		N/A
com.credibledoc	log-combiner-parent	1.0.22		N/A
com.credibledoc	log-combiner-parent	1.0.23		N/A
com.credibledoc	log-combiner-parent	1.0.24		N/A
com.credibledoc	log-combiner-parent	1.0.25		N/A
com.credibledoc	log-combiner-parent	1.0.26		N/A
com.credibledoc	log-combiner-parent	1.0.27		N/A
com.credibledoc	log-combiner-parent	1.0.28		N/A
com.credibledoc	log-combiner-parent	1.0.29		N/A
com.credibledoc	log-combiner-parent	1.0.3		N/A
com.credibledoc	log-combiner-parent	1.0.30		N/A
com.credibledoc	log-combiner-parent	1.0.31		N/A
com.credibledoc	log-combiner-parent	1.0.32		N/A
com.credibledoc	log-combiner-parent	1.0.33		N/A
com.credibledoc	log-combiner-parent	1.0.34		N/A
com.credibledoc	log-combiner-parent	1.0.35		N/A
com.credibledoc	log-combiner-parent	1.0.36		N/A
com.credibledoc	log-combiner-parent	1.0.37		N/A
com.credibledoc	log-combiner-parent	1.0.38		N/A
com.credibledoc	log-combiner-parent	1.0.39		N/A
com.credibledoc	log-combiner-parent	1.0.4		N/A
com.credibledoc	log-combiner-parent	1.0.40		N/A
com.credibledoc	log-combiner-parent	1.0.41		N/A
com.credibledoc	log-combiner-parent	1.0.42		N/A
com.credibledoc	log-combiner-parent	1.0.43		N/A
com.credibledoc	log-combiner-parent	1.0.44		N/A
com.credibledoc	log-combiner-parent	1.0.45		N/A
com.credibledoc	log-combiner-parent	1.0.46		N/A
com.credibledoc	log-combiner-parent	1.0.47		N/A
com.credibledoc	log-combiner-parent	1.0.48		N/A
com.credibledoc	log-combiner-parent	1.0.49		N/A
com.credibledoc	log-combiner-parent	1.0.5		N/A
com.credibledoc	log-combiner-parent	1.0.50		N/A
com.credibledoc	log-combiner-parent	1.0.51		N/A
com.credibledoc	log-combiner-parent	1.0.6		N/A
com.credibledoc	log-combiner-parent	1.0.7		N/A
com.credibledoc	log-combiner-parent	1.0.8		N/A
com.credibledoc	log-combiner-parent	1.0.9		N/A
com.databricks	sjsonnet_native0.5_3	0.5.0		ac8f99bad89cc02b973c9d26e45e50b3b32c05d0
com.facebook.presto	presto-thrift-api	0.240		cacc20ec7d06c98a53971dcecbca74659ae51b54
com.facebook.presto	presto-thrift-api	0.240.1		caad4c470918d1e041a2e2c7947d46c3d54d2751
com.facebook.presto	presto-thrift-api	0.241		27395c663543e078e04b03bf4cc0b326d4924fcf
com.facebook.presto	presto-thrift-api	0.242		227912f2461f03da70b5e56aeecdac9fd0296a01
com.facebook.presto	presto-thrift-api	0.242.1		4a1c3397e62dffcfa74500c5a91af89e3cf58079
com.facebook.presto	presto-thrift-api	0.243		3cdd160c392669dae238bf5384eb0e51479d8d01
com.facebook.presto	presto-thrift-api	0.243.1		fff87c12894816bcfee4dffbdebbb163d9ba4bcc
com.facebook.presto	presto-thrift-api	0.243.2		58355ed3823704dca5d2ca1deac24950a44126ce
com.facebook.presto	presto-thrift-api	0.243.3		98b10b79f6d926a8ac4cac13685abeee57969c2a
com.facebook.presto	presto-thrift-api	0.243.4		300359844ef41b55fbcdee02e7b2188f1249c60a
com.facebook.presto	presto-thrift-api	0.244		12e47b4e35dbcf1df5ef29c77ac675ea3ff1f788
com.facebook.presto	presto-thrift-api	0.244.1		fcd5ced34b6d8afdd0a6632221e41ee300a17909
com.facebook.presto	presto-thrift-api	0.245		048f35c975e2408944acb18fdf0a8d597a06bdc0
com.facebook.presto	presto-thrift-api	0.245.1		6fe711abf986628c9c42e8ce384dc656199f9251
com.facebook.presto	presto-thrift-api	0.246		bf7673847c89ec0142805c351687c074b77a3cd6
com.facebook.presto	presto-thrift-api	0.247		14a137aa47c591e753b27c9ba1df21aea459f7f5
com.facebook.presto	presto-thrift-api	0.248		427dde6b8ac4ae19fd738232700241f4fe7a6424
com.facebook.presto	presto-thrift-api	0.248.1		416373ee2cd321b72a63e46a8c048854524900b9
com.facebook.presto	presto-thrift-api	0.249		14417742504807c15559da89e1a4c8df50486ec7
com.facebook.presto	presto-thrift-api	0.249.1		b0fd25295b77cea186680da3006d268d3007e600
com.facebook.presto	presto-thrift-api	0.250		93bcbef3fd5bcf54df88c386f651fdfd6fbf46c8
