avalon-apps	avalon-apps-hsql	0.1		f253c9debc737dcecb7a325879f525d00edc331e
com.gluonhq	charm-down-plugin-connectivity	3.6.0		7461662d3c33ccc8cd197ce7372bbda613a89a56
com.gluonhq	charm-down-plugin-connectivity	3.7.0		d7103939237a3b6558528d58ed0c13e5485f71da
com.gluonhq	charm-down-plugin-connectivity	3.7.1		47896d01ae65c8d1389569c5539862ea1d1cedf7
com.gluonhq	charm-down-plugin-connectivity	3.7.2		f142dbc290223876821b443156e64e8dd5ffa162
com.gluonhq	charm-down-plugin-connectivity	3.8.0		470025422fccd5eeca8bf5da368a5231078868b4
com.gluonhq	charm-down-plugin-connectivity	3.8.1		e15ee9c19526c87732c1d809ab6de2eadbf99ec5
com.gluonhq	charm-down-plugin-connectivity	3.8.2		ef8beb4933896d783cfac6c9f880aea2be341b9c
com.gluonhq	charm-down-plugin-connectivity	3.8.3		8c6a9372de5e29be52e73f103fc94702a8ad1061
com.gluonhq	charm-down-plugin-connectivity	3.8.4		4b7524897a322ac06e49eec5ee085148c9e3bb22
com.gluonhq	charm-down-plugin-connectivity	3.8.5		6e65c24a0f07a4041e13105fe1316455c8507784
com.gluonhq	charm-down-plugin-connectivity	3.8.6		bfd721988623053a2940fbf4988ad1e1b749bf9b
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.0.0_0.12.0		fbc64040c62ba1b48198d9f5585a8dcc4dcd6ed7
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.0.0_0.14.0		78e4edfaa44cf2a37cffb2d9289f68279b3cb7b3
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.0.1_0.12.0		961c2b7ecc7678eaf2ab9dfcd21ec5225c142fb4
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.0.1_0.14.0		cf0f0684511c8758faf58f8f33603ac88c24cdde
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.0.2_0.12.0		3e90c6bb198274a2262b3c57c1dad9e05cb61e89
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.0.2_0.14.0		790e92f01f2076cbf451aa87d315272d8836ac3e
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.1.0_0.12.0		bfdbca98eb5cf4579c5a52e47d102c121a95d3d3
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.1.0_0.14.0		e081f857696625dd2ed2ecccd5c2414bf8b83cec
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.1.1_0.12.0		baaa339d69c63232e1a0e8c4726d8639237df7ce
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.1.1_0.14.0		8b0478bb8db322be62b5c07172d0832caf6600b5
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.1.2_0.12.0		1bc9dc3e720eadcebd0272506c55607212234425
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.1.2_0.14.0		76a25d7d88c4395ea299d6d61e6f7d3d8080ba27
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.1.3_0.12.0		3b7880b442f82e338a07d2a1e3bd7810107a3cba
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.1.3_0.14.0		81bee98a16d9722bc0b0a50d383527eed6c8e0e3
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.2.0_0.12.0		aa7c8ef90753f299dee1d381d5b20c229d3c8d39
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.2.0_0.14.0		73ab9f5678b93f101d62386cf9f73f914be22706
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.2.1_0.12.0		7e840f0e16ae140e58ea9d8fcb93f171fb037316
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.2.1_0.14.0		c2a96d27f3249666530bde8efe27b36d7967c551
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.2.2_0.12.0		082faa3cff15a739ebcb78992728ed68a2998da2
