ch.cern.spark	spark-streaming-kafka-0-10-assembly_2.12	3.0.1		269871127cc313ba629473b5ad9a752038cd5ae3
ch.timo-schmid	slf4s-api_2.13	1.7.20		f9d9ca583377c42e6149ca42b4cf10b2c8bb477c
ch.timo-schmid	slf4s-api_2.13	1.7.21		9c5ae3d58e313afddf0733fb42c4061bd4383b58
ch.timo-schmid	slf4s-api_2.13	1.7.22		04c8467e0ea664c4741bf09b6abe8dfc2a53cf53
ch.timo-schmid	slf4s-api_2.13	1.7.23		efbbcaa3c431a1a9849b7b0b8437e04e9a2a0727
ch.timo-schmid	slf4s-api_2.13	1.7.24		6d61167eb96c3b7d26efc0c2c0dc4796d2a22360
ch.timo-schmid	slf4s-api_2.13	1.7.25		76ec3ef3667df0e186dae603259ae6653f224bd0
ch.timo-schmid	slf4s-api_2.13	1.7.26		b15679ca942a5a6f5d9f0eb57fc31fcbef8153ca
ch.timo-schmid	slf4s-api_2.13	1.7.27		ae33d57becc307d47f55a51812b99d38b54adf4e
ch.timo-schmid	slf4s-api_2.13	1.7.28		faed12cfa480eeb9ab7cb2bad7d59be85c1e9a13
ch.timo-schmid	slf4s-api_2.13	1.7.29		1c435ee9a32051621160d7cfb0c6fcbd10b903b6
ch.timo-schmid	slf4s-api_2.13	1.7.30		6c833e157e963c0c499b662a9d048d184990a726
ch.timo-schmid	slf4s-api_2.13	1.7.30.1		7268e2683ec1cdd87be9010ac2998b2f02b1cd36
ch.timo-schmid	slf4s-api_2.13	1.7.30.2		37b595185b4eb723b3c6a87be5a9b038fa4283c0
cn.hutool	hutool-all	4.0.0		abef553948ff9a7e83fdb4a69f1c07c280c4fbe4
cn.hutool	hutool-all	4.0.1		f5155ec301ea72639c86061b69e0c9e046b50573
cn.hutool	hutool-all	4.0.10		7819452cb190c2c22c7932daa7e857f682c014ad
cn.hutool	hutool-all	4.0.11		04dd55a4d1728f61c5ba0e909531f6ace0e15462
cn.hutool	hutool-all	4.0.12		6ebc2950ac13713a5f219801a356c3e065f59d91
cn.hutool	hutool-all	4.0.2		fb3cf6627311546049f793d082318b616d0e9286
cn.hutool	hutool-all	4.0.3		e3c4d40796cf87902e4deec629622b6776deae7a
cn.hutool	hutool-all	4.0.4		cd890efe8abc7d6d6bc23595b5f3a84cb1139eb9
cn.hutool	hutool-all	4.0.5		e89fcf2aa7215276ec1b47ee8a526938702703d0
cn.hutool	hutool-all	4.0.6		bd227585220ee5348ab8152e89c7bc8ac95a36d9
cn.hutool	hutool-all	4.0.7		dc5db4ae3e27c630c9b8ac0f73cf5afac22da782
cn.hutool	hutool-all	4.0.8		c6643fea69a9ee86811138eb78dbb7bbf59b85c3
cn.hutool	hutool-all	4.0.9		8d920d07dadfdef5a10a206abc9ffc3d0d47bbb1
cn.hutool	hutool-all	4.1.0		ef91043faa804cee09554c723392debb666dc573
cn.hutool	hutool-all	4.1.1		e4d8107830deecef2416f6fc454d5f9984cb3d99
cn.hutool	hutool-all	4.1.10		0a375c0d1bd8b66506e3fce78bd319ab3c0f03d6
cn.hutool	hutool-all	4.1.11		8837eef0ae47835a7ebb496fbf32e2942f20a8f9
cn.hutool	hutool-all	4.1.12		2a8ddc3ad9b15a6a18525af9b4eb7c00cca441ce
cn.hutool	hutool-all	4.1.13		a510df279e12e4ed5d3e6f4a5f5cc43c6fdedac7
cn.hutool	hutool-all	4.1.14		e1ed065d62c7552d7a3686ba826f7935f7b6877d
cn.hutool	hutool-all	4.1.15		df145fda46d6b7b2770f031e0967e8f46d8f0d5d
cn.hutool	hutool-all	4.1.16		efab50687d1220e7d1fd8163253ec32c32c30851
cn.hutool	hutool-all	4.1.17		5f3539ead2fe2c497de3748332ae8a0ff9936071
cn.hutool	hutool-all	4.1.18		2ad44fbd6026778f5bec6ca5ab2c668ceb79d2b4
cn.hutool	hutool-all	4.1.19		3a51e0c96afe3a824ba82b61e7690cb1ac1dcc4d
cn.hutool	hutool-all	4.1.2		59ddec9afc2b04e9d2cea861d3d8ef34d308a500
cn.hutool	hutool-all	4.1.20		428e9e3488878284bf6980c6ddd934c8dd5ea953
cn.hutool	hutool-all	4.1.21		71862c02de57f39d54d2df2f1d842323fcf098db
cn.hutool	hutool-all	4.1.3		60e34be0838e21bf882fe18263814b84765fb692
cn.hutool	hutool-all	4.1.4		394deaad6309643d535b7c525916152727082579
cn.hutool	hutool-all	4.1.5		2036ba872fee07857a8a07195b71eda91be3448c
