ca.gosyer	voyager-routing-android-debug	1.0.0-rc08		N/A
cloud.altemista.fwk.archetype	cloud-altemistafwk-app-security-archetype	3.0.0.RELEASE		e96a2d0f5b455cf1bcf5b25c78dc463917e3efc8
cloud.altemista.fwk.archetype	cloud-altemistafwk-app-security-archetype	3.0.1.RELEASE		da8c1f7a118555b9cf1f0e7fc138baf3dca13a63
cloud.altemista.fwk.archetype	cloud-altemistafwk-app-security-archetype	3.1.0.RELEASE		ca84fbd1d3ac59c2ccb0472b82e6d6f76e4bebb0
cn.rongcloud.sdk	crash	1.0.0		N/A
cn.rongcloud.sdk	crash	1.0.1		N/A
cn.rongcloud.sdk	crash	1.0.2		N/A
cn.rongcloud.sdk	crash	1.0.3		N/A
cn.rongcloud.sdk	crash	1.0.4		N/A
cn.rongcloud.sdk	crash	1.0.5		N/A
cn.rongcloud.sdk	crash	1.0.6		N/A
cn.rongcloud.sdk	crash	1.0.7		N/A
cn.rongcloud.sdk	crash	1.0.8		N/A
com.alibaba.cloud	aliyun-sms-spring-boot-starter	1.0.0		ad42c5df73fa0dbab97536abb6bc6350f88f2d83
com.apollographql.apollo3	apollo-websocket-network-transport-incubating-tvosx64	4.0.0-beta.5		N/A
com.apollographql.apollo3	apollo-websocket-network-transport-incubating-tvosx64	4.0.0-beta.5	metadata	e3e4df2ebdf86d52aa921056fcc282ace10cbe6f
com.aventstack	chaintest-cucumber-jvm	1.0.0		ef58a2918fa1336351427942f12bbf9053261b90
com.aventstack	chaintest-cucumber-jvm	1.0.1		83c03e05b4cddc22445651adf8274b87490abfca
com.aventstack	chaintest-cucumber-jvm	1.0.10		6537b8207f6227969712458f3be97311e9f0be61
com.aventstack	chaintest-cucumber-jvm	1.0.11		8b13952f64b6f5a62d16e85362fb7f9d4631ed27
com.aventstack	chaintest-cucumber-jvm	1.0.12		bf75547384001245f95af1c6298e337bb9c74268
com.aventstack	chaintest-cucumber-jvm	1.0.2		50afb784292224f9ef7cf5cc820436ebf8ca0936
com.aventstack	chaintest-cucumber-jvm	1.0.3		d63ee722e71ee74f4cdc695e22ec1f29f6e770e7
com.aventstack	chaintest-cucumber-jvm	1.0.4		5189239bb2425c251c3efcbc3c3f985fcdb00d45
com.aventstack	chaintest-cucumber-jvm	1.0.5		b242aeeea9e9b4d0eea745ada9092f501dd6cc6a
com.aventstack	chaintest-cucumber-jvm	1.0.6		d3c788f959d6b21fbda7cb3121c667111463d047
com.aventstack	chaintest-cucumber-jvm	1.0.7		7e89a490465b3629190cb3fd87cf6e623fadd8c7
com.aventstack	chaintest-cucumber-jvm	1.0.8		6ef353deff6bac8b42f4ce640570ac938afb86d6
com.aventstack	chaintest-cucumber-jvm	1.0.9		f5ca7fa08f51c059302317dd01570784e291add1
com.chenlb.mmseg4j	mmseg4j-core-with-dic	1.8.6		3b981d2ff237221fa40e09885c09c8a5608da98c
com.daodecode	scalax-collection_2.11	0.1.0		862f93d84e377adf1c4a89072bbb1248f2f52dfc
com.daodecode	scalax-collection_2.11	0.1.1		518bd78c199ab0cd8a4f08634b8cd02e50964684
com.daodecode	scalax-collection_2.11	0.1.2		a57b4ed5ab0f7e6c90858a8f56dd90072007619b
com.daodecode	scalax-collection_2.11	0.2.0		f641430720a3038a24d44035670835320463f7b7
