am.ik.aws	aws-apa	0.9.5		c98b8f6333df6b75183684914f1951b943fb47b8
ch.epfl.scala	scalafix-cli_3.3.4	0.13.0		e7e937d112c020c99521d1be5707ed2737d5424f
ch.epfl.scala	scalafix-cli_3.3.4	0.14.0		951ed9a5925c3cee8c8efe653d5255d6b2939383
cn.org.expect	modest-api	1.0.0		ffc0abf1deacd890edf25bc641468ba54fdadf58
cn.org.expect	modest-api	1.0.1		b5ad3f08aae1793ef6277d5092b7e956f9967552
cn.org.expect	modest-api	1.0.2		bfde903bbd70fe8ae282e6403de757c7fe24fe89
cn.sliew	flinkful-rest-base	1.0.0		6a55e31d395e57a44ec92a96bf8a49b42a10cfe4
cn.sliew	flinkful-rest-base	1.0.1_8		563fa3a703a647648f9ed90d21f0cc70f4eb2473
cn.sliew	flinkful-rest-base	1.0.2		9111e4fef042c98c0c5d30cde0b2b573022f3385
com.alibaba.fastjson2	fastjson2-example-graalvm-native	2.0.50		cef2abfbee0e196ea2960bc124906140e9d15e5a
com.alibaba.fastjson2	fastjson2-example-graalvm-native	2.0.51		6afc6d9f75f3ed12d890a4f74eb017d6ed3d19f0
com.alibaba.fastjson2	fastjson2-example-graalvm-native	2.0.53		00b43e83118667e691e6b696cebd9865eab67343
com.alibaba.fastjson2	fastjson2-example-graalvm-native	2.0.54		1daac473ff83b53b67a6bca7f6d9f73ad5449bc2
com.alibaba.fastjson2	fastjson2-example-graalvm-native	2.0.55		d4e7c0aa525d5031cce919cadc1f6aa5614169c1
com.alibaba.fastjson2	fastjson2-example-graalvm-native	2.0.56		cef1d963fc7be48fcd2b6b4acc0e020e72c3b9d3
com.alibaba.fastjson2	fastjson2-example-graalvm-native	2.0.57		e886ee4c72aaba12beb166df57e7c8b443138300
com.alibaba.polardbx	polardbx-rpc	5.4.19		9b3fd4ab4f21a093596a78353571a688e001470a
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.0.0		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.0.0-beta02		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.0.0-beta03		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.0.0-beta04		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.0.0-beta05		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.0.0-rc01		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.0.0-rc02		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.0.0-rc03		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.1.0		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.2.0		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.2.1		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.2.2		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.3.0		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.3.0	metadata	0ab05710a46b39c6faab137e95650a417d6edd38
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.3.1		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.3.1	metadata	66f608fc7289d52a4c639d29121342889519b7ac
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.3.2		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.3.2	metadata	7b43a44d23e13eafe43c0832720c527e6b45038c
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.4.0		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.4.0	metadata	f1609bc73fd18fce95fc050b98edb7a644a25c14
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.5.0		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.5.0	metadata	e669e80432b124e2fc9f9312759068b10808000b
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.6.0		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.6.0	metadata	3d3246ae9374666bd2b5b9d6a532094589c534ec
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.6.1		N/A
com.apollographql.apollo3	apollo-testing-support-watchossimulatorarm64	3.6.1	metadata	c1f2af7e1ce9454e87e82f3c1c93875db2363e0a
