app.mustats.apolostudio	color-picker-compose-wasm-js	0.0.0		N/A
com.nimbusframework	nimbus-aws	0.13.3		4c242339a107390724f4dc6ed230e07dae287d30
com.nimbusframework	nimbus-aws	0.13.5		a35ed501ef65a236f7f8d3f1983f54f46abe2658
com.nimbusframework	nimbus-aws	0.13.6		25ec61035961886986a6179b65e017b173c3ab41
com.nimbusframework	nimbus-aws	0.14.0		0c7bfbfea6477b4ca9476b5ec52207417de23ed2
com.nimbusframework	nimbus-aws	0.14.1		2e1c253892d6659dd7dc62deaeb105356d289239
com.nimbusframework	nimbus-aws	0.14.2		f03fd2f53dd304aab3f3af9468ae966c3d6282f9
com.nimbusframework	nimbus-aws	0.14.3		c6d8ec7f14fe6c0168c9c460f00ceff6d9dfc307
com.nimbusframework	nimbus-aws	0.15.0		3e6170d01d54724990ca47782c91b78d7f7e1444
com.nimbusframework	nimbus-aws	0.15.1		37363abff889dd7c438f293153bdd80a975a9846
com.nimbusframework	nimbus-aws	0.15.2		7823addb3434593464e6bad2f7eb2a7cfa421c3d
com.nimbusframework	nimbus-aws	0.15.3		b1b9ccb2fc1ad6e9d8f28524180f687be6b8afa1
com.nimbusframework	nimbus-aws	0.15.4		36a33c2bf940bd2496bb5aadbac34304fa4285f5
com.nimbusframework	nimbus-aws	0.15.5		d7ae3171888ec2a8d23f7da3c6de05333d997a52
com.nimbusframework	nimbus-aws	0.15.6		ed32a5f427ffd5f0bc14800ddb5125236fbd5122
com.nimbusframework	nimbus-aws	0.15.7		d8c5f9d646d446190d9dc9f96bbfd08300152fa9
com.nimbusframework	nimbus-aws	0.15.8		c934f316009dd0888b74b9ce625c6395d5c78617
com.nimbusframework	nimbus-aws	0.16.0		0d78796596850cfab1a6db72326c2fff61f0e75e
com.nimbusframework	nimbus-aws	0.16.1		815f30bcd6d96ed5eeb2774a95de9d095a299d66
com.nimbusframework	nimbus-aws	0.16.2		644594740e66f91255fa4a3a2b90c46544c9c370
com.nimbusframework	nimbus-aws	0.16.3		1dffb595532c0fbefd36318b7c6d93188b5030c3
com.nimbusframework	nimbus-aws	0.16.4		cf9ab0c1a3312183839458d6d5793a30812418c5
com.nimbusframework	nimbus-aws	0.16.5		ed418afcba89c400866d658a007647492a5f4d88
com.nimbusframework	nimbus-aws	0.16.6		ac5a26ce06f7dc12e1cddf8638f039b86037cfc8
com.noumenadigital.platform	engine-maven-plugin	2024.1.6		eec6b17d2e2c0e3047ebd237c23f5eec7952423d
com.noumenadigital.platform	engine-maven-plugin	2024.1.7		b348735b300e5517fd52d6d5197cb83ca050fc64
com.noumenadigital.platform	engine-maven-plugin	2024.1.8		df0aa26a3943bff72d741c759945e8e433b058cd
com.noumenadigital.platform	engine-maven-plugin	2024.1.9		8bfbcc5e5a8295a9c9fec696c4099e788f7260d6
com.noumenadigital.platform	engine-maven-plugin	2024.2.0		b1094e06dada60b75e34a36250f759858906ba3e
com.noumenadigital.platform	engine-maven-plugin	2024.2.1		fda347bfac48f7aa355571049766f187fa560821
com.noumenadigital.platform	engine-maven-plugin	2024.2.10		c42b62def2525ea00aae0bad46b9bd64aabef78c
com.noumenadigital.platform	engine-maven-plugin	2024.2.11		945160891cf8950d3a62ef9483f6b55d6b17beb0
com.noumenadigital.platform	engine-maven-plugin	2024.2.12		d12de57f62574c65a8d9128f2489503fa5458133
com.noumenadigital.platform	engine-maven-plugin	2024.2.2		6574ea37bea83810249dd16675035d9304f7ec00
com.noumenadigital.platform	engine-maven-plugin	2024.2.3		0b85251954f7da8f86924b6924daec9d895d89b9
com.noumenadigital.platform	engine-maven-plugin	2024.2.4		609b5cc6bb070818624da0d7b755762517758bc0
com.noumenadigital.platform	engine-maven-plugin	2024.2.5		0afc75350abeb4acd6dd8740d290ca57d7cd0f42
com.noumenadigital.platform	engine-maven-plugin	2024.2.6		d709cf0545622ea253cef06f33306af085be4c0e
com.noumenadigital.platform	engine-maven-plugin	2024.2.7		01947a110d8bb434d8cd823229ce57230a4daf16
com.noumenadigital.platform	engine-maven-plugin	2024.2.8		36353dcb9a13cc6fc2ae2362cc1edcb96183b39f
com.noumenadigital.platform	engine-maven-plugin	2024.2.9		13f2611ead85854508742d80fb5006ce35f7f6eb
com.noumenadigital.platform	engine-maven-plugin	2025.1.0		e39815acebe299687d241f646b72c0ecad6fd166
com.noumenadigital.platform	engine-maven-plugin	2025.1.1		149e4f940d3c0cd733abb18423af188634c73149
com.noumenadigital.platform	engine-maven-plugin	2025.1.2		eec526086f626b15a4c78d972295bb56547a0b07
com.noumenadigital.platform	engine-maven-plugin	2025.1.3		0efb000fd02987fcfc3715fc5077140146e39028
com.noumenadigital.platform	engine-maven-plugin	2025.1.4		9d2d0e8995086ea11490b5b9b4f53dde54cf785c
com.noumenadigital.platform	engine-maven-plugin	2025.1.5		a91210ce419223f5f97f87f645c9d32c470470de
