co.luminositylabs.oss.ica	ica-web1	0.2.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.4.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.4.0	metadata	52a5cab7d5124067c2d60c5f1d8d7a7ab5e2cc68
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.5.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.5.0	metadata	f482ec6eeac2795dbe3c80f4a9c7f2e4e81e7dcc
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.6.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.6.0	metadata	7ac3079500359c7f14cb506cbb8b213c771c2c4c
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.6.1		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.6.1	metadata	fc6acd649131fbb5abc8e026a78ba242849b3358
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.6.2		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.6.2	metadata	3e6954132c1f39024cbf817952ea9566abea8124
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.7.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.7.0	metadata	7b70ccdff5d9fbae1952d749fb158c0296de7aa0
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.7.1		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.7.1	metadata	7a4fe7d638fb87e11645d985abde5ffd29a65d5c
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.7.2		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.7.2	metadata	5b253e4279f788f59ad68221122045a938bdd203
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.7.3		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.7.3	metadata	9fc63fe08af231050db819b8e980add246bf49f7
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.7.4		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.7.4	metadata	bd607c3f72f4be530f8ba58ac1fdddcb62c5b13f
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.7.5		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.7.5	metadata	23a2152856ac49f6248d2163747ed53b29f6927e
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.8.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.8.0	metadata	7b42f6438a1f7d98c844cf390045b83657e962d1
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.8.1		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.8.1	metadata	56acd8bf4351194d091c6849ed73e3d44e2689ac
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.8.2		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.8.2	metadata	fe4f88109ad746658f315770f7c86d1afb972ca4
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.8.3		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.8.3	metadata	d1a7de6e60838b974a1f704411e3a424b65bd058
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.8.4		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.8.4	metadata	dd18c8764c3609a8d6148785346e65d6debbf0ca
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.8.5		N/A
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	3.8.5	metadata	38b260791e72c24f1620793780397d4ebbb132af
com.apollographql.apollo3	apollo-normalized-cache-incubating-watchosarm64	4.0.0-alpha.1		N/A
