ca.dsolutions	javafx	1.0		e870b2d60a98ab560e29dc7b91b5a26691d4bf77
cc.unitmesh	UnitMeshEval	0.1.1		a2fc14b2ceb9bd7690cb903d584e572464b0309b
cc.unitmesh	UnitMeshEval	0.1.2		8129f64f5249f27e19713c4b460f62bf6d6929fc
cc.unitmesh	UnitMeshEval	0.1.3		0053ed108f975553543429e859fe4119839d3e39
cc.unitmesh	UnitMeshEval	0.1.4		0286d32b4404e0e892fa5e424b3a52329c98c7fb
cc.unitmesh	UnitMeshEval	0.1.5		c0d779a671861cea8a972175380c9f744505a148
cc.unitmesh	UnitMeshEval	0.1.6		0b53d447b7ec1acb316c6ae1a04cf8f16b65e200
cc.unitmesh	UnitMeshEval	0.1.7		6531c1a68dd85776e610003f04a1de152edddfbf
cc.unitmesh	UnitMeshEval	0.3.0		7106ac26698d90cfad54c2cb9e456ac22439f76c
cc.wikitools	wiki-tools-lucene	0.1		2751be7acd46814a81797e2f0cc84fe1638e1585
cn.entertech.android	affectivecloud	2.0.0		N/A
cn.entertech.android	affectivecloud	2.1.0		N/A
cn.entertech.android	affectivecloud	2.2.0		N/A
cn.entertech.android	affectivecloud	2.3.0-beta01		N/A
cn.entertech.android	affectivecloud	2.4.0-alpha01		N/A
cn.entertech.android	affectivecloud	2.4.0-alpha02		N/A
cn.entertech.android	affectivecloud	2.5.0-alpha01		N/A
cn.entertech.android	affectivecloud	2.6.0-alpha01		N/A
cn.entertech.android	affectivecloud	2.6.1		N/A
cn.entertech.android	affectivecloud	2.6.2		N/A
cn.entertech.android	affectivecloud	2.6.3		N/A
cn.entertech.android	affectivecloud	2.6.4-alpha01		N/A
cn.entertech.android	affectivecloud	2.6.4-alpha02		N/A
cn.entertech.android	affectivecloud	2.6.4-alpha03		N/A
cn.entertech.android	affectivecloud	2.6.4-alpha04		N/A
cn.entertech.android	affectivecloud	2.6.5-alpha01		N/A
cn.entertech.android	affectivecloud	2.6.6		N/A
cn.entertech.android	affectivecloud	3.3.5-LOCAL		N/A
cn.entertech.android	affectivecloud	3.3.6		N/A
cn.entertech.android	affectivecloud	3.3.7		N/A
cn.tenmg	flink-connector-sqlserver-cdc-log	1.0.0		db13f2e9857529d42461d34a11d9e9ce9ea351a0
com.be-bound	spring-utils	1.0.0-beta1		87baba97e44dc8cdbb4def941ac40588ac7c68d8
com.be-bound	spring-utils	1.0.0-beta2		8a9ea453b71556a988e880f82e68f6726ebb4c57
com.be-bound	spring-utils	1.0.0-beta3		871962f15f62e1ead6b7c0037955a404b833d589
com.be-bound	spring-utils	1.0.0-beta4		0d540c11bab4f59ad4e40d70b219f2456846f4d1
com.bitbreeds.webrtc	webrtc-signaling	0.2.5		9bf12da18bb07af35e151a56761b620d7d0763c5
com.crealytics	spark-excel-2.12.17-3.1.2_2.12	3.1.2_0.18.1		4853f69da31483423148461cf8d3d9f9ed10205d
com.crealytics	spark-excel-2.12.17-3.1.2_2.12	3.1.2_0.18.1-beta3		d076195ea7f9c242d9f57b86a5165bf106e67083
com.datto	flow_2.13	3.2.0		43f8214c1fa49ce0af60d2b5c469031acb501731
com.decathlon.tzatziki	tzatziki-parent	1.0.0		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.1		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.10		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.11		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.12		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.13		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.14		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.15		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.16		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.17		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.18		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.19		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.2		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.20		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.21		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.22		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.23		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.24		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.25		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.26		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.27		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.28		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.29		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.3		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.30		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.32		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.33		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.34		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.35		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.36		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.37		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.38		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.4		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.41		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.42		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.43		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.44		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.45		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.46		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.47		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.48		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.49		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.5		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.50		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.6		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.7		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.8		N/A
com.decathlon.tzatziki	tzatziki-parent	1.0.9		N/A
com.decathlon.tzatziki	tzatziki-parent	1.1.0		N/A
com.decathlon.tzatziki	tzatziki-parent	1.1.1		N/A
com.decathlon.tzatziki	tzatziki-parent	1.1.2		N/A
com.decathlon.tzatziki	tzatziki-parent	1.1.3		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.0		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.1		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.10		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.11		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.12		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.13		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.14		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.15		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.16		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.17		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.18		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.19		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.2		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.20		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.21		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.22		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.23		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.25		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.26		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.3		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.5		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.6		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.7		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.8		N/A
com.decathlon.tzatziki	tzatziki-parent	1.2.9		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.0		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.1		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.10		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.11		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.12		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.13		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.14		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.15		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.16		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.2		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.3		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.4		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.5		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.6		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.7		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.8		N/A
com.decathlon.tzatziki	tzatziki-parent	1.3.9		N/A
com.decathlon.tzatziki	tzatziki-parent	1.4.0		N/A
com.decathlon.tzatziki	tzatziki-parent	1.5.0		N/A
com.decathlon.tzatziki	tzatziki-parent	1.5.1		N/A
com.decathlon.tzatziki	tzatziki-parent	1.5.2		N/A
com.decathlon.tzatziki	tzatziki-parent	1.5.3		N/A
com.decathlon.tzatziki	tzatziki-parent	1.6.0		N/A
com.decathlon.tzatziki	tzatziki-parent	1.6.1		N/A
com.decathlon.tzatziki	tzatziki-parent	1.6.2		N/A
com.decathlon.tzatziki	tzatziki-parent	1.7.0		N/A
com.decathlon.tzatziki	tzatziki-parent	1.8.0		N/A
com.decathlon.tzatziki	tzatziki-parent	1.8.1		N/A
com.decathlon.tzatziki	tzatziki-parent	1.8.2		N/A
com.decathlon.tzatziki	tzatziki-parent	1.8.3		N/A
com.decathlon.tzatziki	tzatziki-parent	1.8.4		N/A
com.digitalpebble.behemoth	behemoth-io	1.0		ba640ebdd8ead25faf7f7211a1fb76077e65c7ca
com.digitalpebble.behemoth	behemoth-io	1.0	job	767a2a7e72d001c350a960ef53924f57e0564268
com.digitalpebble.behemoth	behemoth-io	1.1		df93d27ad20b515b6c61dfc41711648ef3c22fc2
com.digitalpebble.behemoth	behemoth-io	1.1	job	b4b821a7abc45937d1a4e94cfb60abee000e2684
com.ganshane.xcoin.protobuf	xcoin-member-protobuf	0.1		c96626e5bcb32f567c83cfe4e78c7ac1a84487d1
com.ganshane.xcoin.protobuf	xcoin-member-protobuf	0.2		fde47883e8d8f526590474f11c5fabdd37c5b805
