app.softwork	sqldelight-oracle-jdbc	0.0.13		08e4e27e414aeaed424b034c5f6878118888380b
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.10.0		N/A
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.10.0	metadata	df2dc0399401aced7049dc60474c8f2169c61663
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.10.1		N/A
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.10.1	metadata	04d8d0af4cc7b388c180318063a05da2d3746b9e
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.11.0		N/A
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.11.0	metadata	9c7ebc4270097ae448aae011f4d2981f51fd9cdb
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.11.1		N/A
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.11.1	metadata	38f29cf3e685a654a5916d19e8dd921d6d50043e
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.12.0		N/A
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.12.0	metadata	eccb952cdb0e3a24b4380188100110cf087e0d56
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.12.1		N/A
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.12.1	metadata	19387100da9c9f141f4a1a3202cb2547c34a2975
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.13.0		N/A
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.13.0	metadata	163d960d7b3dde21794eb4a828ea2f0d85a120e4
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.14.0		N/A
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.14.0	metadata	f80dfcd2b0ab9d18292c010556c0f4cf62ae2f9a
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.15.0		N/A
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.15.0	metadata	d072d0fc7c72e3461f3c17581841d8ef43752212
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.15.1		N/A
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.15.1	metadata	ec97d1dbaafcc9eb3c1a3696750cdfb7159c2d2a
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.15.2		N/A
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.15.2	metadata	e1b9e3a0075a90eb20ba581cfcb0e18b15b2af62
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.16.0		N/A
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.16.0	metadata	90dd23617793863a7b5c043a0d0d86a6e1726a91
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.16.1		N/A
at.asitplus.signum	indispensable-cosef-tvossimulatorarm64	3.16.1	metadata	1680c7e366d1e06e840b8c67d1d4beb72a3bda23
be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	rml-adapter-processor	2.12.0		N/A
ch.epfl.scala	scalafix-testkit_2.13.10	0.10.4		2ca5b8d66c6679ee3107a562978e3aa01197aec4
cn.renyuzhuo.rjson	rjson	0.1.0		N/A
cn.renyuzhuo.rjson	rjson	0.1.2		N/A
cn.rongcloud.sdk.push	oppo	5.10.0		N/A
cn.rongcloud.sdk.push	oppo	5.10.1		N/A
cn.rongcloud.sdk.push	oppo	5.10.2.115		N/A
cn.rongcloud.sdk.push	oppo	5.10.3		N/A
cn.rongcloud.sdk.push	oppo	5.12.0		N/A
cn.rongcloud.sdk.push	oppo	5.12.1		N/A
cn.rongcloud.sdk.push	oppo	5.12.2		N/A
cn.rongcloud.sdk.push	oppo	5.12.3		N/A
cn.rongcloud.sdk.push	oppo	5.16.0		N/A
cn.rongcloud.sdk.push	oppo	5.16.1		N/A
cn.rongcloud.sdk.push	oppo	5.6.0		N/A
cn.rongcloud.sdk.push	oppo	5.6.1		N/A
cn.rongcloud.sdk.push	oppo	5.6.1.1		N/A
cn.rongcloud.sdk.push	oppo	5.6.10		N/A
cn.rongcloud.sdk.push	oppo	5.6.2		N/A
cn.rongcloud.sdk.push	oppo	5.6.3		N/A
cn.rongcloud.sdk.push	oppo	5.6.3.101		N/A
cn.rongcloud.sdk.push	oppo	5.6.4		N/A
cn.rongcloud.sdk.push	oppo	5.6.6		N/A
cn.rongcloud.sdk.push	oppo	5.6.8		N/A
cn.rongcloud.sdk.push	oppo	5.6.9		N/A
cn.rongcloud.sdk.push	oppo	5.7.2		N/A
cn.rongcloud.sdk.push	oppo	5.7.3		N/A
cn.rongcloud.sdk.push	oppo	5.7.4		N/A
cn.rongcloud.sdk.push	oppo	5.8.0		N/A
cn.rongcloud.sdk.push	oppo	5.8.1		N/A
cn.rongcloud.sdk.push	oppo	5.8.2		N/A
cn.rongcloud.sdk.push	oppo	5.8.3		N/A
co.touchlab	crashkios-core-tvosarm64	0.4.0		N/A
co.touchlab	crashkios-core-tvosarm64	0.4.0	metadata	0d4599cb65211edd58d559e9cc6b8ce5edeaedd6
co.touchlab	crashkios-core-tvosarm64	0.5.0		N/A
co.touchlab	crashkios-core-tvosarm64	0.5.0	metadata	933180b72f4ee2da5e7010f3e854682bfe30a8ce
co.touchlab	crashkios-core-tvosarm64	0.6.0		N/A
co.touchlab	crashkios-core-tvosarm64	0.6.0	metadata	a3df0c3dabffe18ba0483c34db06442475ec16d5
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	2.0.2		aa4c56b832332c16022ed0f01e9f82ec8ac6611c
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	2.0.3		5a30513da0a1511dddd6ed5fac33ee26f0a77130
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	2.0.4		97ddc72f91f9e82296ea26fd5b7447acf0dcbae8
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	3.0.0		725ce9d8ac6db40deb3accd463691763c47191a9
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	3.0.0-alpha01		9232ff66297616f61bf916d77c15a153cbf49187
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	3.0.0-alpha02		2c3d3cc779e4df1a5e124543e7077f36cc037158
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	3.0.0-alpha03		7f29950d20be865ac0ebd447dc843d704d988a75
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	3.0.0-beta01		3b23406db3fea69981b905d7bc42d2b73cff625e
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	3.0.0-beta02		c9d91028224d50137c1e9e5ab60110122b0e393e
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	3.0.1		40944b5298278032587547255a0c6e6b183cc6d5
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	3.0.2		2ed5975da18774a8df6f8db5fb01ebc63b7bf202
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	3.1.0		47e2290ffa802910f0a34a1679bc574f7760b2b1
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	3.2.0		b87a1fe1b196298ce8d081d207d1e16cf4ee4298
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	3.2.1		b87a1fe1b196298ce8d081d207d1e16cf4ee4298
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	3.3.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	4.0.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	4.0.0-alpha01		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	4.0.0-alpha02		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	4.0.0-beta01		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	4.1.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	4.2.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-js	4.3.0		N/A
com.ge.research.semtk	fdcCacheService	2.2.2		5396cc34c81f9b93554b665244afbe1a2f26c7e2
com.github.joutvhu	model-tester	1.0.0		a909445833985a12f60255c6e5bfc38fc18d8f7e
com.github.joutvhu	model-tester	1.0.1		6c586f5120e3aa21128779306e20ec95953ac0ce
com.github.joutvhu	model-tester	1.0.2		544ec843c0fcab1d2561d69946fa24b5d1241b8e
com.github.joutvhu	model-tester	1.0.3		24288ffc870694b81f6c86ac3f7a4eaa4c2aa563
com.github.joutvhu	model-tester	1.0.4		4669b0be9872ae53963aafa5d47df2c8d76b42e9
com.github.joutvhu	model-tester	1.0.5		c1a05e585ba035d6cf9fec269962c884cb218363
com.github.julien-truffaut	monocle-state_2.10	1.2.0		05f9deac05452319e5ff4b49a759c26ab456795f
com.github.julien-truffaut	monocle-state_2.10	1.2.0-M1		fe0e679c0d0e7416663408166b47dc2e09ffce55
com.github.julien-truffaut	monocle-state_2.10	1.2.0-M2		044496c8f66448f2b5d819ed93fabfbd40cefe91
com.github.julien-truffaut	monocle-state_2.10	1.2.0-RC1		a9d956dd0bddff84de4ac2bfc655f72f9ac7ad21
com.github.julien-truffaut	monocle-state_2.10	1.2.1		7246c7e43f4d85a5af327498b623595a4a3ead50
com.github.julien-truffaut	monocle-state_2.10	1.2.2		18c89be9046324965711f6284d7a75fd2b93976c
com.github.julien-truffaut	monocle-state_2.10	1.3.0		1624561d48f5c4a4be4e6a96f7139661a66d4d90
com.github.julien-truffaut	monocle-state_2.10	1.3.1		f4751793de004b327a7a4135d18550d6827d38a9
com.github.julien-truffaut	monocle-state_2.10	1.3.2		807dd4070d612776f762a251290fe9575749aba8
com.github.julien-truffaut	monocle-state_2.10	1.4.0		337ab34e1eefa2c098a64831ea9b33ffcf797784
com.github.julien-truffaut	monocle-state_2.10	1.4.0-M1		24fc59b45053f87fca88132f6d1083173049d3f1
com.github.julien-truffaut	monocle-state_2.10	1.4.0-M2		ae2a77236a9e50ba5fb80f920aab7dccaf7c67bb
com.github.julien-truffaut	monocle-state_2.10	1.5.0		2878a7d93e0aac1ebd943534260e772d1c1e9815
com.github.kschuetz	compound-sort-helpers_2.11	1.0.1		7cf92060a5bae4ccfd2af02cec3b7b7ab7da86d1
com.github.kschuetz	compound-sort-helpers_2.11	1.0.2		31844eab570da163307baadd745df1b1e0e3deac
com.github.panhongan	java-utils	0.0.1		0ed06b2349733bf7bdb1202dcc5f7e42c37724f7
com.github.panhongan	java-utils	0.0.2		a90b5a7dbb8e378f53234814d5338a1564b77002
com.github.panhongan	java-utils	0.0.3		4e0bc9bc455a29ebc974212c6f54df9fbff1aa59
com.github.panhongan	java-utils	0.0.4		c144936b34bb963e8882bb73b79b225e03dd2a63
com.github.panhongan	java-utils	0.0.5		0b083798a7b7c9b04e9b393a8a92a8dcf3b8065b
com.github.panhongan	java-utils	0.0.6		57d20d2cc63e706c0f6eb7a0f8099a0a5e2732ed
com.github.panhongan	java-utils	0.0.7		5ff372d14286bd796f71b20a5ba3992eb98fcbb2
com.github.panhongan	java-utils	0.0.8		5889d07ae17a3be095ebefdb2fed5d2b54007d39
com.github.panhongan	java-utils	0.0.9		384514541d4a2577d9380a642f76a2d128ac0e05
com.github.panhongan	java-utils	0.1.0		c72d3f6443323e85e4950140831b3e57c7b225ea
com.github.panhongan	java-utils	0.1.1		7708c74d4c99b521920128daef012dd767924363
com.github.panhongan	java-utils	0.1.2		98f5eac228cebf71678336130b2a76319eb47864
com.github.panhongan	java-utils	0.1.3		de8d9ecfff30ae461083f31593a93530d689c491
com.github.panhongan	java-utils	0.1.4		60ec297d8c3b6f352b036f969da40cdd0201bab2
com.github.panhongan	java-utils	0.1.5		a56b567d639a8c572fceae2c73e1171bcddd83b0
com.github.panhongan	java-utils	0.1.6		e32c0da7c3359a1d648db990538da19d92b1af76
com.github.panhongan	java-utils	0.1.7		N/A
