br.com.jbugbrasil.bot	persistence-service	1.0-Beta		0e2083ba1639595cd4f89637dd8bfc4273521d0f
cash.muro	cashidss	0.1.0-alpha		d1b38a471bb69dba8e8f15cf12922b5065b078c8
cn.wufuqi	NBEffects	1.0.1		N/A
com.alibaba.lindorm	lucene-sandbox	8.10.0		9fe72830a4347714efa6f301b87fdc28d3c80d9f
com.alibaba.lindorm	lucene-sandbox	8.10.1.3		eac7b5c31b94e50bc5fad73ff83ccf47580641c3
com.alibaba.lindorm	lucene-sandbox	8.10.2		c682ab0a2103e8b9d26b3e13f4cb08adf1f4a9af
com.alibaba.lindorm	lucene-sandbox	8.9.0		9e64df9e1a1e296fc5e7950404d20768da21675e
com.alibaba.lindorm	lucene-sandbox	8.9.0.1		a9d6d5dc3acda73ee27f3af945be44e2a836b254
com.alibaba.lindorm	lucene-sandbox	8.9.1		84af40296ea8d7e63538ffb9528f153122a43cb2
com.disneystreaming.smithy4s	smithy4s-fs2_sjs1_2.13	0.18.0		0c350e0d0308ad1eaa5ec0eee2041de00c378b16
com.disneystreaming.smithy4s	smithy4s-fs2_sjs1_2.13	0.18.0-1-19acfb2		571c896d4946458c70d5f24330d5a775b40fde7e
com.disneystreaming.smithy4s	smithy4s-fs2_sjs1_2.13	0.18.0-1-26737b4		a47647808547c2898ce140451d4186c5006bce67
com.disneystreaming.smithy4s	smithy4s-fs2_sjs1_2.13	0.18.0-1-5a26ba3		27c6421b66110bde537aa97aa234c1edf19e75e7
com.disneystreaming.smithy4s	smithy4s-fs2_sjs1_2.13	0.18.0-1-8d943ab		e8b4dbd54478a882cce5eee747a9cedeaf967641
com.disneystreaming.smithy4s	smithy4s-fs2_sjs1_2.13	0.18.0-1-b0aa866		274780420d1c486daf3c1259d97e41019d1c7383
com.disneystreaming.smithy4s	smithy4s-fs2_sjs1_2.13	0.18.0-1-ec140e5		3073fd5c7b41b6b7b610aa5c04994115accd5909
com.disneystreaming.smithy4s	smithy4s-fs2_sjs1_2.13	0.18.0-1-ef34282		6d086293ef5c5ad0b2221e2bfab251b0e36f4e05
com.disneystreaming.smithy4s	smithy4s-fs2_sjs1_2.13	0.18.0-1-f733cc5		1b76f4d4ce98deee8fa1162f5b2213fd0459b0d1
com.disneystreaming.smithy4s	smithy4s-fs2_sjs1_2.13	0.18.0-1007-cc332a3		916728f293dd0ed157f49a42075196a95537dff8
