ai.swim	swim-dynamic-api	3.10.0		ad9e2fc1120bb49e05be3d652f2c77b80addb33e
at.asitplus.wallet	vck-openid-iosarm64	4.1.0		N/A
at.asitplus.wallet	vck-openid-iosarm64	4.1.0	metadata	553d1cb3b88471e4f36d68b5879e9b63d6c7e882
at.asitplus.wallet	vck-openid-iosarm64	4.1.1		N/A
at.asitplus.wallet	vck-openid-iosarm64	4.1.1	metadata	b33fb865ec92501ab3f153c6ebef5f3a14463024
at.asitplus.wallet	vck-openid-iosarm64	5.0.0		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.0.0	metadata	8e6ea8cca247a82031f8c8d24082b35aaa4525ac
at.asitplus.wallet	vck-openid-iosarm64	5.0.1		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.0.1	metadata	bfe2eda0b101b81b2d6c4d3eed2534b7a32552c6
at.asitplus.wallet	vck-openid-iosarm64	5.1.0		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.1.0	metadata	7b3b76a4d92e1ab8536308ef418c317c1edaf818
at.asitplus.wallet	vck-openid-iosarm64	5.2.0		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.2.0	metadata	e95b36f0a51474d343d3940706102c2584cdaa57
at.asitplus.wallet	vck-openid-iosarm64	5.2.1		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.2.1	metadata	d2dc1af9f8a1aa85a7aa99bd99cae5cc9366c673
at.asitplus.wallet	vck-openid-iosarm64	5.2.2		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.2.2	metadata	226829c6d7f7961e8dcac757744c446fa5842024
at.asitplus.wallet	vck-openid-iosarm64	5.2.3		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.2.3	metadata	e1d0b769b9387aeb0a1a5ecc477ab56e5b9a1d4e
at.asitplus.wallet	vck-openid-iosarm64	5.3.0		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.3.0	metadata	ae3720f63e09a397141611c3927dd6a88c463589
at.asitplus.wallet	vck-openid-iosarm64	5.3.1		N/A
at.asitplus.wallet	vck-openid-iosarm64	5.3.1	metadata	8eed960fdab532fae94d3c4236a921222ad5d043
