cn.featherfly.permission	permission-web	0.2.0		346456a14d380b56cc5103f7340135c931761ab3
cn.port2.meetingsdk	whiteboard	1.0.0.0		N/A
com.a483210	retrofit-spring-boot-starter	1.0.0		9aa7f4f56aa4276a51d56e89bdde6b401f5a4051
com.alibaba	log4j2-mtc-thread-context-map	1.0.0		f00b411b31acb05f817ca66bf9b0429c5e5640c9
com.alibaba	log4j2-mtc-thread-context-map	1.0.1		b4619cfa88e10efed32ae242cc976a1fe3df72a0
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.111		eaf8bd6cd7bf609f5cbca9da20d438f8ef50f6c0
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.112		b8fd0f6bb076d5a232d22e3f50fe36db3e069a5d
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.113		beb51c816304a964e105c4e8cba2aff975965e6e
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.114		f8be1f68a8d62919be8b9d2169f2e20cb9e45778
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.115		258a0d3d81f058bb2ad8c8ec1146fd1c9838607e
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.116		8f3fe40af18ddb3ebf00cb2ff46bfbf7ea2982ce
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.117		bb96ac218b29310ea5d21b9b8f176127e88b5dba
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.118		f55b59d63c486eff6502311058a0b9da6dcdf0cc
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.119		b6c6c709725a8d51b19df2703d032d9114c83b86
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.120		c347b97b9eb850dea2936b3b16d5ddaac86e6118
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.121		00a5c45fee150b3008c9d13dbe5746ad2e5bacf0
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.122		9b108012ff1e705e25304607aea3d7e333ed78af
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.123		4dd5ac85340c4702b422981d15ee480c0e61b6b1
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.124		8011b97e48c2448e4843aec47300df37a367bab2
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.125		c65dc6d3fedce23dbd266571620526a075aa51da
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.126		5e60cefcec9de25ea7b8b1601f4c0a2a01d2190b
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.127		ce535c4b8503080b2d004886debe92e29f77c0f8
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.128		b934ffa4f863d35da7a1309acdc9197bed410007
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.129		0e5081f9afbae332e9620976025671618544fa9c
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.130		dbfd533bff5734d542cd90a52dfc39c65c138afa
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.131		29f1fb5204da9574fba1b4de9a68c678bfd29949
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.132		e9c719c309d48d605b4c0f0cccebf4f82d59a712
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.133		0a3c5bb4a0898b0ace91b518bbb5d6566efb1d34
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.134		4d6ce2219b1fab9e1b5ad545821df6d301df45c0
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.135		e9b233defcde1e6e6331e1458a3a28fc68139ba5
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.136		088a9e3c8df2013ee126edd332b1f933cfa94eda
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.137		e3098ab0fda7d305c85fc1f0ed1113cfc5b1873c
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.138		5f3de27cf5a36ac901535acb0c5d5e1fa83a5382
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.139		60e368fc1bd8a1f385a0733e6ec56c85e6e4f183
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.140		3fdb0ea8584540988754f3310318a1cc3aaccb35
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.141		924cfd2a3609453c9a40530e6ce5e45e9c5c06aa
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.142		fcfacff2949d33eb3a33f08415c34e82b0be7ad9
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.143		12d56ea307c6176cc09f5ec5cf4865aafc51dda3
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.144		cad61c9b97a89741f1f1a53915bc1594cc5c225a
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.145		9cf356543b0b4afc6c8d7b5274cf80e8a355f6e4
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.146		976a13e59ee71f8707e9eb1e40035bfe93135fb0
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.147		3e796d250ec997adc938dcb49019f8965ac95551
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.148		ccc01f23111587d8fcab9b13cbe5da111bc639a1
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.149		1bb498f0752ee37fe329a193c6a260377ad23d6e
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.150		ecbd413c5b3af832595069e2ccd26476df268b55
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.151		b93a338187aac769f9eff387ea336fba5a247e96
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.152		234326f10d7b00096cb4abff29e7be2cd0f9b452
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.153		919be753595e084f24a2e9feeab20770854208d2
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.154		87662f477e91df70b89b77864b9e50a3cfef5b53
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.155		99359f186d468f6d4ac2eaf1c547fd5faa7fc1d5
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.156		6654fc92ed400157afe2786c3af0291178fe9777
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.157		2a14f142bcf6486559444ee534bd6f1b27374da8
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.158		d13b4b4bdac4011951427bd8fa10a273fac23200
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.159		e68c117c43c42aa473c9bfc2f0b2bc1706a8a38a
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.160		e0b6145a4516cf52e95e535ef68365a7c3ce39cf
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.161		1997f6225ad36821a8dbd835e8856156687077c5
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.162		c47fb911df22dbd3e0c90d4f44577a0cc0240f0f
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.163		7a104e7747ab3a40cb3f42e3c007ce8d782de481
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.164		77b643102e5b20bb11807ef52e07751d5885c324
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.165		8cf89aae607e0cbf16a15c29318b4db58b3c7c21
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.166		b73d8da1456b98f8c5f69dfcacf5394dfd7700e5
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.167		dc16a5c92f60d50d5cf27662731f51c3a50c3a0f
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.168		c31f9be69c215b369f991a2b5fcf883561090be8
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.169		d3982b1c40c747848ea2d10a8660b26762af9097
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.170		c7b703d83f9d32dddef06c624bbacf8626f37b7f
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.171		2d9189f2948cee7a712994960df73d88e5f5a845
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.172		1af3b6be9eba90dc97cff305138da26247f42612
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.173		4d654a475c75aa9851c0d5470f74c8db0ef025cd
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.174		97506502e0730375eb92c7a6482c45e92954aa44
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.175		0f21690c3dad9c76f4004fbb0940daa8c1dd6bde
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.176		7d930593f5c67b1b58ce8a09a4323387d75df761
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.177		158f5b2189cb9a4c810d80ed4d03dd90c41731c9
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.178		56893c0ac377452f3ac8209610673f2547d9f45f
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.179		986795e74d58fbcef9a241005749567b18bcd95b
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.180		3a77af8d80a989945dec023ff6b555bc7e6e2f90
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.181		efa2490940117893d8174f2a06b65b4207a6c785
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.182		0ef7468a3ca6add52f2eb88406935ce352afe24a
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.183		2b2ba28c0aeb06119a2f04b0177d584f23621d0a
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.184		d5b73d4e90fca6fd7f5213e66bcb5ae213e9911f
com.amazonaws	aws-java-sdk-migrationhubstrategyrecommendations	1.12.185		a67703ba4cf2d730b891604a487aaae3de49836b
