au.net.causal.shoelaces	shoelaces-jersey-client-integration-tests	2.0		N/A
ca.eandb.jdcp	jdcp	0.3.1		N/A
ca.eandb.jdcp	jdcp	0.3.2		N/A
ca.eandb.jdcp	jdcp	0.4.0		N/A
ca.eandb.jdcp	jdcp	0.4.1		N/A
ca.eandb.jdcp	jdcp	0.4.2		N/A
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.15.0		ac20baa6ed214b8ec12b1c4277e1405dfa3642c3
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.16.0		3c50df19bbd9d7e6119ecb0ce4e8d9c3a2458eed
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.17.0		773f0b80359a82608387cce9bfd4b16c6d75c21e
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.18.0		eecc93350943e66bb7864f0aeb37e6bbc152a5fe
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.19.0		4db7f0223f2803ab889096f568a8b6f1d13ed46f
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.20.0		79b8013cd76f9ba80504041fc1bfa55376caa818
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.21.0		2155ce3c5baeb9b9db9284098e550f00945e19bb
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.22.0		20f556dd7605527a761e1c1a9ab30ba3f52d8b85
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.23.0		aeb57c05994bdc3667b0c5666af3d8503931f722
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.24.0		d58901bab86756e1337a898f9c4dbecffbe86e2c
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.25.0		a1c236f5123986034ff9acc479ba6de313fa64ed
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.26.0		42b1e2673fb987b0b7ed96766e96b21a89b07b1e
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.27.0		e44ff81b42ddf03406a9986b31e81c87ed9b4678
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.27.1		9601002d8d2e517ccf2b5f0145e95fb455c5b548
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.27.2		31cf23c68c665626570694d9a7adf3276468925e
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.28.0		76125505931d9f091620e015181582c6ab530243
ch.admin.bit.jeap	jeap-messaging-contract-annotations	8.29.0		3aa9a8ec44140bf5fe884541156d69a103518c8c
