azote	xmlstubs	1.0.2		a6f821388a32bd465800910c57b60324eeae4a30
ch.epfl.lamp	dotty-doc_0.3	0.3.0-RC1		becb1ab1fd982127ff54749227e2b225120be8ff
ch.epfl.lamp	dotty-doc_0.3	0.3.0-RC1-bin-20170821-9ee1734-NIGHTLY		ca136dc8fac6ed7d587eddf450ea359234accc87
ch.epfl.lamp	dotty-doc_0.3	0.3.0-RC2		8c361d2c908a3b57dce76ca97f0353ed8598363f
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170711-5e8a387-NIGHTLY		21a11e970cad929c12b54961df7ed88f510318c1
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170712-5e05d3f-NIGHTLY		244dbe9a154d296d76a669c99ad3574209e2fb5b
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170713-5ba8ea3-NIGHTLY		eca40063dedda258996c423ecbd0f081fec955bf
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170715-0734ce9-NIGHTLY		ca664636c4acdfd0cf63e0252d4750418450c0d9
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170716-76df105-NIGHTLY		9aac536b80ab99464b64e4ff780a4f381fefe27e
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170717-26a697b-NIGHTLY		e8ab2d65e68c5a30c4f8f20bb5ffea2964c62fea
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170718-d121ad5-NIGHTLY		55f7c15b607d2575390f86fe9c9faaea455ece80
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170719-9b99107-NIGHTLY		a51010b8e4d9fad08f03248e16e7a6b23459ef8c
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170720-4f60767-NIGHTLY		949b0472f6323f0384e869135e0373f76070148f
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170721-d7faafa-NIGHTLY		58ee3095afa425f411b71845bb5cf04faaf68b63
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170724-4ecb1f7-NIGHTLY		a17e870d0e0ce152fcec3657cd590aa40803e51b
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170725-b7cafd8-NIGHTLY		f0dd09fe57671cdfaef522fe704623e52ca526cf
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170726-9fd4d31-NIGHTLY		5139a2da0c9eac557a55fa661c7365e5a3760dee
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170727-3d9080c-NIGHTLY		104ddbfefc02bdc4930fd86bc378d4c42a1449c8
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170729-df4b3dd-NIGHTLY		8020c39962547295ce9f3267e30e2b012f481400
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170731-d916343-NIGHTLY		82fb71af251006ef3dbbd2b93a1dac56839fb0b6
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170802-4dc27d2-NIGHTLY		a903af2ffef681796b713c475bf670d529180bcf
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170803-8a0b2ad-NIGHTLY		ae7b807c3fb798c716ae702f3b849faa902e9014
ch.epfl.lamp	dotty-doc_0.3	0.3.0-bin-20170804-f0f2818-NIGHTLY		367c3acbd028010f98d24e1505215c8fa5b14de8
