cc.co.scala-reactive	reactive-web_2.8.1	0.1		906e210cfef063412dfdcc32af1c350bae37f25b
co.cask.cdap	cdap-app-archetype	4.1.3		46ff7c3987094f77852cad1db5658f2de1040ef6
co.cask.cdap	cdap-app-archetype	4.2.0		3456569911703482e5123243619aa32b599e2c95
co.cask.cdap	cdap-app-archetype	4.3.0		acef3da1899767440bf870acd6962c35456b7551
co.cask.cdap	cdap-app-archetype	4.3.1		9be0559bcbe318ce93b6e0a3cd3a4729b0a2bbdc
co.cask.cdap	cdap-app-archetype	4.3.2		823343156580eb3b5a6f9e8913e644a37e4decfe
co.cask.cdap	cdap-app-archetype	4.3.3		021a130fbaba990289d198e8381407a94268b833
co.cask.cdap	cdap-app-archetype	4.3.4		4eabb23cdd40b2c8cb7de98643d035c1d93e32bf
co.cask.cdap	cdap-app-archetype	4.3.5		2c4eb6c2b91124570cbc6501ddf64c4fe514a1e7
co.cask.cdap	cdap-app-archetype	5.0.0		04e2765755a8174111e93473f1b40cbcd90b6778
co.cask.cdap	cdap-app-archetype	5.1.0		6a9fd49f9991ebd6da0773165c71bb575426dfbf
co.cask.cdap	cdap-app-archetype	5.1.1		2478ba46dd88d39f35fe64c91d9f6e1695125123
co.cask.cdap	cdap-app-archetype	5.1.2		cbce3525cc32049663cd09a1491e910915bbf957
com.codbex.aion	codbex-aion-platform	0.5.6		N/A
com.codbex.aion	codbex-aion-platform	0.5.7		N/A
com.foilen	foilen-infra-system-core-system-junits	0.19.0		180448b6aae2c7e2acaee31bb2fd0e1e05a13c5b
com.foilen	foilen-infra-system-core-system-junits	0.19.1		d96c21c8d7c437e418a0c1229859d0b4e08cde02
com.foilen	foilen-infra-system-core-system-junits	0.20.0		c4dcdd684962dc7b0fe5eae8b274d820e2ca4f1a
com.foilen	foilen-infra-system-core-system-junits	0.20.1		4c1c64d6488f6692f0441f8dbe963b4d6f450b50
com.foilen	foilen-infra-system-core-system-junits	0.20.2		1bf43d5887279fa0eeb0c85acd3aa0595800f247
com.free-now.multirabbit	spring-multirabbit-lib	2.2.4		5b0c4d64f7863ebee2117ca3b72cb98a1ed4d25e
com.github.erikhuizinga	mockk-junit4	1.0.0		988daf2e914f637911aa674fb5d34984dbb4ee9f
com.github.hyukjinkwon	hive-shims-aggregator	1.2.1.spark2		N/A
com.github.igor-suhorukov	daemon-archetype	0.1		7eac3513ebda4e604c697a49923d27436d70a7a3
com.github.kkieffer	jCircularGauges	2.0.1		eb7a1d97bcbdebbdfbfe7abf977e7b1e49acafd4
com.github.lolgab	simulacrum_native0.4.0-M2_2.11	0.19.0		ca5f6cecfaaf36ecf2a7e1df7d4183f8c762cca5
com.github.terma	javaniotcpproxy	1.0		000c33b64a53abf80720745db054e62ecc4f37ec
com.github.terma	javaniotcpproxy	1.1		cfab18796a14bf743fcd0b5396bd91561fb98ac0
com.github.terma	javaniotcpproxy	1.5		bf9570600e385741b098dc5d4d3c98d949f99404
com.github.terma	javaniotcpproxy	1.6		d95fbbe483e34628434c0a67c372d381d3a2c091
com.holon-platform.jpa	holon-datastore-jpa-spring	5.0.0		d28b4d955249a0c6cf8ca9ebe54b2b8b619e031b
com.holon-platform.jpa	holon-datastore-jpa-spring	5.0.1		9a056adc15efd92246abb0df5ebf6e3f2b00f1cd
com.holon-platform.jpa	holon-datastore-jpa-spring	5.0.2		cb1f2f0f7b6c188195c2c46a6f4aca36912e2031
com.holon-platform.jpa	holon-datastore-jpa-spring	5.0.3		1471b6053c953d061ab5e7a26dd539553bc8f5ac
com.holon-platform.jpa	holon-datastore-jpa-spring	5.0.4		05788c5bbc5976d93edbd817da2d1d551d4f122d
