ca.gosyer	voyager-transitions-js	1.0.0-rc08		N/A
cloud.piranha.http	piranha-http-nano	20.12.0		ce23c53193ba1bf48768afa247268fd856ff3d9e
cloud.piranha.http	piranha-http-nano	21.1.0		d5086c6c6645b4539455dc1ea59b14375ad38307
cloud.piranha.http	piranha-http-nano	21.10.0		5abc33a57d8f910d464efa0a4a9cd98d612f7e74
cloud.piranha.http	piranha-http-nano	21.2.0		4a196e1218177cab665cea99256d6b2304aa424e
cloud.piranha.http	piranha-http-nano	21.3.0		47c68453b09bd15f123a2590d1e5822e4aa6f1c0
cloud.piranha.http	piranha-http-nano	21.4.0		bc89359462065334698ad46e3d7060a81e687ce7
cloud.piranha.http	piranha-http-nano	21.5.0		db98d10c7d4274a3ababd8c50a7d8211783b6f50
cloud.piranha.http	piranha-http-nano	21.6.0		dc5c6862860a1cd743e44275b82623a894bc6a89
cloud.piranha.http	piranha-http-nano	21.7.0		e64cb8ad1fca9eeef05d728d26ddd3b97b7bc8fe
cloud.piranha.http	piranha-http-nano	21.8.0		f8233a085c8d594b8e0567d86943f5522bb088be
cloud.piranha.http	piranha-http-nano	21.9.0		9d95b6f4ff04e69f29790d2d84606d66dbc7caa9
cn.iosd	simple-starter-encode	2022.3.2.0		9c7d02306242aefe0bb8cf7d02a34b51c3fa6686
cn.iosd	simple-starter-encode	2023.2.3.0		26bc308d405ce8a9ec9319359eeb2bf553d4c52e
cn.iosd	simple-starter-encode	2023.2.3.1		42b3577d0b67988a4934e5bbd44732d1d72bbe13
cn.iosd	simple-starter-encode	2023.3.0.0		ffe78013c676839e3383b1aa51ebeeb8a4889a91
cn.iosd	simple-starter-encode	2023.3.1.0		e9c471e830a7168e954caf7edaadca4ca4fa917a
cn.iosd	simple-starter-encode	2023.3.2.1		1cffcc2a5fa914e80aa50f28c89632467eb275a3
com.algolia	instantsearch-telemetry-iosarm64	0.1.0		N/A
com.algolia	instantsearch-telemetry-iosarm64	0.1.0	metadata	a10e4b0a9293ab50f32e4d31251c6ad514515a25
com.algolia	instantsearch-telemetry-iosarm64	0.1.0-beta01		N/A
com.algolia	instantsearch-telemetry-iosarm64	0.1.0-beta01	metadata	d315e829646460df1815527cc0d29d5fa634fe1c
com.algolia	instantsearch-telemetry-iosarm64	0.1.0-beta02		N/A
com.algolia	instantsearch-telemetry-iosarm64	0.1.0-beta02	metadata	b8ffc939c7975fbd419b8fe40458f886e353cf1c
com.algolia	instantsearch-telemetry-iosarm64	0.2.0		N/A
com.algolia	instantsearch-telemetry-iosarm64	0.2.0	metadata	27132c97063382319a9e8fa6cb421cde51303d8d
com.antgroup.antchain.openapi	openapi-ak_1e9d59af4f9f4c58adbda7e91b442058	1.0.0		cd4e8509226233bc97e253adbfc7b7999a5c26c5
com.appnexus.opensdk.mediatedviews	appnexus-amazon-mediation-alpha	3.0-5.6.20		N/A
com.avsystem.commons	commons-macros_2.12	1.19.0		e9ecc64d944ea8edf8b46f9bc25786aa28b3e165
com.avsystem.commons	commons-macros_2.12	1.19.10		353ebfa84c901a569833bb44529176f2e96eec9c
com.avsystem.commons	commons-macros_2.12	1.19.11		385a0b338a545d79ae10db125bc7e1ed289f9c1f
com.avsystem.commons	commons-macros_2.12	1.19.13		2336442a84cad5e03943dc9283bd37e4182d064c
com.avsystem.commons	commons-macros_2.12	1.19.14		6106e280d7cbe1180725af1e8339c1d30f7288b7
com.avsystem.commons	commons-macros_2.12	1.19.3		7075cbffda111d8ef6771de8a3edeb7d65cbccfb
com.avsystem.commons	commons-macros_2.12	1.19.4		75bde620fe2c033fa9a1954a3d1c44ab1989ea81
com.avsystem.commons	commons-macros_2.12	1.19.5		243f7394a8a250826940988e88dc11be990fef0c
com.avsystem.commons	commons-macros_2.12	1.19.6		25e7b94e148b8de305e0c19dae737d506e89029a
com.avsystem.commons	commons-macros_2.12	1.19.7		2304ebe51adbcdb9b4bafb24059828829b84b288
com.avsystem.commons	commons-macros_2.12	1.19.8		3bb1e0160748c63ae5c4fab820ea9fe0803db122
com.avsystem.commons	commons-macros_2.12	1.19.9		3f7457ac8a26f30c784829513be06492c560574b
com.avsystem.commons	commons-macros_2.12	1.20.0		578428b26ca45d16f2fc9275a9a6b2bfdf0bdb81
com.avsystem.commons	commons-macros_2.12	1.20.1		445750c0cab67d12eb13fca04331f0d1af977841
com.avsystem.commons	commons-macros_2.12	1.20.2		ee8b8484cfc9408e8e30a109f713a57cf0086780
com.avsystem.commons	commons-macros_2.12	1.20.3		32018b334dc72a0300f8e0399e41251cbec36f83
com.avsystem.commons	commons-macros_2.12	1.20.4		9c6c2b5b292409055ef34d7f2be9817c1d87b695
com.avsystem.commons	commons-macros_2.12	1.20.5		1e1eaa5109ad1f2acb1e23f6f0d21dcbda3ac0cc
com.avsystem.commons	commons-macros_2.12	1.20.6		729d2f69c6d39cd6c996e7ecc236d5dbc22738c4
com.avsystem.commons	commons-macros_2.12	1.21.0		98d44e6258c1c133b72b26c377c741f7e7005eb3
com.avsystem.commons	commons-macros_2.12	1.21.1		dc04d4efb7163f176864c447cbbcbb5bdb08f853
com.avsystem.commons	commons-macros_2.12	1.21.2		3e571d4c13ef6b539aa08227e96a59d10ded1fe0
com.avsystem.commons	commons-macros_2.12	1.21.3		28f48c3004dcca7ddee7e47bb64b7bfbffd0226b
com.avsystem.commons	commons-macros_2.12	1.21.4		908ca424c71ff317e2fc5dec853d025e7955f60b
com.avsystem.commons	commons-macros_2.12	1.21.5		25365d89c302496b9a534ae6e763e615983c3f30
com.avsystem.commons	commons-macros_2.12	1.22.0		0d39300808ae0d82bbba426f864d192505058b1e
com.avsystem.commons	commons-macros_2.12	1.22.1		6b7968a03cdcb108c2d017d726d2148e908c7b57
com.avsystem.commons	commons-macros_2.12	1.22.2		90fd7477d5a59595f4731f8f7090b2a862f6fb98
com.avsystem.commons	commons-macros_2.12	1.22.3		06f87cbbe4c6a6f6d3e54dc7a71e7b7a0ea8c415
com.avsystem.commons	commons-macros_2.12	1.22.4		9d0728d4b71234ffec038d408509472f28626932
com.avsystem.commons	commons-macros_2.12	1.22.5		8d090972ff2ad5c95433e4aaec990af09bf8bdb3
com.avsystem.commons	commons-macros_2.12	1.22.6		c7942ddbd2d9797b54a5700ccf526e1d38ac4728
com.avsystem.commons	commons-macros_2.12	1.22.7		36b934f51111e69b4b7f33ecbb36b6abd5a151d6
com.avsystem.commons	commons-macros_2.12	1.23.0		5c3f63874f400595bb0fea5a41f7c06e566a51c9
com.avsystem.commons	commons-macros_2.12	1.23.1		7f2ebdbfcb037a8533e3d262d7e3179977e47755
com.avsystem.commons	commons-macros_2.12	1.23.2		897d712227948882ce14dfbac1ed048c67a26777
com.avsystem.commons	commons-macros_2.12	1.24.0		8825b69cc241c47b4735830131557d5d8e0d469b
com.avsystem.commons	commons-macros_2.12	1.24.1		94349dc9a30eca1084bc5cdb30f488b718ef4021
com.avsystem.commons	commons-macros_2.12	1.24.1.1		a82f1e4b9f88ba4ad8a5df1d1f3658e637c24f15
com.avsystem.commons	commons-macros_2.12	1.24.2		5d9099ddc39871dc05ab90d7067fb70eaf0d0858
com.avsystem.commons	commons-macros_2.12	1.24.3		d59822dc9de05d585a38c20ed17750226eafa294
com.avsystem.commons	commons-macros_2.12	1.25.0		fd3440f3a7243a8b96c0c568f8b717e3a8464970
com.avsystem.commons	commons-macros_2.12	1.25.1		a4c6b6fbb53b235e837bc54b6589f368bc099036
com.avsystem.commons	commons-macros_2.12	1.25.2		9af31e5c8ca25215af2668c1f5b0958b223a572b
com.avsystem.commons	commons-macros_2.12	1.25.3		ece0f38d76307dc62cf2034c38614df19247886b
com.avsystem.commons	commons-macros_2.12	1.25.4		bba4725445be273e438c97754a07ceabeb63d19b
com.avsystem.commons	commons-macros_2.12	1.25.5		00106fc8c458282f3dc5745031ded5741670f53d
com.avsystem.commons	commons-macros_2.12	1.25.6		05ab32d2fae8f2eac0c5ed9b0df2e73beaaba98a
com.avsystem.commons	commons-macros_2.12	1.25.7		761fb90113b7f479a45bba7ee62bf5af03d440a6
com.avsystem.commons	commons-macros_2.12	1.25.8		0012672cf17e2c71f00696f04ad0545e87f69f21
com.avsystem.commons	commons-macros_2.12	1.25.9		05a0174a3dd569ac578173b40942b589fabbaeba
com.avsystem.commons	commons-macros_2.12	1.26.1		8adf2ca49a6d2e1804e8be4d1a3b3bc9631f921d
com.avsystem.commons	commons-macros_2.12	1.26.2		0ebb9a0cff413ce9267895af6cd43991edd6975d
com.avsystem.commons	commons-macros_2.12	1.26.3		ad39c0ddd101e67e57be4c14b97514262d394fd1
com.avsystem.commons	commons-macros_2.12	1.27.0		9879a7c0b33f5f1b793c6854046cb66b3fa4f37f
com.avsystem.commons	commons-macros_2.12	1.27.1		b12e2b9dcec358351d99fd2e78a833ab2cdc254d
com.avsystem.commons	commons-macros_2.12	1.27.2		e778a55ec9694e197255f15ed882dd50b6f87a82
com.avsystem.commons	commons-macros_2.12	1.27.3		8f0bc904fdc1c64935457a1871fbfc7a757abe45
com.avsystem.commons	commons-macros_2.12	1.27.4		7e56ed7888e5d0a66d96a602ef23d668fb1159b0
com.avsystem.commons	commons-macros_2.12	1.27.5		a59ff1209884c004d57273d302447d9102c8c78b
