ai.eye2you	usbCameraCommon	2018.10.2		N/A
ch.epfl.scala	directory-watcher	0.8.0+6-f651bd93		d640a2f99c81b5dfad35d322dfd968076700d5c7
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.0.0		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.0.0	metadata	f3b4596c739421b001386c7f56798d687503084a
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.0.0-rc1		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.0.0-rc1	metadata	225d5f31b7aefba7457334791fb29cc0c3b69b25
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.0.0-rc2		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.0.0-rc2	metadata	136407966e400b8b102d8934374005c94ba3d2f4
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.0.0-rc4		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.0.0-rc4	metadata	40188b24dc1e0fd2cb83e5a9a959eb56dd9323ad
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.0.2		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.0.2	metadata	f3c380a050eecff1295e0cc22bb3f38c326f60d5
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.0.3		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.0.3	metadata	df9f933c7247a3783d916869e51eaca0c361d567
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.1.0		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.1.0	metadata	1a3ace9f6e18c487adee32a395c6a078aa238701
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.1.1		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.1.1	metadata	9f2e0bda88aa83d598182df99ed7637681f003a5
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.1.2		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.1.2	metadata	26cd304364cebc959532bc06919a093a2b5170d0
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.1.3		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.1.3	metadata	97dcd65b2d023cb81af29aa4bc07c02d52096006
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.2.0-M2		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.2.0-M2	metadata	d2c1d95c91819c0ce9df38e009390389fc363de6
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.2.1-alpha		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.2.1-alpha	metadata	635136a67abbc79814b5dd158b4505159aa328c4
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.2.2		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.2.2	metadata	4d32866a4478f6e79f6d92be6fe0b3974b058ff6
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.2.3		N/A
co.touchlab	kermit-crashlytics-watchossimulatorarm64	1.2.3	metadata	fbf876c83bd0ee5efb740429a4f978bbc5b072d9
