academy.alex	custommatcher	1.0		db8fadf4836f39012608b5fd3cfe09f275bd6cb5
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.10.0		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.10.0	metadata	536e4330db7a0701a2cbf465e102b5835c1a007b
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.10.1		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.10.1	metadata	263f0b2b1485161781546d2c1f5059e4ac11d9c9
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.11.0		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.11.0	metadata	a71a364f70e38a3e51d5acf560b07b42da98f11c
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.11.1		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.11.1	metadata	69e732d6d6a5e696447e5d1f395cf3e56c403045
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.12.0		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.12.0	metadata	4bcb0438f2d78d1cbe9dc823cd370edd50a3673b
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.12.1		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.12.1	metadata	69beeb6a27513c969fe5e4922fe0399155d36d1f
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.13.0		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.13.0	metadata	d8260de713209a889c830d87e429178a21ee9db8
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.14.0		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.14.0	metadata	02c91913cd0feaf6947d9528658bd13c4179e2f1
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.15.0		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.15.0	metadata	7bdf8458454ffe742ee44780c1b256aaa1a85070
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.15.1		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.15.1	metadata	1b847c1fc8cbac99ca82fdecc69f957b6266a382
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.15.2		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.15.2	metadata	28fad9643fc0467de74e7f3ac4fc9d7c6873da5a
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.16.0		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.16.0	metadata	6c9780136f70e3df1c103be0500126e84a162d82
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.16.1		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.16.1	metadata	b50d8b187e2db29d3ec6cefaa3d2a1a209db5f12
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.6.0		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.6.0	metadata	95452712ba4d610fc04e4ddf742e3d8fdb1a5f94
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.7.0		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.7.0	metadata	f04129cd4f990d4b82af28af13071901ababa3f4
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.8.0		N/A
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.8.0	metadata	0d9b650ec254c36891caa87e9f324a4eab82bdcf
at.asitplus.signum	indispensable-cosef-iossimulatorarm64	3.8.1		N/A
