at.a-sit	grapheme-clusters-mingwx64	0.0.1		N/A
club.javafamily	javafamily-utils-date	2.3.2-beta.1		7c3d9192c5f80db185ee8b83e3c846f5a7746169
club.javafamily	javafamily-utils-date	2.3.2-beta.2		f4b3d8d9bca696c1c2059913f55636a69b60e691
club.javafamily	javafamily-utils-date	2.3.2-beta.3		17c91fcecfd86ea648400b50ea2470106622a23a
club.javafamily	javafamily-utils-date	2.3.2-beta.4		290a5d97d32b60dc50329feb820636f396222e26
cn.jexxs	jexx-template	1.0.10-RELEASE		1fd58752e7bca73745ee56a0650cce6f2573a165
cn.jexxs	jexx-template	1.0.11-RELEASE		5068df54e9075ec3bc16b3314bdaec28444330e9
cn.jexxs	jexx-template	1.0.12-RELEASE		fca1c39595300c5d7b7fc33b8736b2318adf35fd
cn.jexxs	jexx-template	1.0.13-RELEASE		b469aad4f50393b90235405bd7b2bd590e91bf44
cn.jexxs	jexx-template	1.0.14-RELEASE		c0fb36b948ff7aa7c46acb1cbb1b673c8ad58e6e
cn.jexxs	jexx-template	1.0.6-RELEASE		9382b9c9c4d5af5d2b61bb3c9094d07be147bde5
cn.jexxs	jexx-template	1.1.0-RELEASE		3a20e773f922963008946a3ebf5b3c66380cbac8
cn.jexxs	jexx-template	1.1.1-RELEASE		e34ed986a51395087512da3f688574d9db041f25
cn.jexxs	jexx-template	1.1.2-RELEASE		a627f2facac681e78c3eda94a6ada4bec67ba967
cn.jexxs	jexx-template	1.1.3-RELEASE		b2b367b1f2012954f9884465980afec2c3403c0a
cn.jexxs	jexx-template	1.1.4-RELEASE		87aff8cc963ce013cee4f8756b944441a1ff1b9d
cn.jexxs	jexx-template	1.1.5-RELEASE		492a033636e07d1678ada8770673fbe400b11f02
cn.jexxs	jexx-template	1.1.6-RELEASE		c100d2a5d9a64529cc4bc8a0229ee890c849ea13
cn.jexxs	jexx-template	1.1.7-RELEASE		bb66a3811faccace6ec32a09607cae0f2732a1e7
cocoon	cocoon-template	2.1.11		842268549a96be3bf7c07bbf52e976e0bf49a2ad
cocoon	cocoon-template	2.1.9		d665b6110cbe156604eab556f0e501a7bf09e5ae
com.babylonhealth.lit	macros_2.13	0.14.10		87d5caff4ef647760636302d9d1b2643b57418fa
com.babylonhealth.lit	macros_2.13	0.14.12		cc910fbd7f5ae18615954f5f12e0914ea3f20ac2
com.babylonhealth.lit	macros_2.13	0.14.13		91fece083b25a2c04da8859553af5190dfb47e85
com.babylonhealth.lit	macros_2.13	0.14.14		df02dc26113698ea7b7d67934a834ba9827500e0
com.babylonhealth.lit	macros_2.13	0.14.15		bdc80b390772d0a0437c9d387fb3ae95d7c42c05
com.babylonhealth.lit	macros_2.13	0.14.16		5321172821824572a9ed7598f30902580cfe1844
com.babylonhealth.lit	macros_2.13	0.14.17		17c4bb0c1399dea94ff08357546e4d0bbfbfe386
com.babylonhealth.lit	macros_2.13	0.14.6		1a882f359518a0181851d7680d8b314697b0f921
com.babylonhealth.lit	macros_2.13	0.14.7		0091ddde7f071f5077fa9aa15d9570fdac65ea4f
com.babylonhealth.lit	macros_2.13	0.14.8		ab761e2deeed9efd8959cfcdea2cdbc5d7e44a8f
com.babylonhealth.lit	macros_2.13	0.14.9		d5354370cda52cea5bad59b2c23c70b5332c871a
com.bestxty	orderd-junit	1.0.1		f373fdcf8f350f4586fa422da4c95dd16321b4c7
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.14		112d35398a8d25acbe7d9837f8107c6b9163b1c3
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.15		5d85620f1d7b77b02ebe1ba978ee8f06ebe456cf
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.16		cbf9665bebafbf3d0f4ba07a4026163a1bca435a
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.17		9ddf080d7cf2ae75fafade57fc0f17e54974b726
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.18		62c3e47c49d4a4cc2294cc8b1d5e7bc75a0abad5
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.19		d8ea6f634edd7b39e79f6f6f924f0dc1f650c2ef
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.20		e7027b369a706f3bb57cb3cb1bdcaca8305a08cb
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.21		118f3e9dac58c1a6428139a60802b7f1896610a2
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.22		457c837868d661383227143249780540615baf09
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.23		f992b671f1cbcaeb38ae1bc6ecba215e107f7f7c
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.24		a342ebfc41b75b54f5b43813652153abf720d729
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.25		de92747152c4f3a351db8ecb1e484cf6aa20a17f
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.26		ab549b0e3477619e8ea5c8e5059c7654ae9bb137
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.27		ca9445b30fbae5d5f9ef6f738a987cb8897d6dc6
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.28		54e15472f292135f163cf6ae8c4e0964eab4ef65
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.29		00839b642218b183507ad7974792eeb7b86f3989
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.30		e3a193cc442e7193ae0e2ec139ad5157ab982921
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.31		8d5e00fe17b1d1475fe0eb053f62381565f0549b
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.32		bed8860e94a402a3945cb24ece3a261bf9b35660
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.33		dc004ada7cf835589063f26b83309da9cf1b78c7
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.34		ddbd9db8d08394a2c42634149b6c0b16528718e9
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.35		f54d04d7776b4b00264ab3404fcc65ab1bbfef10
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.36		f40d23db66dcc79f9037bdca7a271fafbd766d3f
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.37		047949d37a736af9cb8a908763eb5c4792e7458f
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.38		231b708bdb80bf25988a80b6ee745fee9c7e8daf
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.39		4d2bd354068bf3e96a8a72ae1f9346ea1e34b66b
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.40		9ec606db4b1066de8afc5c3ac30a5e7202a6f934
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.41		d0325ab7cbe7efc0f51184c3f24aa7a0438bd29d
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.42		f112dd6133cb4615c96cc8c14e0c752cac6b935f
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.43		9c2f7c54bbd73fc4b2d1f52f1e199a8c16f28f18
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.44		0f4dd662a37f6f0e087b6e26c0e9f5c03b649345
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.45		f4569f003584c42f30335548683939d8fb035596
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.47		c920f64e269dc51253321254224bf8f6b519c629
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.48		1db3ff201fb389694a7cb8ca3aa3464c204f926c
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.49		5152c86267df6b73238b3ba126d42302331c3ba6
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.50		0a01a75981a28fde42af2b49fde2a1f9f3f00e94
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.51		4a35c76099a90cec9147558fc8ee3938e2473d67
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.52		6ca2ca8f6f67db67ce6a224de5c01ddf652486da
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.53		18bb570a5ecaf83af2bae95b3ac99a7adac17927
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.54		23960509e6ae70b6643316cadd80111a82f5f759
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.55		2bf732fff23aedc894f19be0820724ac25a73770
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.56		53e3e1adc8895d7477eb0206d0cc35ffdbcba7ee
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.57		e4311858b237a9bffbde1da036dbb8f0af97ac73
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.58		898d327c2c7c9ee547487052329a3cca5afff2c4
com.flowcentraltech.flowcentral	flowcentral-jetty	1.0.59		9b5949784d88da15eff95560490e907cebf45c99
