com.apollographql.apollo3	apollo-normalized-cache-api	3.7.0	all	7e6ed3bc92fdba7b1055b3fd6dd6c97e92904ca5
com.apollographql.apollo3	apollo-normalized-cache-api	3.7.1		b13fe18af7ac2466181f71cffb61d7d410291359
com.apollographql.apollo3	apollo-normalized-cache-api	3.7.1	all	c81a251120e9023a4eb5ace9fc7f36e80152bdf5
com.apollographql.apollo3	apollo-normalized-cache-api	3.7.2		46d962b4563759a0d88b21d825103a3376eadff5
com.apollographql.apollo3	apollo-normalized-cache-api	3.7.2	all	d72cfeaf2df462c1d0f2c78f5c674a95a7b4207f
com.apollographql.apollo3	apollo-normalized-cache-api	3.7.3		7a20675c228698e302947fd7dc328ab9daf2486c
com.apollographql.apollo3	apollo-normalized-cache-api	3.7.3	all	d1c8af9a2a981e1cf93e833279c465ca838c41ca
com.apollographql.apollo3	apollo-normalized-cache-api	3.7.4		28e6ebcbb6c6f6096ff494b479c3afa19decfd2f
com.apollographql.apollo3	apollo-normalized-cache-api	3.7.4	all	41fcbd61f2e8023e9b78e7243f4c601a7734dfaa
com.apollographql.apollo3	apollo-normalized-cache-api	3.7.5		f3cd03f0b51e2caa642443ce39751e55c670844d
com.apollographql.apollo3	apollo-normalized-cache-api	3.7.5	all	c1966a61325dbbcd84eae09b162cf7533a184585
com.apollographql.apollo3	apollo-normalized-cache-api	3.8.0		a8104692ee132365ef211e6425e993822bbc0920
com.apollographql.apollo3	apollo-normalized-cache-api	3.8.0	all	8b07c2cc63dce7966e98dfa75706e0b2975db061
com.apollographql.apollo3	apollo-normalized-cache-api	3.8.1		d6ff38f3dbc228ed42eebb9437910420a438cdf7
com.apollographql.apollo3	apollo-normalized-cache-api	3.8.1	all	a67fac0c372ff428a48c90c89c896985200363b7
com.apollographql.apollo3	apollo-normalized-cache-api	3.8.2		94b47f9131843f40db9330eee09b6195b6262bf0
com.apollographql.apollo3	apollo-normalized-cache-api	3.8.2	all	0aebde4407725b3fb2d62416a0a07c6edc7c86e9
com.apollographql.apollo3	apollo-normalized-cache-api	3.8.3		8e4644df5757011b1a218be7b2816b206a488aea
com.apollographql.apollo3	apollo-normalized-cache-api	3.8.4		3c92e0ff92b0c9841b2545c8824fcca0bc665fd6
com.apollographql.apollo3	apollo-normalized-cache-api	3.8.5		6d9baaba7425bf1e68e6d1129bbad2baa76361fc
com.apollographql.apollo3	apollo-normalized-cache-api	4.0.0-alpha.1		aa23640bbacb48e12e9c4c58a7869cf9aec2f2cb
com.apollographql.apollo3	apollo-normalized-cache-api	4.0.0-alpha.2		2d8b739bfb7a15229d09522fa8d3acff33c68063
com.apollographql.apollo3	apollo-normalized-cache-api	4.0.0-alpha.3		c5151027dceb997d666de78a341cc86dd4d8aa37
com.apollographql.apollo3	apollo-normalized-cache-api	4.0.0-beta.1		29d6bfca6d5659e852100327e1d5e05a14b14d60
com.apollographql.apollo3	apollo-normalized-cache-api	4.0.0-beta.2		8a4e1d3f37fac661dd9de57e2c464a8665bf1c05
com.apollographql.apollo3	apollo-normalized-cache-api	4.0.0-beta.3		1162ac3746aa9fafcf4b9b99c7793c78b08879e9
com.apollographql.apollo3	apollo-normalized-cache-api	4.0.0-beta.4		1a67a4890cd3302d422126882910926d35b8c8ea
com.apollographql.apollo3	apollo-normalized-cache-api	4.0.0-beta.5		38265634725c0ceda2ccb1aed3820322da86fc10
com.apollographql.apollo3	apollo-normalized-cache-api	4.0.0-beta.6		d4f456390e155983fb0ec386df76799491651781
com.apollographql.apollo3	apollo-normalized-cache-api	4.0.0-beta.7		ec8ad278daa5aec6c1785b2fac561964d94d27b5
com.classpass.oss.flink.kotlin	flink-core-kotlin	0.1.1		2bf8ca151b01430d3e635692be81ac417f89081b
