ai.xpl	xpl-android-client	1.0.0.0		N/A
app.cash.redwood	redwood-widget-testing-jvm	0.10.0		36242fe7aa8e9baee6fb40ac826421dd47070138
app.cash.redwood	redwood-widget-testing-jvm	0.11.0		36242fe7aa8e9baee6fb40ac826421dd47070138
app.cash.redwood	redwood-widget-testing-jvm	0.12.0		33f95b7edc95e07cf3207b4635d46bcdebcf82c1
app.cash.redwood	redwood-widget-testing-jvm	0.13.0		33f95b7edc95e07cf3207b4635d46bcdebcf82c1
app.cash.redwood	redwood-widget-testing-jvm	0.14.0		33f95b7edc95e07cf3207b4635d46bcdebcf82c1
app.cash.redwood	redwood-widget-testing-jvm	0.15.0		33f95b7edc95e07cf3207b4635d46bcdebcf82c1
app.cash.redwood	redwood-widget-testing-jvm	0.16.0		33f95b7edc95e07cf3207b4635d46bcdebcf82c1
app.cash.redwood	redwood-widget-testing-jvm	0.17.0		a4993bae2d9a68d5f6eab1882e44ed5b17b49898
app.cash.redwood	redwood-widget-testing-jvm	0.3.0		1637673684fdc316ddd583884b978f445f094854
app.cash.redwood	redwood-widget-testing-jvm	0.4.0		197120f57546b9c9357b2addaeeeb66de210c41e
app.cash.redwood	redwood-widget-testing-jvm	0.5.0		197120f57546b9c9357b2addaeeeb66de210c41e
app.cash.redwood	redwood-widget-testing-jvm	0.6.0		f68ccd4a7f235f688c2416b4cdfb8afa8b81e4dd
app.cash.redwood	redwood-widget-testing-jvm	0.7.0		f68ccd4a7f235f688c2416b4cdfb8afa8b81e4dd
app.cash.redwood	redwood-widget-testing-jvm	0.8.0		130a0909a6481eed181cb80cb5508de389242de7
app.cash.redwood	redwood-widget-testing-jvm	0.9.0		130a0909a6481eed181cb80cb5508de389242de7
at.asitplus.signum	indispensable-macosx64	3.10.0		N/A
at.asitplus.signum	indispensable-macosx64	3.10.0	metadata	50504525272c51e5ba01f65190808405922fe728
at.asitplus.signum	indispensable-macosx64	3.10.1		N/A
at.asitplus.signum	indispensable-macosx64	3.10.1	metadata	c773ccd2e7f67cbf9ffe2bf5730a93107d74faaa
