cloud.altemista.fwk.framework	cloud-altemistafwk-bom-tsf-custom	3.1.0.RELEASE		N/A
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha12		N/A
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha12	metadata	74bfab16b4c27d23fd598ea339bbfdcd48c4313a
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha13		N/A
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha13	metadata	650d3c18c95711fbe60d565206bac411432c6921
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha14		N/A
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha14	metadata	ae1136d11f604d6462090a81ea39cbf8997fffe7
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha15		N/A
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha15	metadata	b745156766643129a724aea2630dfb3348e80468
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha16		N/A
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha16	metadata	52c20d33de5d581c6e16413eef13c9d692106b7c
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha17		N/A
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha17	metadata	85ad25c418e60f614802fc52c947f3c00bea86bf
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha18		N/A
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha18	metadata	5ec01f2c04889649fa44774216ac558442cf7d84
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha19		N/A
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-alpha19	metadata	f46a1dc3573efefb721ccf38b13f662c72d3044e
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-kotlin19-alpha10		N/A
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-kotlin19-alpha10	metadata	1057a681986d471663288cc4f3ff6fc380c2fbd6
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-kotlin19-alpha11		N/A
com.attafitamim.mtproto	security-digest-iossimulatorarm64	3.0.3-kotlin19-alpha11	metadata	eae2353916e16db1b852456e45813789c2983321
com.augmentedlogic.flere.service	flere-service	0.1.1		1adba56af147e14d6047587d404ec175f9b72992
com.bkahlert.kommons	kommons-debug-jvm	0.1.0		8a6293727382aab89d00873f92a6843bd4ad7e1e
com.bkahlert.kommons	kommons-debug-jvm	0.10.0		c9212608ac4dbff4ab21b2de8d767ef5e2020134
com.bkahlert.kommons	kommons-debug-jvm	0.10.1		e707430b2a6d52e186f3179e041df922ca135c80
com.bkahlert.kommons	kommons-debug-jvm	0.11.0		bb8192b535c064d8d6d70c32b84f3dba9ce16047
com.bkahlert.kommons	kommons-debug-jvm	0.12.0		955c96eb57e49939a4825d74cd5093d7eccca869
com.bkahlert.kommons	kommons-debug-jvm	0.13.0		d14ea7f1a82085b9ed1e61fce8b563722193fba0
com.bkahlert.kommons	kommons-debug-jvm	0.14.0		643b92dbbad339c1169cb704d1139420b96cf9b6
com.bkahlert.kommons	kommons-debug-jvm	0.2.0		8fbff7af62aafb089d4ebc225993b0f834ecf5f7
com.bkahlert.kommons	kommons-debug-jvm	0.3.0		34dd22f47904474fa7b389069e8c7ecab059fbe2
com.bkahlert.kommons	kommons-debug-jvm	0.3.1		f37b6586f7b6b754b32df78ded4df38847bb6a46
com.bkahlert.kommons	kommons-debug-jvm	0.4.0		d55b2eb0286f32cf9b247b19485be7fbf7b99c76
com.bkahlert.kommons	kommons-debug-jvm	0.5.0		ce8213f1aed25c6d476a879fc66ddb17ab93bc46
com.bkahlert.kommons	kommons-debug-jvm	0.6.0		0d22b324a3d15e6ca0f1082b26a15608cb5a3e13
com.bkahlert.kommons	kommons-debug-jvm	0.6.1		320113fe19dd05bfb4799aa8346b40cce41ced7f
com.bkahlert.kommons	kommons-debug-jvm	0.7.1		bd88256d3c9e72125e2df9304156253655465afb
com.bkahlert.kommons	kommons-debug-jvm	0.8.0		9fe5703e0e0edbe2b38ccca400b8d5ede2803398
com.bkahlert.kommons	kommons-debug-jvm	0.9.0		9d5c4a906dfcdee3750cc7ee6f11a8ee7ee9d5cd
com.bkahlert.kommons	kommons-debug-jvm	1.12.0-rc.1		8215dd18a7f31db083c00a4333728d40a90de3c7
com.bkahlert.kommons	kommons-debug-jvm	2.0.0		91049003907be0c73d41fe66dfbf6fe66835adfd
com.bkahlert.kommons	kommons-debug-jvm	2.1.0		c73feaeb5cb6564d145909d01ad11c5cdf5c8fe8
com.bkahlert.kommons	kommons-debug-jvm	2.2.0		7562e3dbcc9d2ebf446b75b8ff2ff75fcf54b1f6
com.bkahlert.kommons	kommons-debug-jvm	2.3.0		e2583f26fa82fe2a9d78c8b7ce27856dee67215c
com.bkahlert.kommons	kommons-debug-jvm	2.3.1		390479483d7b157995d3032b9bbab588c98f41be
com.bkahlert.kommons	kommons-debug-jvm	2.4.0		8587e9a5f7e6777d6aa7043bee85ba8511fed5bd
com.bkahlert.kommons	kommons-debug-jvm	2.4.1		c391051bc4fd9b0a3130f30abd86e82731387f2a
com.bkahlert.kommons	kommons-debug-jvm	2.5.0		ab256a747404108ae18e2d4b3539ea1f7c6013f6
com.bkahlert.kommons	kommons-debug-jvm	2.6.0		0b30f98538fd8f8d01e17ac9dad1c8a51033f32f
com.bkahlert.kommons	kommons-debug-jvm	2.7.0		749fc77adb52f6b91b56006da735beca4ac2ab75
com.bkahlert.kommons	kommons-debug-jvm	2.8.0		22cac5479a292b485f4800ed5ff7000135bad0a2
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.5.0		d172c638c656085c13641649650c65aa6d2ae2ad
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.5.0-Alpha3		4b4652a68670f8e6ab767f515174ed573d5f2985
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.5.0-Alpha4		8e0d329b1e24a1389e43a7c304665b3dfe8812f7
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.5.0-Alpha5		1fbf23187fe119e0d87937557f4ed6713b1be426
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.5.1		a4dd3891c07b250b93ed707172e4198635e8e9bc
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.0		7b83db520de4b4bdc65e6704c8152c4dd844839c
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.0-Alpha1		1db63009b9f689cb783dc080c74e1acf84ed609e
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.0-Alpha2		062d331e9f933b4885fd94b93f18442e0640f62a
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.1		d9d747226938e22eb2179ecaabd85d7be7272f8b
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.10		da1c4387234a82e9c77bbfcf19f5593068ae55cf
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.11		a6f47fea9a3eb33e9e18723bba1b46f4ae48b959
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.12		876454edfa65adcbe27d179aa97aee8ebb3a098e
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.13		0fbddf42c819aaebbd7ef1a00db02ead7cb0bb2d
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.14		820c22809d7cd5a9f9c0f256c746094e080f3ccb
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.15		958520beed7a6a9edd60aea22cbe434968f3342d
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.2		221290d4ec932fcb3f5c9306cb6e748ec8078138
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc	1.6.3		ccd875f4297b21b6cb73da1c892ed0a38403b215
