au.com.domain	accounts-autocomplete	1.0.0		N/A
br.com.objectos	objectos-http	0.1.0		bdf37d4f308bd59390399145efd35f7886a0fa5d
br.com.objectos	objectos-http	0.7.0		e1f3bc5c04fad58a54c392969e73191112a214e6
br.com.objectos	objectos-http	0.7.1		8f523139e2e71e623b97ee319d1dd46dbe4d5534
ch.epfl.scala	logic	0.13.17-sourcedeps		4d7bf46e45dfd63d0fdf14095a35c489ce456599
ch.tutteli.atrium	atrium-api-infix-en_GB-jdk8-common	0.12.0		78a013d8374ae2bd1808baf1e84f6679aa275385
ch.tutteli.atrium	atrium-api-infix-en_GB-jdk8-common	0.9.0-alpha2		16a037bab7e1b560538afc1192460b3ffaa655f7
ch.tutteli.atrium	atrium-api-infix-en_GB-jdk8-common	1.0.0		N/A
ch.tutteli.atrium	atrium-api-infix-en_GB-jdk8-common	1.0.0-RC2		N/A
cn.com.fishin	Tuz	0.5.2-BETA		fdf54f4c0577cccba38e452fe8884ed61b1859be
cn.com.fishin	Tuz	0.5.5-BETA		20c66611d677cc7b37b7cc0e41269841c365d3c2
cn.com.fishin	Tuz	0.5.7-BETA		N/A
cn.com.fishin	Tuz	0.6.0-FINAL		3fa0569c4d763346cceb7797f85a9187beda4334
cn.com.fishin	Tuz	0.6.4-BETA		6c8a949761a9b07b93c39a13caaec71f95250a8b
cn.com.fishin	Tuz	0.6.6-FINAL		9c69cac85d093d42f575ff3010109bd9cf816485
cn.com.fishin	Tuz	0.6.7-FINAL		9617053cc1c4b62d1084beea18e78b2e829758ea
cn.com.fishin	Tuz	0.7.0-FINAL		7e1228d1624635c9a48ad6a5c6125740d86b00b4
cn.com.fishin	Tuz	0.7.2-FINAL		d8fb3cc67a7f028fdf0b4097768eaad5e48c7717
cn.com.fishin	Tuz	0.7.4-FINAL		996a4eeb41719ad21a44ab8a7f315b0f2eac9aaf
cn.com.fishin	Tuz	0.7.8-BETA		8c6c0fdcc59f2e6025e48bc023b4cfd3a236b29e
cn.com.fishin	Tuz	0.8.0-FINAL		37325275d03bc943299c8fd5539f3c1b31ac5d71
cn.com.fishin	Tuz	1.0-FINAL		4a9741f0c14b8ac03909f9908c257893796d98b7
cn.lingyangwl.framework	file-upload-spring-boot-starter	1.1.0		daa0f013e5dc7af83ee5114468df2e099714a798
cn.lingyangwl.framework	file-upload-spring-boot-starter	1.2.0		01ed21288919b4977474b50cb6232df197adcf2f
cn.lingyangwl.framework	file-upload-spring-boot-starter	1.3.0		d69f203119118f9d2dacdde47de406303515ea69
com.adobe.cq	core.wcm.components.parent	2.0.0		N/A
com.adobe.cq	core.wcm.components.parent	2.10.0		N/A
com.adobe.cq	core.wcm.components.parent	2.11.0		N/A
com.adobe.cq	core.wcm.components.parent	2.11.1		N/A
com.adobe.cq	core.wcm.components.parent	2.12.0		N/A
com.adobe.cq	core.wcm.components.parent	2.12.1		N/A
com.adobe.cq	core.wcm.components.parent	2.12.2		N/A
com.adobe.cq	core.wcm.components.parent	2.13.0		N/A
com.adobe.cq	core.wcm.components.parent	2.13.2		N/A
com.adobe.cq	core.wcm.components.parent	2.13.4		N/A
com.adobe.cq	core.wcm.components.parent	2.14.0		N/A
com.adobe.cq	core.wcm.components.parent	2.15.0		N/A
com.adobe.cq	core.wcm.components.parent	2.15.2		N/A
com.adobe.cq	core.wcm.components.parent	2.16.0		N/A
com.adobe.cq	core.wcm.components.parent	2.16.2		N/A
com.adobe.cq	core.wcm.components.parent	2.16.4		N/A
com.adobe.cq	core.wcm.components.parent	2.17.0		N/A
com.adobe.cq	core.wcm.components.parent	2.17.10		N/A
com.adobe.cq	core.wcm.components.parent	2.17.12		N/A
com.adobe.cq	core.wcm.components.parent	2.17.14		N/A
com.adobe.cq	core.wcm.components.parent	2.17.2		N/A
com.adobe.cq	core.wcm.components.parent	2.17.4		N/A
com.adobe.cq	core.wcm.components.parent	2.17.6		N/A
com.adobe.cq	core.wcm.components.parent	2.17.8		N/A
com.adobe.cq	core.wcm.components.parent	2.18.0		N/A
com.adobe.cq	core.wcm.components.parent	2.18.2		N/A
com.adobe.cq	core.wcm.components.parent	2.18.4		N/A
com.adobe.cq	core.wcm.components.parent	2.18.6		N/A
com.adobe.cq	core.wcm.components.parent	2.18.8		N/A
com.adobe.cq	core.wcm.components.parent	2.19.0		N/A
com.adobe.cq	core.wcm.components.parent	2.19.2		N/A
com.adobe.cq	core.wcm.components.parent	2.2.0		N/A
com.adobe.cq	core.wcm.components.parent	2.2.2		N/A
com.adobe.cq	core.wcm.components.parent	2.20.0		N/A
com.adobe.cq	core.wcm.components.parent	2.20.2		N/A
com.adobe.cq	core.wcm.components.parent	2.20.4		N/A
com.adobe.cq	core.wcm.components.parent	2.20.6		N/A
com.adobe.cq	core.wcm.components.parent	2.20.8		N/A
com.adobe.cq	core.wcm.components.parent	2.21.0		N/A
com.adobe.cq	core.wcm.components.parent	2.21.2		N/A
com.adobe.cq	core.wcm.components.parent	2.21.4		N/A
com.adobe.cq	core.wcm.components.parent	2.22.0		N/A
com.adobe.cq	core.wcm.components.parent	2.22.10		N/A
com.adobe.cq	core.wcm.components.parent	2.22.12		N/A
com.adobe.cq	core.wcm.components.parent	2.22.2		N/A
com.adobe.cq	core.wcm.components.parent	2.22.4		N/A
com.adobe.cq	core.wcm.components.parent	2.22.6		N/A
com.adobe.cq	core.wcm.components.parent	2.22.8		N/A
com.adobe.cq	core.wcm.components.parent	2.23.0		N/A
com.adobe.cq	core.wcm.components.parent	2.23.2		N/A
com.adobe.cq	core.wcm.components.parent	2.23.4		N/A
com.adobe.cq	core.wcm.components.parent	2.24.0		N/A
com.adobe.cq	core.wcm.components.parent	2.24.2		N/A
com.adobe.cq	core.wcm.components.parent	2.24.4		N/A
com.adobe.cq	core.wcm.components.parent	2.24.6		N/A
com.adobe.cq	core.wcm.components.parent	2.25.0		N/A
com.adobe.cq	core.wcm.components.parent	2.25.2		N/A
com.adobe.cq	core.wcm.components.parent	2.25.4		N/A
com.adobe.cq	core.wcm.components.parent	2.26.0		N/A
com.adobe.cq	core.wcm.components.parent	2.27.0		N/A
com.adobe.cq	core.wcm.components.parent	2.28.0		N/A
com.adobe.cq	core.wcm.components.parent	2.29.0		N/A
com.adobe.cq	core.wcm.components.parent	2.3.0		N/A
com.adobe.cq	core.wcm.components.parent	2.3.2		N/A
com.adobe.cq	core.wcm.components.parent	2.4.0		N/A
com.adobe.cq	core.wcm.components.parent	2.5.0		N/A
com.adobe.cq	core.wcm.components.parent	2.6.0		N/A
com.adobe.cq	core.wcm.components.parent	2.7.0		N/A
com.adobe.cq	core.wcm.components.parent	2.8.0		N/A
com.adobe.cq	core.wcm.components.parent	2.8.1-SNAPSHOT-20200410121300		N/A
com.adobe.cq	core.wcm.components.parent	2.9.0		N/A
com.adobe.cq	core.wcm.components.parent	2.9.2		N/A
com.adpushup.apmobilesdk	reporting	1.8.0		N/A
com.adpushup.apmobilesdk	reporting	1.8.5		N/A
com.adpushup.apmobilesdk	reporting	1.8.6-old		N/A
com.adpushup.apmobilesdk	reporting	1.8.8		N/A
com.adpushup.apmobilesdk	reporting	1.9.0		N/A
com.adpushup.apmobilesdk	reporting	1.9.1		N/A
com.adpushup.apmobilesdk	reporting	1.9.2		N/A
com.adpushup.apmobilesdk	reporting	1.9.3		N/A
com.adpushup.apmobilesdk	reporting	1.9.5		N/A
com.adpushup.apmobilesdk	reporting	2.0.0		N/A
com.adpushup.apmobilesdk	reporting	2.0.2		N/A
com.aliyun	computenest20210601	1.0.0		8f82d5474362a0b327637e5096f3c0cac57c2973
com.aliyun	computenest20210601	1.1.0		0ddf8e791bac22feafc84fbad0cbee42d1544045
com.aliyun	computenest20210601	1.1.1		603ddaf821a28a728190476b9892c40c9d30dd19
com.aliyun	computenest20210601	1.1.2		935eec2b2eee47f84ed7f213a7f7b8a95efe72fd
com.aliyun	computenest20210601	1.1.3		62fbcbbba0fa4223a54390bb261fadb10d7fa13b
com.aliyun	computenest20210601	1.1.4		443f9e0c00a4e7be74f3f626a204ce59ad9d1087
com.aliyun	computenest20210601	1.2.0		232aadb202d44849a4d32790cdc00212fd348f6a
com.aliyun	computenest20210601	1.2.1		85dda6fe5118008aba0b5151437f480d87cd1cde
com.aliyun	computenest20210601	1.2.1	shaded	82a9936eda27680cfc191bf284c95eae2e57c361
com.aliyun	computenest20210601	2.0.0		dff431c211130f45a79267e020690e1511189d92
com.aliyun	computenest20210601	2.0.0	shaded	46097d2ad852ecf7f8fc0b2dfb3f0f687d43ad7b
com.aliyun	computenest20210601	2.0.1		383300626bf1f9bca5463ea9f9c6d3cba48a5d86
com.aliyun	computenest20210601	2.0.1	shaded	ea5a3869502bae0b2614a88298b98e7ae53fb019
com.aliyun	computenest20210601	3.0.0		7267fee2527847ea0181fb8240d51b1757eb1b82
com.aliyun	computenest20210601	3.0.0	shaded	3c33e7409334db5f5628a4643b03da45de26fef7
com.aliyun	computenest20210601	3.1.0		587be2afda1559493131ecb144c65718ad0b6be0
com.aliyun	computenest20210601	3.1.0	shaded	c9c247f2f2fa3beee3ad8d812267f9c25995948b
com.aliyun	computenest20210601	3.1.1		63f3cfc46e5e3244f2ff02b131cace2d16b08aa6
com.aliyun	computenest20210601	3.1.1	shaded	ff43e73e1948ab7563085573a88394d7784c9de9
com.aliyun	computenest20210601	3.2.0		60bd0e38f608d58dcddccfa3d6e9b1414c81fe27
com.aliyun	computenest20210601	3.2.0	shaded	e9c448b94adf46f3b990eecc01fa1424f90584a3
com.aliyun	computenest20210601	3.3.0		09f9d4d978704d59eb0f88634892a46b94036325
com.aliyun	computenest20210601	3.3.0	shaded	0ea1890d6b9b2b268775d17d70bb31f22b20ca10
com.aliyun	computenest20210601	3.4.0		9d85624f7f005e1f3b62104d426682100b78f7de
com.aliyun	computenest20210601	3.4.0	shaded	78d3171f59931737fcb4fd7f862e05bf10a796e7
com.aliyun	computenest20210601	3.5.0		1a6ce3898ad8edbf97f1d8c6c1e25895345d0a5f
com.aliyun	computenest20210601	3.5.0	shaded	e5804d3e2baee561b5c64557baa7f92e835e8fc6
com.aliyun	computenest20210601	3.6.0		adbb4bebfd120793a0fb8b0c4363a3b6c830f905
com.aliyun	computenest20210601	3.6.0	shaded	1b7cf7a2dce7ec5ec34db837f603daaa2ac102ea
com.aliyun	computenest20210601	4.0.0		0ca1b7ef743c42b8f5c63c3ff768e8ccacd7c4d3
com.aliyun	computenest20210601	4.0.0	shaded	4c871278ece2c9926058fbfb6648d280e3ac8c3c
com.aliyun	computenest20210601	4.0.1		56d0caf214e29969dd6eecb2c3ababaf600278c4
com.aliyun	computenest20210601	4.0.1	shaded	72e427f2aab31723d08ccc07a12731fae3f2eb8b
com.aliyun	computenest20210601	4.1.0		e4a1df88edcfaa8ddb50bdb4f4919bf6f528a466
com.aliyun	computenest20210601	4.1.0	shaded	bfb0b2e6a9dd234cb148f5a605ac9f8c0faa1dda
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1000		5385505b53ef6f6090d935868eb0f55b181a7306
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1001		80cf1e241d00d918fabed5ba411a79f53449bba2
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1002		6013e3a8d0df04be3f9e70b65f6c0dba1def0a10
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1003		b47df194df94ba9f7cd399e8a788b708dc796150
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1004		3ed8252f829376d712f03edacab3d79e1d4245f8
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1005		97f3eaf416217f40b966e6df0667a8c649c40b76
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1006		89b36abc2398313e9a95d87d8575bee632ead32b
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1007		c4404e5b3285f467fecdb6ad7364a7708b41e668
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1008		60a1f2b9487c4a43c0dab38dee54c626d9f55ecd
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1009		c00329cce21459e7264f3311587db7f7955b2fa4
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1010		43b9ace776458b9c4a4d66ac0d53d37c53b794fa
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1011		d07f0ac20e1dd2fb302d53e88bf6b80f7d64c002
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1012		98ea7a0d194f8dc8d1f63c54b4b96aa16a2b66e9
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1013		58b461fdac3c66d8cf2b20f3a530cd4531e6a896
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1014		15dd4513b4cb486ff60c56a81b3468776c987415
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1015		13c73da805cad076c34542990fa9e6bd5f49e820
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1016		81ccd01224f9856274aef86bb6ed735a332b7fb3
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1017		54d89b59a1cbafbb86e8f4f02ca61fc4bb185df3
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1018		d3c87c3f1e007c6294e4aad542344a1e0f6b7bcb
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1019		0e76d429368c03b35cee24dee66f2f95c09e75ce
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1020		93eae597a2fd7df37d2c318496ab38fbdc89372d
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1021		ce4b6d6a9671c35916cfc9d08e56619acff88afb
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1022		dbef657535fec60c710f5455efc34afed9893f4c
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1023		2606c0ffb5b7bded2e63966270f59de80ef74356
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1024		14fef3057b435c67c5da5af5157875aa6e9a2cc9
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1025		2373d392fb9add61818cecadb7db112035a9ee68
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1026		e71fb0454fada300bf38e74bb9a1943fe22fd013
com.amazonaws	aws-java-sdk-alexaforbusiness	1.11.1027		80f7f130e5bb9ec164dc537c2287e0cfec66b338
