beehive	controls	1.0-alpha		eadb1603726c947c0f1e3e6d966fdcf23f7fcbdb
br.com.oimenu	oimenu-java	1.0.0		73533e4bfea09f80aaddf73ac4f45e356c395ff4
br.com.oimenu	oimenu-java	2.0.0		36646ca0ef5d3e9e1485880ebf5206b9c8a428a1
br.com.oimenu	oimenu-java	2.0.1		5eaa8fd02d14ff42ad6f2ab7591f90ddf6661220
br.com.oimenu	oimenu-java	2.0.2		2d88d15a29a5a48d07a25c615aa53aa70630eb08
br.com.oimenu	oimenu-java	2.0.3		f4800c7bcdcc0989dd070a3a9841a1449898be89
br.com.oimenu	oimenu-java	2.0.4		110a20e8398b465c4787b672252153689a919522
cafe.adriel.bonsai	bonsai-file-system-desktop	1.0.0		a4eea6a2a43fe80eaafd9b4974988385d38af4e0
cafe.adriel.bonsai	bonsai-file-system-desktop	1.1.0		4cce044bf339983d03e37e6b205a6ce913d0c6b0
cafe.adriel.bonsai	bonsai-file-system-desktop	1.2.0		fc0070b4bc87f19e3b316622d208b0dbaf874729
city.smartb.i2	i2-role-domain-js	0.11.0		N/A
city.smartb.i2	i2-role-domain-js	0.12.0		N/A
city.smartb.i2	i2-role-domain-js	0.13.0		N/A
city.smartb.i2	i2-role-domain-js	0.14.0		N/A
city.smartb.i2	i2-role-domain-js	0.15.0		N/A
city.smartb.i2	i2-role-domain-js	0.16.0		N/A
city.smartb.i2	i2-role-domain-js	0.7.0		N/A
city.smartb.i2	i2-role-domain-js	0.8.0		N/A
city.smartb.i2	i2-role-domain-js	0.8.1		N/A
city.smartb.i2	i2-role-domain-js	0.8.2		N/A
cn.authing	otp	1.0.0		N/A
cn.authing	otp	1.0.1		N/A
cn.authing	otp	1.0.2		N/A
co.topl	topl-rpc_2.12	1.10.2		b9403d0c284563cf408ed751f17e92bfd87149ef
co.topl	topl-rpc_2.12	1.4.2		de3910b8b639a330cdf885a3f11b1694510d1e2f
co.topl	topl-rpc_2.12	1.4.3		fa5eff21576f84d5c8a416c9013af5f3ab04aefe
co.topl	topl-rpc_2.12	1.4.5		af59bbdc2ad282c4193976a9763054df6e28fe83
co.topl	topl-rpc_2.12	1.6.7		1b84c59d1cee650ef676122a8d291fbaea8c5b32
